UID,full_scale,extremes_only,rating_sd,n_unique_levels,n_responses,pct_1,pct_2,pct_3,pct_4,pct_5
A010,True,False,1.6899613364280728,5,288,31.25,21.52777777777778,6.944444444444445,7.291666666666667,32.98611111111111
A011,True,False,1.5600013897568683,5,288,17.708333333333336,16.319444444444446,15.277777777777779,10.76388888888889,39.93055555555556
A012,True,False,1.5608968740728886,5,288,18.40277777777778,23.958333333333336,13.194444444444445,9.722222222222223,34.72222222222222
A013,True,False,1.602446681126601,5,288,36.45833333333333,16.319444444444446,13.88888888888889,9.722222222222223,23.61111111111111
A014,True,False,1.3730606990639473,5,288,10.069444444444445,13.88888888888889,19.791666666666664,18.40277777777778,37.84722222222222
A015,True,False,1.8635068452495442,5,288,38.19444444444444,3.8194444444444446,9.722222222222223,0.3472222222222222,47.91666666666667
A016,True,False,1.5324436898000697,5,288,24.305555555555554,19.791666666666664,12.847222222222221,18.40277777777778,24.65277777777778
A017,True,False,1.8472409609021052,5,288,30.90277777777778,0.3472222222222222,1.0416666666666665,0.6944444444444444,67.01388888888889
A018,True,False,1.8384174831716766,5,288,55.90277777777778,4.861111111111112,5.208333333333334,1.0416666666666665,32.98611111111111
A019,False,False,0.7547036015101586,4,288,4.513888888888888,43.40277777777778,40.27777777777778,11.805555555555555,0.0
A020,True,False,1.700584035770585,5,288,45.83333333333333,10.416666666666668,9.027777777777777,9.027777777777777,25.694444444444443
A021,True,False,1.5293616187475676,5,288,13.194444444444445,26.041666666666668,13.194444444444445,7.986111111111111,39.58333333333333
A022,True,False,1.494663205912811,5,288,61.458333333333336,5.208333333333334,7.291666666666667,15.972222222222221,10.069444444444445
A023,True,False,1.5128658454080093,5,288,19.444444444444446,12.5,22.916666666666664,11.805555555555555,33.33333333333333
A024,True,False,1.601257128085275,5,288,25.34722222222222,30.208333333333332,7.986111111111111,6.597222222222222,29.86111111111111
A025,True,False,1.6707267620048267,5,288,38.88888888888889,14.583333333333334,12.5,6.25,27.77777777777778
A026,True,False,1.6980209837702365,5,288,30.208333333333332,10.76388888888889,12.152777777777777,10.069444444444445,36.80555555555556
A027,True,False,1.6379309949600658,5,288,34.72222222222222,13.541666666666666,12.847222222222221,12.5,26.38888888888889
A028,True,False,1.6288650096039865,5,288,18.40277777777778,35.06944444444444,5.902777777777778,2.083333333333333,38.54166666666667
A029,True,False,1.4195374683609188,5,288,3.4722222222222223,29.86111111111111,12.5,5.208333333333334,48.95833333333333
A030,True,False,1.6283598637634134,5,288,26.041666666666668,20.13888888888889,14.930555555555555,5.208333333333334,33.68055555555556
A031,True,False,1.7436905783824606,5,288,33.33333333333333,10.76388888888889,9.027777777777777,9.375,37.5
A032,True,False,1.8316927249084067,5,288,43.40277777777778,11.11111111111111,6.25,1.0416666666666665,38.19444444444444
A033,True,False,1.750805218211807,5,288,34.72222222222222,15.277777777777779,8.680555555555555,4.513888888888888,36.80555555555556
A034,True,False,1.2987260725560923,5,288,9.375,3.4722222222222223,22.916666666666664,16.319444444444446,47.91666666666667
A035,True,False,1.4884865919768218,5,288,19.09722222222222,27.77777777777778,15.625,11.11111111111111,26.38888888888889
A036,True,False,1.0968402158728592,5,288,53.47222222222222,21.180555555555554,14.930555555555555,7.986111111111111,2.430555555555556
A037,True,False,1.7196816492698475,5,288,36.80555555555556,11.805555555555555,10.069444444444445,9.375,31.944444444444443
A038,True,False,1.4592145172509037,5,288,12.847222222222221,11.458333333333332,14.583333333333334,15.625,45.48611111111111
A039,True,False,1.3523434299811719,5,288,7.638888888888889,11.458333333333332,16.666666666666664,12.152777777777777,52.083333333333336
A040,True,False,1.7871519570793652,5,288,60.763888888888886,3.125,5.902777777777778,1.7361111111111112,28.47222222222222
A041,True,False,1.8610121549321663,5,288,42.01388888888889,3.8194444444444446,10.069444444444445,1.0416666666666665,43.05555555555556
A042,True,False,1.3466236581947872,5,288,40.625,35.76388888888889,5.555555555555555,5.208333333333334,12.847222222222221
A043,True,False,1.1797784443277257,5,288,2.430555555555556,9.027777777777777,24.305555555555554,7.291666666666667,56.94444444444444
A044,True,False,1.3211872366495652,5,288,52.77777777777778,21.52777777777778,8.333333333333332,8.680555555555555,8.680555555555555
A045,True,False,1.6618397000133487,5,288,47.22222222222222,15.625,9.027777777777777,3.125,25.0
A046,True,False,1.2812111962151311,5,288,21.180555555555554,25.694444444444443,28.125,12.5,12.5
A047,True,False,1.3044008122124515,5,288,22.916666666666664,24.305555555555554,23.61111111111111,18.055555555555554,11.11111111111111
A048,True,False,1.6281815395780308,5,288,21.875,27.083333333333332,6.944444444444445,8.680555555555555,35.41666666666667
A049,True,False,1.7952672272795975,5,288,36.11111111111111,11.805555555555555,9.027777777777777,2.430555555555556,40.625
A050,False,False,1.7537050817465603,4,288,65.97222222222221,4.513888888888888,2.7777777777777777,0.0,26.73611111111111
A051,True,False,1.5698351827398527,5,288,18.75,14.23611111111111,15.277777777777779,11.458333333333332,40.27777777777778
A052,True,False,1.6069438944249594,5,288,29.86111111111111,14.583333333333334,14.23611111111111,13.88888888888889,27.430555555555557
A053,True,False,1.2195775243825602,5,288,9.027777777777777,61.80555555555556,9.722222222222223,2.7777777777777777,16.666666666666664
A054,True,False,1.5660543197488972,5,288,14.583333333333334,15.972222222222221,10.76388888888889,7.638888888888889,51.041666666666664
A055,True,False,1.5877361000320385,5,288,38.88888888888889,19.791666666666664,12.152777777777777,6.597222222222222,22.569444444444446
A056,True,False,1.4862537967763298,5,288,34.02777777777778,27.083333333333332,14.23611111111111,5.208333333333334,19.444444444444446
A057,True,False,1.6687813239725702,5,288,50.69444444444444,14.23611111111111,5.902777777777778,5.555555555555555,23.61111111111111
A058,True,False,1.7540258432884426,5,288,55.90277777777778,8.680555555555555,6.597222222222222,0.3472222222222222,28.47222222222222
A059,True,False,1.7228480997792266,5,288,42.70833333333333,14.930555555555555,6.25,7.291666666666667,28.819444444444443
A060,True,False,1.5585116538865018,5,288,19.791666666666664,7.291666666666667,12.5,18.40277777777778,42.01388888888889
A061,True,False,1.4882264750492624,5,288,13.88888888888889,7.638888888888889,2.430555555555556,13.194444444444445,62.84722222222222
A062,True,False,1.6438036964110085,5,288,46.18055555555556,14.930555555555555,8.680555555555555,7.291666666666667,22.916666666666664
A063,True,False,1.1021878429004528,5,288,32.29166666666667,38.54166666666667,12.5,14.23611111111111,2.430555555555556
A064,True,False,1.6784967776087316,5,288,30.90277777777778,17.01388888888889,9.722222222222223,9.722222222222223,32.63888888888889
A065,True,False,1.2178452360502092,5,288,50.0,31.25,7.638888888888889,1.7361111111111112,9.375
A066,True,False,1.5569544446955226,5,288,39.93055555555556,20.48611111111111,13.541666666666666,4.861111111111112,21.180555555555554
A067,True,False,1.3823734128012108,5,288,64.23611111111111,12.5,7.986111111111111,3.4722222222222223,11.805555555555555
A068,True,False,1.4800093908942316,5,288,12.152777777777777,12.847222222222221,15.972222222222221,9.375,49.65277777777778
A069,True,False,1.3563454062348292,5,288,54.166666666666664,18.055555555555554,10.76388888888889,6.944444444444445,10.069444444444445
A070,True,False,1.6950972321384419,5,288,64.58333333333334,4.166666666666666,4.513888888888888,4.166666666666666,22.569444444444446
A071,True,False,1.5887987156606773,5,288,28.125,20.833333333333336,9.027777777777777,16.319444444444446,25.694444444444443
A072,True,False,1.5644891519662925,5,288,15.972222222222221,20.48611111111111,9.722222222222223,12.5,41.31944444444444
A073,True,False,1.3899797303535224,5,288,22.916666666666664,24.305555555555554,16.319444444444446,21.875,14.583333333333334
A074,True,False,1.8173699211002738,5,288,54.166666666666664,6.25,4.861111111111112,3.125,31.59722222222222
A075,True,False,1.6412699161531525,5,288,59.02777777777778,9.027777777777777,6.25,4.861111111111112,20.833333333333336
A076,True,False,1.3408433966442275,5,288,48.95833333333333,30.555555555555557,5.902777777777778,1.3888888888888888,13.194444444444445
A077,True,False,1.7459510152736795,5,288,38.19444444444444,17.36111111111111,7.638888888888889,2.7777777777777777,34.02777777777778
A078,True,False,1.3534657124455631,5,288,56.59722222222222,20.833333333333336,5.902777777777778,5.902777777777778,10.76388888888889
A079,True,False,1.668857445164294,5,288,39.93055555555556,13.88888888888889,11.805555555555555,7.638888888888889,26.73611111111111
A080,True,False,1.5001451729981623,5,288,14.23611111111111,27.77777777777778,17.01388888888889,6.944444444444445,34.02777777777778
A081,True,False,1.2790185697409402,5,288,5.555555555555555,19.444444444444446,23.26388888888889,18.75,32.98611111111111
A082,True,False,1.725444390008557,5,288,44.09722222222222,11.805555555555555,9.027777777777777,6.25,28.819444444444443
A083,True,False,1.588829174444871,5,288,19.444444444444446,19.09722222222222,17.01388888888889,5.555555555555555,38.88888888888889
A084,True,False,1.2285273391957439,5,288,43.05555555555556,20.833333333333336,19.791666666666664,11.458333333333332,4.861111111111112
A085,True,False,1.8888874655547916,5,288,41.31944444444444,7.986111111111111,4.861111111111112,0.3472222222222222,45.48611111111111
A086,True,False,1.5457244053459949,5,288,19.791666666666664,17.01388888888889,21.52777777777778,6.944444444444445,34.72222222222222
A087,True,False,1.7742839749299941,5,288,28.125,17.708333333333336,5.902777777777778,1.7361111111111112,46.52777777777778
A088,True,False,1.605102050924826,5,288,18.40277777777778,17.01388888888889,9.027777777777777,11.805555555555555,43.75
A089,True,False,1.6444181385293792,5,288,22.916666666666664,18.75,11.458333333333332,7.986111111111111,38.88888888888889
A090,True,False,0.9712711735686886,5,288,40.97222222222222,40.27777777777778,11.458333333333332,4.513888888888888,2.7777777777777777
A091,True,False,1.552725427247093,5,288,28.47222222222222,5.555555555555555,30.555555555555557,6.944444444444445,28.47222222222222
A092,True,False,1.6757266814597933,5,288,44.79166666666667,14.930555555555555,10.416666666666668,3.4722222222222223,26.38888888888889
A093,True,False,1.0011547243240637,5,288,2.7777777777777777,16.666666666666664,39.23611111111111,27.430555555555557,13.88888888888889
A094,True,False,1.345113465905202,5,288,43.75,31.59722222222222,9.027777777777777,2.430555555555556,13.194444444444445
A095,True,False,1.632933891283527,5,288,30.90277777777778,19.09722222222222,14.23611111111111,5.902777777777778,29.86111111111111
A096,True,False,1.314393463954951,5,288,10.76388888888889,8.333333333333332,25.694444444444443,21.875,33.33333333333333
A097,True,False,1.0136923133171147,5,288,32.29166666666667,51.388888888888886,7.638888888888889,3.125,5.555555555555555
A098,True,False,1.6819134200704984,5,288,24.305555555555554,19.09722222222222,11.458333333333332,3.8194444444444446,41.31944444444444
A099,True,False,1.3286066043407838,5,288,1.7361111111111112,24.305555555555554,15.277777777777779,7.638888888888889,51.041666666666664
A100,True,False,0.6398402669182031,5,288,0.3472222222222222,2.7777777777777777,25.34722222222222,64.23611111111111,7.291666666666667
A101,True,False,1.1546795832577352,5,288,56.59722222222222,25.0,7.986111111111111,4.166666666666666,6.25
A102,True,False,1.7359823800512029,5,288,40.97222222222222,7.291666666666667,15.277777777777779,4.166666666666666,32.29166666666667
A103,True,False,0.7510155725708372,5,288,81.94444444444444,8.333333333333332,6.944444444444445,2.083333333333333,0.6944444444444444
A104,True,False,1.8513755597972645,5,288,45.13888888888889,9.027777777777777,4.513888888888888,3.125,38.19444444444444
A105,True,False,1.4927233489550833,5,288,11.805555555555555,18.40277777777778,18.40277777777778,6.597222222222222,44.79166666666667
A106,True,False,1.6761489838861978,5,288,25.0,22.569444444444446,11.11111111111111,2.430555555555556,38.88888888888889
A107,True,False,0.7140449168254681,5,288,44.09722222222222,48.61111111111111,4.861111111111112,1.7361111111111112,0.6944444444444444
A108,True,False,1.4685658106021964,5,288,58.333333333333336,15.277777777777779,9.027777777777777,1.7361111111111112,15.625
A109,False,False,0.7237385062812776,4,288,0.0,11.458333333333332,60.416666666666664,22.22222222222222,5.902777777777778
