term,estimate,se,z,p
Intercept,0.7221017979602209,0.09870940216106035,7.315430771042409,2.565570222224739e-13
C(Paradigm)[T.ICR],0.17906313919592665,0.06929285408631043,2.5841501487712937,0.009761928609373445
C(Paradigm)[T.IRE],0.22422909530831256,0.06929285408631046,3.2359627592913855,0.0012123319971422803
log_TSVR,-0.20640524314134368,0.020245587640938124,-10.195072961180761,2.085878514776764e-24
log_TSVR:C(Paradigm)[T.ICR],-0.04910209579558352,0.018493269911877882,-2.6551332473683393,0.00792770868132407
log_TSVR:C(Paradigm)[T.IRE],-0.06287844655336992,0.018493269911877885,-3.4000718560314884,0.0006736814682252451
Age_c,-0.00853412908028289,0.006802614571794924,-1.254536618268392,0.2096470246240657
C(Paradigm)[T.ICR]:Age_c,-0.007709162977341451,0.004771112854037529,-1.615799754310488,0.10613761470535192
C(Paradigm)[T.IRE]:Age_c,-0.007136818418411712,0.0047711128540375266,-1.4958393642632495,0.13469552059225923
log_TSVR:Age_c,0.0006836457516996613,0.0013971609565996909,0.48931066135963946,0.6246217742646398
log_TSVR:C(Paradigm)[T.ICR]:Age_c,0.0009294161166873565,0.0012781992551333318,0.7271292898620936,0.46714675750960877
log_TSVR:C(Paradigm)[T.IRE]:Age_c,0.0006092094205976709,0.0012781992551333312,0.4766153775720384,0.6336360312048647
