term,coef,se,z_wald,p_wald_uncorrected,p_wald_bonferroni,chi2_lrt,df_lrt,p_lrt_uncorrected,p_lrt_bonferroni,significant_bonferroni
Age_c,-0.00853412908028289,0.006802614571794924,-1.254536618268392,0.2096470246240657,0.6289410738721971,1.5738621265762929,1,0.2096470246240656,0.6289410738721968,False
Age_c:log_TSVR,0.0006836457516996613,0.0013971609565996909,0.48931066135963946,0.6246217742646398,1.0,0.23942492332020776,1,0.6246217742646398,1.0,False
Age_c:log_TSVR:Paradigm,,,,0.6852718821926476,1.0,0.7558792223134893,2,0.6852718821926476,1.0,False
