paradigm,marginal_mean,SE,CI_lower,CI_upper
free_recall,0.012805795540851594,0.06536516543794163,-0.115309928717514,0.1409215197992172
cued_recall,-0.019449901168616113,0.06536516543794163,-0.1475656254269817,0.10866582308974948
recognition,0.08266708194133177,0.06536516543794163,-0.04544864231703383,0.21078280619969736
