model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,weight_renorm
PowerLaw_01,2556.672545098905,2587.2130061135617,-1272.3362725494526,5.0,True,0.0,0.06073192428757261,0.06073192428757261,0.18660417678427912
Log,2556.7568270740467,2587.297288088703,-1272.3784135370233,5.0,True,0.0842819751414936,0.05822579722294555,0.11895772151051816,0.17890388104530103
Log10,2556.7568270740467,2587.297288088703,-1272.3784135370233,5.0,True,0.0842819751414936,0.05822579722294555,0.17718351873346372,0.17890388104530103
Log2,2556.7568270740467,2587.297288088703,-1272.3784135370233,5.0,True,0.0842819751414936,0.05822579722294555,0.23540931595640927,0.17890388104530103
PowerLaw_02,2557.0436548811067,2587.5841158957633,-1272.5218274405534,5.0,True,0.371109782201529,0.05044656232569664,0.2858558782821059,0.15500149789111348
SquareRoot,2557.527691061121,2588.0681520757776,-1272.7638455305605,5.0,True,0.8551459622158291,0.03960266897099669,0.3254585472531026,0.12168268218870433
