congruence,intercept,slope_conditional,slope_simple,rank_by_slope
Congruent,0.3649563765823756,0.2294429361563743,1.5962269931690956e-05,1
Incongruent,0.2665051670616505,0.3480656247467718,7.890785193598243e-07,2
Common,0.2768864510447849,0.3134763838456848,1.5643561115440082e-07,3
