model_name,var_intercept,var_slope,cov_intercept_slope,var_residual,congruence
PowerLaw_01,0.06636890239109351,0.15258861281685085,0.001121939792765927,0.4370596776194896,common
Log,0.22947725757419227,0.0336195921502373,-0.03451371484238113,0.41518759888379625,common
Log10,0.23666104921192832,0.20280369708876286,-0.09163523389932156,0.41205817244981247,common
Log2,0.22955222781745105,0.016500666075076564,-0.024426000437040934,0.41505794852762895,common
PowerLaw_02,0.13438193413975535,0.04503176537724591,0.016148726587572635,0.43742084437865514,common
SquareRoot,0.23073213046453192,0.021876856579330164,-0.029016587552805506,0.4188682319302739,common
PowerLaw_01,0.0027311328378767053,0.1354011426187968,-0.00011033431203754796,0.560160435343024,congruent
Log,0.13079744155083858,0.0005743681933906719,-0.00866734067560922,0.5596896548297492,congruent
Log10,0.15648876991413577,0.02279568697318761,-0.04673583808870487,0.5548849901431916,congruent
Log2,0.12663838458167112,0.0012772562051909242,-0.005964677052917037,0.5594787364154723,congruent
PowerLaw_02,0.005184751804345871,0.15997995869818393,-0.0014490710100312275,0.5617237497202224,congruent
SquareRoot,0.13281509087807705,0.0004272483100651862,-0.007506823770082701,0.5598501336103825,congruent
PowerLaw_01,0.13725085683533117,0.03257645573720375,0.0188504801335889,0.4186775582321365,incongruent
Log,0.1730456172738012,0.036013484450438664,-0.006366403111539362,0.3999143839528125,incongruent
Log10,0.15593444441738674,0.010365811690940346,0.037939598013377526,0.4192844275022617,incongruent
Log2,0.14484281398476262,0.0016987949697833235,0.01322635663416573,0.42032006904717567,incongruent
PowerLaw_02,0.1675725807401669,0.006449878460597243,0.010333075946577714,0.422017995464625,incongruent
SquareRoot,0.14659543534715513,0.0016161869222838573,0.015392317210876295,0.41968421924309385,incongruent
