UID,SD_confidence,SD_accuracy
A010,0.3264623891240732,0.4034946469421308
A011,0.2828360654433746,0.41143471122716513
A012,0.29974452228689247,0.41303769361947373
A013,0.3144114949092953,0.43156295412114193
A014,0.26528871111314517,0.4318947460138256
A015,0.36413459712329366,0.39656423502637583
A016,0.2867705550200737,0.4142948439199529
A017,0.367639879270747,0.4458531435851972
A018,0.3512568684732664,0.4469056668366828
A019,0.14228693694177652,0.44320012863971536
A020,0.3236855207841908,0.43967020765083564
A021,0.30289936802081313,0.4195434951653636
A022,0.2879289500657156,0.4334299181697541
A023,0.3029461639486291,0.4253672152364144
A024,0.3190300747293068,0.4485608314411507
A025,0.29642511862492216,0.40747196873128566
A026,0.34035767812880424,0.4353944307601569
A027,0.30920975690947433,0.4346157384736581
A028,0.3052781329518331,0.4189285191494676
A029,0.27565111820407223,0.4074008525144234
A030,0.32243056856974334,0.43614787055687726
A031,0.29568489696344624,0.41965548974246164
A032,0.36103816275398376,0.42444726668147814
A033,0.34540851030107317,0.44418479515545833
A034,0.24698633039132722,0.4162942931474814
A035,0.29101976169329663,0.44339154636481726
A036,0.21289245867360723,0.42669814867373185
A037,0.32627892442477513,0.39616512873914556
A038,0.29114128560090885,0.42860847116867573
A039,0.25035427297784796,0.37967165685155013
A040,0.33987378365393883,0.43875171939926544
A041,0.3637898399023056,0.42721284953061184
A042,0.2686073243546748,0.43670744494887614
A043,0.21761161009262725,0.4232699200162743
A044,0.2595344449107537,0.43020160112887224
A045,0.32840602854320516,0.4495182448372307
A046,0.24444252483488962,0.42696601236507387
A047,0.24099295501230705,0.4356327664195511
A048,0.3234144891814005,0.4264129137917777
A049,0.33433286537689194,0.41113774960170396
A050,0.32020856307111173,0.4365710313347294
A051,0.29167958153480444,0.44185350951164204
A052,0.312149058154065,0.4341671684462336
A053,0.2168392607283131,0.43724447903655295
A054,0.3065569963499322,0.41739480295812464
A055,0.30434748219565644,0.4258128124923711
A056,0.2890445862464051,0.4275123111304401
A057,0.30020088284574364,0.43676203810375225
A058,0.3334844338618106,0.43886015818385643
A059,0.340777850575007,0.4096628458694328
A060,0.30585162263380683,0.4138159271725349
A061,0.24565347724700767,0.38344424185361164
A062,0.29596055663281934,0.4349760448071188
A063,0.19709132998116694,0.432506977223455
A064,0.32604229356273123,0.4126926929041507
A065,0.21131600099507986,0.41826047380488063
A066,0.30157986017777927,0.45204685792779886
A067,0.24428326691781457,0.42072134574461045
A068,0.2787561362585709,0.42820491733152627
A069,0.22724340508407936,0.44520936774267267
A070,0.3187747700959405,0.4342404978092991
A071,0.29210281403903615,0.452206045754637
A072,0.3017179742123628,0.4268149983588966
A073,0.27419164446951816,0.4278748999640023
A074,0.3565717453964342,0.440364090770325
A075,0.3000398546361106,0.4373570303993973
A076,0.24989100364011466,0.436091967469506
A077,0.3399523810326091,0.43773632070684887
A078,0.26757891328060623,0.43008570149000586
A079,0.32335444224394166,0.4361648386473138
A080,0.2825394949445121,0.4301193538220379
A081,0.2554090611036134,0.43783558650561877
A082,0.3394760501247168,0.42206853632993296
A083,0.31563608673601434,0.43101781905266384
A084,0.24020354494832766,0.42875539715786837
A085,0.3671596193138067,0.42952999257409685
A086,0.29510351069471497,0.43694845653554437
A087,0.34618780961314566,0.4246637978897761
A088,0.32046489660191474,0.38201518398732465
A089,0.32082187180197713,0.4191613209505241
A090,0.17778529218205044,0.4317739119227528
A091,0.3040561996469548,0.4429724532629328
A092,0.32977408466288083,0.4358542245903363
A093,0.15169380666057822,0.42494050842935865
A094,0.2645465770332786,0.4372347233517979
A095,0.3092554841155322,0.44315057664313806
A096,0.25696502991432585,0.42798369276617915
A097,0.18392754398895345,0.4303620714793461
A098,0.32809240049938293,0.4383272937909672
A099,0.2650955506344763,0.41569312550485654
A100,0.09743401040002204,0.43900706041028903
A101,0.21135129781974912,0.43659754739078005
A102,0.3421056916720683,0.4273364235630108
A103,0.1406927738916386,0.3995750157847644
A104,0.31477670658171575,0.4408350396630676
A105,0.2665574718755214,0.45733776856141495
A106,0.32990148982403605,0.4235018287693681
A107,0.11622707427279926,0.434331082579045
A108,0.29085017155062104,0.4398383356667537
A109,0.13221007373060992,0.44534787692148786
