UID,test,SD_confidence,mean_confidence,SD_accuracy,mean_accuracy
A010,1,0.3090193484985671,0.7166666666666667,0.30544661238970106,0.8715277777777778
A010,2,0.32016232189791993,0.6055555555555556,0.4103839713151125,0.6493055555555556
A010,3,0.3397389221317858,0.47500000000000003,0.46628033556027587,0.4965277777777778
A010,4,0.3369289639680201,0.5166666666666667,0.43186766850343355,0.6354166666666666
A011,1,0.25999578665178846,0.8527777777777777,0.36997811126727675,0.7291666666666666
A011,2,0.29389990098618096,0.7194444444444444,0.3862741856232089,0.7291666666666666
A011,3,0.29728821317055415,0.6583333333333333,0.43198089329885164,0.5659722222222222
A011,4,0.2801603609649749,0.48055555555555557,0.4575056547193231,0.5138888888888888
A012,1,0.2765764319165785,0.7888888888888889,0.3843067860320675,0.7361111111111112
A012,2,0.30866464879333116,0.5777777777777778,0.41922629290579666,0.5798611111111112
A012,3,0.30936099520158106,0.625,0.41957610977459586,0.6215277777777778
A012,4,0.30437601323607916,0.5555555555555556,0.42904158576543483,0.4722222222222222
A013,1,0.3450068607423792,0.5611111111111111,0.43603740543196207,0.6284722222222222
A013,2,0.32846205860595523,0.55,0.4460173044145773,0.5659722222222222
A013,3,0.3322517664463641,0.5944444444444444,0.4188761838938684,0.6493055555555556
A013,4,0.25192529384248274,0.4361111111111111,0.42532092274415995,0.5208333333333334
A014,1,0.269454326005015,0.7916666666666666,0.4234050205466395,0.6701388888888888
A014,2,0.23361820303377986,0.7916666666666666,0.4490905433416917,0.6527777777777778
A014,3,0.28345067992495937,0.6722222222222222,0.4151380410348358,0.6111111111111112
A014,4,0.27463163548882635,0.625,0.43994537913213533,0.46875
A015,1,0.33510094711509475,0.7694444444444444,0.36857099909942975,0.7743055555555556
A015,2,0.37553300670331324,0.6194444444444445,0.3633761873336319,0.75
A015,3,0.3797289206896648,0.6055555555555556,0.42097247037516783,0.7118055555555556
A015,4,0.3661755139851019,0.5333333333333333,0.4333372832972737,0.6493055555555556
A016,1,0.2828288798440948,0.7472222222222222,0.3692338375075656,0.7604166666666666
A016,2,0.3218564109906383,0.625,0.42324617416305366,0.6875
A016,3,0.2975118519226231,0.5777777777777778,0.46523033065717057,0.46875
A016,4,0.2448850773229387,0.4444444444444444,0.3994690333520219,0.4513888888888889
A017,1,0.37311865054770643,0.7222222222222222,0.451912991750266,0.5416666666666666
A017,2,0.34148483653556944,0.8027777777777777,0.4267414611306093,0.65625
A017,3,0.3608371417682764,0.7777777777777778,0.45894645290640146,0.5486111111111112
A017,4,0.3951188882314356,0.6777777777777777,0.4458116685535119,0.6111111111111112
A018,1,0.38009964923554296,0.6444444444444444,0.44568824149532904,0.6701388888888888
A018,2,0.3822243603681507,0.5694444444444444,0.44337796291298703,0.6006944444444444
