UID,avg_SD_confidence,avg_SD_accuracy,avg_mean_accuracy
A010,0.3264623891240732,0.4034946469421308,0.6631944444444444
A011,0.2828360654433746,0.41143471122716513,0.634548611111111
A012,0.29974452228689247,0.41303769361947373,0.6024305555555556
A013,0.3144114949092953,0.43156295412114193,0.5911458333333334
A014,0.26528871111314517,0.4318947460138256,0.6006944444444444
A015,0.36413459712329366,0.39656423502637583,0.7213541666666667
A016,0.2867705550200737,0.4142948439199529,0.5920138888888888
A017,0.367639879270747,0.4458531435851972,0.5894097222222222
A018,0.3512568684732664,0.4469056668366828,0.5928819444444444
A019,0.14228693694177652,0.44320012863971536,0.4895833333333333
A020,0.3236855207841908,0.43967020765083564,0.4739583333333333
A021,0.30289936802081313,0.4195434951653636,0.6293402777777778
A022,0.2879289500657156,0.4334299181697541,0.6293402777777778
A023,0.3029461639486291,0.4253672152364144,0.6015625
A024,0.3190300747293068,0.4485608314411507,0.5425347222222222
A025,0.29642511862492216,0.40747196873128566,0.6449652777777778
A026,0.34035767812880424,0.4353944307601569,0.6085069444444444
A027,0.30920975690947433,0.4346157384736581,0.5842013888888888
A028,0.3052781329518331,0.4189285191494676,0.6362847222222222
A029,0.27565111820407223,0.4074008525144234,0.7039930555555556
A030,0.32243056856974334,0.43614787055687726,0.6293402777777778
A031,0.29568489696344624,0.41965548974246164,0.59375
A032,0.36103816275398376,0.42444726668147814,0.6276041666666666
A033,0.34540851030107317,0.44418479515545833,0.6128472222222222
A034,0.24698633039132722,0.4162942931474814,0.6657986111111112
A035,0.29101976169329663,0.44339154636481726,0.5347222222222222
A036,0.21289245867360723,0.42669814867373185,0.578125
A037,0.32627892442477513,0.39616512873914556,0.6710069444444444
A038,0.29114128560090885,0.42860847116867573,0.6536458333333333
A039,0.25035427297784796,0.37967165685155013,0.734375
A040,0.33987378365393883,0.43875171939926544,0.5008680555555556
A041,0.3637898399023056,0.42721284953061184,0.5876736111111112
A042,0.2686073243546748,0.43670744494887614,0.4748263888888889
A043,0.21761161009262725,0.4232699200162743,0.6640625
