SD_confidence,SD_accuracy_predicted
0.09743401040002204,0.4292088934957668
0.10016336261083744,0.42919864601682856
0.10289271482165285,0.4291883985378903
0.10562206703246825,0.429178151058952
0.10835141924328366,0.4291679035800138
0.11108077145409906,0.42915765610107554
0.11381012366491447,0.4291474086221373
0.11653947587572987,0.429137161143199
0.11926882808654528,0.42912691366426076
0.12199818029736068,0.4291166661853225
0.12472753250817609,0.4291064187063842
0.1274568847189915,0.429096171227446
0.13018623692980688,0.42908592374850774
0.1329155891406223,0.42907567626956944
0.1356449413514377,0.4290654287906312
0.13837429356225311,0.42905518131169296
0.1411036457730685,0.42904493383275466
0.1438329979838839,0.4290346863538164
0.14656235019469932,0.4290244388748782
0.1492917024055147,0.4290141913959399
0.15202105461633011,0.42900394391700164
0.15475040682714553,0.4289936964380634
0.15747975903796094,0.42898344895912516
0.16020911124877635,0.42897320148018686
0.16293846345959173,0.4289629540012486
0.16566781567040714,0.4289527065223104
0.16839716788122255,0.4289424590433721
0.17112652009203794,0.42893221156443384
0.17385587230285335,0.4289219640854956
0.17658522451366876,0.4289117166065573
0.17931457672448414,0.42890146912761906
0.18204392893529958,0.4288912216486808
0.18477328114611496,0.4288809741697425
0.18750263335693035,0.4288707266908043
0.1902319855677458,0.42886047921186604
0.19296133777856117,0.42885023173292774
0.19569068998937658,0.4288399842539895
0.198420042200192,0.42882973677505126
0.20114939441100738,0.428819489296113
0.2038787466218228,0.4288092418171747
0.2066080988326382,0.4287989943382365
0.20933745104345358,0.42878874685929824
0.21206680325426902,0.42877849938035995
0.2147961554650844,0.4287682519014217
0.21752550767589982,0.42875800442248346
0.22025485988671523,0.42874775694354517
0.2229842120975306,0.4287375094646069
0.22571356430834605,0.4287272619856687
0.22844291651916143,0.4287170145067304
0.23117226872997682,0.42870676702779215
0.23390162094079225,0.4286965195488539
0.23663097315160764,0.4286862720699156
0.23936032536242302,0.42867602459097737
0.24208967757323846,0.4286657771120391
0.24481902978405384,0.42865552963310083
0.24754838199486923,0.4286452821541626
0.25027773420568467,0.42863503467522435
0.25300708641650005,0.4286247871962861
0.2557364386273155,0.4286145397173478
0.25846579083813087,0.42860429223840957
0.26119514304894625,0.4285940447594713
0.2639244952597617,0.42858379728053303
0.2666538474705771,0.4285735498015948
0.26938319968139246,0.42856330232265655
0.2721125518922079,0.42855305484371825
0.2748419041030233,0.42854280736478
0.27757125631383867,0.42853255988584177
0.2803006085246541,0.42852231240690347
0.2830299607354695,0.42851206492796523
0.2857593129462849,0.428501817449027
0.2884886651571003,0.4284915699700887
0.2912180173679157,0.42848132249115045
0.29394736957873113,0.4284710750122122
0.2966767217895465,0.42846082753327397
0.2994060740003619,0.4284505800543357
0.30213542621117734,0.42844033257539743
0.3048647784219927,0.4284300850964592
0.30759413063280816,0.4284198376175209
0.31032348284362354,0.42840959013858265
0.3130528350544389,0.4283993426596444
0.31578218726525437,0.4283890951807061
0.31851153947606975,0.4283788477017679
0.32124089168688513,0.42836860022282963
0.32397024389770057,0.42835835274389134
0.32669959610851595,0.4283481052649531
0.32942894831933134,0.42833785778601485
0.3321583005301468,0.42832761030707656
0.33488765274096216,0.4283173628281383
0.3376170049517776,0.4283071153492001
0.340346357162593,0.42829686787026183
0.34307570937340837,0.42828662039132354
0.3458050615842238,0.4282763729123853
0.3485344137950392,0.42826612543344705
0.35126376600585457,0.42825587795450876
0.35399311821667,0.4282456304755705
0.3567224704274854,0.4282353829966323
0.3594518226383008,0.428225135517694
0.3621811748491162,0.42821488803875574
0.3649105270599316,0.4282046405598175
0.367639879270747,0.4281943930808792
