UID,loo_r,deviation_from_original
A010,0.2216520959736983,0.008137661988150746
A011,0.2121959002520735,0.0013185337334740699
A012,0.21720382718384684,0.003689393198299279
A013,0.212165916721581,0.0013485172639665644
A014,0.21598687710523812,0.002472443119690554
A015,0.22884194740413238,0.01532751341858482
A016,0.21490832916065084,0.0013938951751032713
A017,0.19473439711304089,0.018780036872506678
A018,0.1978040231382409,0.015710410847306677
A019,0.22604717284336007,0.012532738857812503
A020,0.21713028430893963,0.003615850323392067
A021,0.21406192765506699,0.0005474936695194221
A022,0.21561043365049642,0.002095999664948861
A023,0.21380956702006076,0.00029513303451320083
A024,0.20554418746485897,0.00797024652068859
A025,0.21456389536825698,0.0010494613827094212
A026,0.20730175090984018,0.006212683075707381
A027,0.21165826550652722,0.0018561684790203425
A028,0.21407147459913917,0.0005570406135916028
A029,0.21046647983951328,0.0030479541460342874
A030,0.20941229280350127,0.004102141182046298
A031,0.21503561485233036,0.0015211808667827953
A032,0.21380733768400909,0.00029290369846152187
A033,0.20080364966100886,0.012710784324538704
A034,0.21261859946263742,0.0008958345229101439
A035,0.2118431168556049,0.0016713171299426732
A036,0.21258806324706592,0.0009263707384816466
A037,0.22552751018548997,0.012013076199942407
A038,0.21541893946764787,0.001904505482100305
A039,0.1874679583954993,0.026046475590048274
A040,0.21516464279313613,0.0016502088075885657
A041,0.21673945818809578,0.003225024202548221
A042,0.2143471478000483,0.0008327138145007296
A043,0.2225493304983555,0.00903489651280795
A044,0.21331268080579527,0.00020175317975229534
A045,0.20409383132067574,0.009420602664871824
A046,0.2188518140989714,0.0053373801134238286
A047,0.2130626562066759,0.0004517777788716759
A048,0.21169272395329639,0.0018217100322511781
A049,0.2188410659017241,0.00532663191617655
A050,0.21341183499178729,0.00010259899376027781
A051,0.21507611716763775,0.0015616831820901844
A052,0.21144191144124436,0.002072522544303207
A053,0.23075751943974204,0.01724308545419448
A054,0.21351381395523517,6.20030312398212e-07
A055,0.2150737439170881,0.0015593099315405479
A056,0.2142707620293878,0.0007563280438402376
A057,0.21728570247697918,0.003771268491431612
A058,0.2081522271244981,0.005362206861049462
A059,0.21683574422450996,0.0033213102389623994
A060,0.21522759708922287,0.001713163103675308
A061,0.1892665191501592,0.02424791483538835
A062,0.2132514565648181,0.0002629774207294766
A063,0.22488527700186717,0.011370843016319604
A064,0.21645302206701372,0.002938588081466159
A065,0.20359392645860708,0.009920507526940486
A066,0.2079148239732898,0.005599610012257755
A067,0.210754954597882,0.0027594793876655754
A068,0.21524350193188097,0.0017290679463334013
A069,0.21375600941692727,0.0002415754313797036
A070,0.21217354999757523,0.00134088398797233
A071,0.21258865131151447,0.0009257826740330932
A072,0.21322398249759797,0.0002904514879495945
A073,0.21681895718582309,0.003304523200275522
A074,0.20399868488025022,0.009515749105297344
A075,0.21305647686992607,0.00045795711562149344
A076,0.2129559710142282,0.0005584629713193678
A077,0.20630700007061903,0.007207433914928535
A078,0.21323546246873992,0.0002789715168076412
A079,0.2119787038200954,0.001535730165452165
A080,0.21405841945138568,0.0005439854658381149
A081,0.22465175594554765,0.011137321960000085
A082,0.2135730484045103,5.8614418962738e-05
A083,0.21159843821225136,0.0019159957732962085
A084,0.21895111456096739,0.005436680575419822
A085,0.21260457977080435,0.0009098542147432109
A086,0.21265765248916457,0.0008567814963829912
A087,0.2117250035203843,0.0017894304651632775
A088,0.2195942864515707,0.0060798524660231335
A089,0.21330950249591185,0.0002049314896357124
A090,0.20875021298473648,0.004764221000811086
A091,0.21028954984729464,0.0032248841382529203
A092,0.2192012483464344,0.005686814360886833
A093,0.22856696177487604,0.015052527789328474
A094,0.21433532213764198,0.0008208881520944122
A095,0.20966420793297913,0.003850226052568434
A096,0.21868804938374917,0.005173615398201603
A097,0.2165686614803122,0.0030542274947646386
A098,0.20783684369075228,0.005677590294795282
A099,0.21446982107082727,0.000955387085279702
A100,0.2726937802390982,0.05917934625355062
A101,0.21168794692571774,0.0018264870598298233
A102,0.213342663858166,0.00017177012738156527
A103,0.16343459313506586,0.0500798408504817
A104,0.20927995701713575,0.00423447696841181
A105,0.23113405815999505,0.017619624174447485
A106,0.21205964521388526,0.001454788771662302
A107,0.19863455259864565,0.01487988138690191
A108,0.21363105880060745,0.00011662481505989031
A109,0.22397772340658323,0.010463289421035665
