UID,test,SD_accuracy,N_items,mean_accuracy
A010,1,0.30544661238970106,72,0.8715277777777778
A010,2,0.4103839713151125,72,0.6493055555555556
A010,3,0.46628033556027587,72,0.4965277777777778
A010,4,0.43186766850343355,72,0.6354166666666666
A011,1,0.36997811126727675,72,0.7291666666666666
A011,2,0.3862741856232089,72,0.7291666666666666
A011,3,0.43198089329885164,72,0.5659722222222222
A011,4,0.4575056547193231,72,0.5138888888888888
A012,1,0.3843067860320675,72,0.7361111111111112
A012,2,0.41922629290579666,72,0.5798611111111112
A012,3,0.41957610977459586,72,0.6215277777777778
A012,4,0.42904158576543483,72,0.4722222222222222
A013,1,0.43603740543196207,72,0.6284722222222222
A013,2,0.4460173044145773,72,0.5659722222222222
A013,3,0.4188761838938684,72,0.6493055555555556
A013,4,0.42532092274415995,72,0.5208333333333334
A014,1,0.4234050205466395,72,0.6701388888888888
A014,2,0.4490905433416917,72,0.6527777777777778
A014,3,0.4151380410348358,72,0.6111111111111112
A014,4,0.43994537913213533,72,0.46875
A015,1,0.36857099909942975,72,0.7743055555555556
A015,2,0.3633761873336319,72,0.75
A015,3,0.42097247037516783,72,0.7118055555555556
A015,4,0.4333372832972737,72,0.6493055555555556
A016,1,0.3692338375075656,72,0.7604166666666666
A016,2,0.42324617416305366,72,0.6875
A016,3,0.46523033065717057,72,0.46875
A016,4,0.3994690333520219,72,0.4513888888888889
A017,1,0.451912991750266,72,0.5416666666666666
A017,2,0.4267414611306093,72,0.65625
A017,3,0.45894645290640146,72,0.5486111111111112
A017,4,0.4458116685535119,72,0.6111111111111112
A018,1,0.44568824149532904,72,0.6701388888888888
A018,2,0.44337796291298703,72,0.6006944444444444
A018,3,0.45898641051682953,72,0.5381944444444444
A018,4,0.4395700524215856,72,0.5625
A019,1,0.4449194815586552,72,0.5104166666666666
A019,2,0.44134654888515057,72,0.4513888888888889
A019,3,0.4407228155615438,72,0.4826388888888889
A019,4,0.4458116685535119,72,0.5138888888888888
A020,1,0.452993866271387,72,0.5277777777777778
A020,2,0.4451529954502974,72,0.5277777777777778
A020,3,0.456636316286947,72,0.4895833333333333
A020,4,0.4038976525947112,72,0.3506944444444444
A021,1,0.40148394534832516,72,0.7222222222222222
A021,2,0.39284920372849114,72,0.6493055555555556
A021,3,0.44449334629247106,72,0.5694444444444444
A021,4,0.43934748529216694,72,0.5763888888888888
A022,1,0.415241105932852,72,0.6354166666666666
A022,2,0.4349143917703967,72,0.65625
A022,3,0.43186766850343355,72,0.6145833333333334
A022,4,0.45169650647233417,72,0.6111111111111112
A023,1,0.43994537913213533,72,0.6354166666666666
A023,2,0.42790021213981166,72,0.5833333333333334
A023,3,0.4131157376281571,72,0.6145833333333334
A023,4,0.4205075320455536,72,0.5729166666666666
A024,1,0.42879929807331657,72,0.65625
A024,2,0.47273831459329274,72,0.5520833333333334
A024,3,0.4466747029968673,72,0.5451388888888888
A024,4,0.4460310101011262,72,0.4166666666666667
A025,1,0.38492664890745565,72,0.7743055555555556
A025,2,0.3496414159082271,72,0.7604166666666666
A025,3,0.4499608746684476,72,0.5833333333333334
A025,4,0.4453589354410123,72,0.4618055555555556
A026,1,0.39210157154749536,72,0.7048611111111112
A026,2,0.4860007140459858,72,0.4756944444444444
A026,3,0.4234050205466394,72,0.6701388888888888
A026,4,0.4400704169005069,72,0.5833333333333334
A027,1,0.45055825223176976,72,0.6597222222222222
A027,2,0.4211612049600251,72,0.6458333333333334
A027,3,0.4383863701646823,72,0.4756944444444444
A027,4,0.4283571265381551,72,0.5555555555555556
A028,1,0.3350162913844008,72,0.8125
A028,2,0.4349143917703967,72,0.59375
A028,3,0.4618542736724932,72,0.5868055555555556
A028,4,0.44392911977057964,72,0.5520833333333334
A029,1,0.38398851948800705,72,0.7708333333333334
A029,2,0.42944034985607377,72,0.6458333333333334
A029,3,0.41813122888590853,72,0.7152777777777778
A029,4,0.398043311827704,72,0.6840277777777778
A030,1,0.4377165236612299,72,0.6076388888888888
A030,2,0.4202748700001912,72,0.7048611111111112
A030,3,0.4446583503244958,72,0.5902777777777778
A030,4,0.4419417382415922,72,0.6145833333333334
A031,1,0.33826674915475297,72,0.8159722222222222
A031,2,0.4659655825274614,72,0.5451388888888888
A031,3,0.4478774275857682,72,0.53125
A031,4,0.426512199701864,72,0.4826388888888889
A032,1,0.427843063530256,72,0.6319444444444444
A032,2,0.45759917727445,72,0.46875
A032,3,0.4100263121829087,72,0.6909722222222222
A032,4,0.4023205137382978,72,0.71875
A033,1,0.43838637016468235,72,0.5868055555555556
A033,2,0.45380283268685817,72,0.6180555555555556
A033,3,0.47202656353463424,72,0.5972222222222222
A033,4,0.4125234142356586,72,0.6493055555555556
A034,1,0.3203913637695167,72,0.8402777777777778
A034,2,0.4237658136149404,72,0.7083333333333334
A034,3,0.4653485744843836,72,0.5833333333333334
A034,4,0.4556714207210848,72,0.53125
A035,1,0.4580264657735214,72,0.5243055555555556
A035,2,0.44007041690050686,72,0.625
A035,3,0.43390119437364216,72,0.5520833333333334
A035,4,0.4415681084115985,72,0.4375
A036,1,0.38226530128090397,72,0.75
A036,2,0.4267414611306093,72,0.5729166666666666
A036,3,0.45385671251283455,72,0.5416666666666666
A036,4,0.44392911977057964,72,0.4479166666666667
A037,1,0.4038976525947112,72,0.7118055555555556
A037,2,0.3705724539978273,72,0.75
A037,3,0.3873488397177316,72,0.6944444444444444
A037,4,0.4228415686463121,72,0.5277777777777778
A038,1,0.4295969059070901,72,0.6701388888888888
A038,2,0.41358898556753854,72,0.5868055555555556
A038,3,0.4024572411895648,72,0.75
A038,4,0.4687907520105095,72,0.6076388888888888
A039,1,0.33870019311150606,72,0.8368055555555556
A039,2,0.3174009278228178,72,0.8055555555555556
A039,3,0.4391804859252371,72,0.6527777777777778
A039,4,0.4234050205466394,72,0.6423611111111112
A040,1,0.4236359635081337,72,0.5520833333333334
A040,2,0.4549329689743104,72,0.5972222222222222
A040,3,0.4383863701646823,72,0.4756944444444444
A040,4,0.4380515749499354,72,0.3784722222222222
A041,1,0.4109793781879751,72,0.6979166666666666
A041,2,0.40674814468923853,72,0.5069444444444444
A041,3,0.431485315468312,72,0.6458333333333334
A041,4,0.4596385597769217,72,0.5
A042,1,0.4169599906499626,72,0.4375
A042,2,0.438065529859066,72,0.5
A042,3,0.4518588801543408,72,0.4930555555555556
A042,4,0.43994537913213533,72,0.46875
A043,1,0.4031705089802875,72,0.7048611111111112
A043,2,0.4124789556921527,72,0.6736111111111112
A043,3,0.42857113747288716,72,0.7048611111111112
A043,4,0.4488590779197697,72,0.5729166666666666
A044,1,0.4258236748167354,72,0.5659722222222222
A044,2,0.4488590779197697,72,0.5104166666666666
A044,3,0.4158442587968901,72,0.4305555555555556
A044,4,0.4302793929820938,72,0.4756944444444444
A045,1,0.4549329689743104,72,0.5972222222222222
A045,2,0.44947152066323837,72,0.5208333333333334
A045,3,0.4583466707406412,72,0.4826388888888889
A045,4,0.43532181897073285,72,0.4513888888888889
A046,1,0.44974344973443436,72,0.5138888888888888
A046,2,0.4486002399395986,72,0.4097222222222222
A046,3,0.3862741856232089,72,0.3125
A046,4,0.42324617416305366,72,0.3541666666666667
A047,1,0.45771939248137733,72,0.5
A047,2,0.4200566322948589,72,0.5555555555555556
A047,3,0.4184089161654667,72,0.5104166666666666
A047,4,0.4463461247365016,72,0.4756944444444444
