uid,age,sex,sex_binary,education
A010,22,1,1,6
A011,21,1,1,2
A012,21,0,0,4
A013,22,0,0,6
A014,22,1,1,6
A015,23,0,0,6
A016,21,0,0,6
A017,24,0,0,8
A018,23,0,0,6
A019,20,0,0,5
A020,26,0,0,6
A021,28,1,1,6
A022,28,0,0,8
A023,26,0,0,6
A024,29,1,1,8
A025,26,0,0,6
A026,29,0,0,8
A027,28,0,0,6
A028,26,0,0,7
A029,25,0,0,6
A030,31,0,0,8
A031,32,0,0,6
A032,33,0,0,6
A033,32,1,1,6
A034,33,0,0,6
A035,34,1,1,7
A036,30,1,1,6
A037,31,1,1,7
A038,32,0,0,4
A039,31,1,1,8
A040,38,1,1,8
A041,35,0,0,6
A042,38,0,0,6
A043,38,1,1,6
A044,38,1,1,6
A045,37,0,0,8
A046,38,0,0,6
A047,36,0,0,6
A048,38,1,1,8
A049,35,1,1,5
A050,41,1,1,9
A051,41,1,1,1
A052,43,0,0,9
A053,44,0,0,6
A054,43,0,0,7
A055,44,1,1,6
A056,42,0,0,6
A057,40,0,0,6
A058,42,1,1,6
A059,43,0,0,6
A060,48,0,0,4
A061,47,0,0,5
A062,48,0,0,8
A063,45,0,0,8
A064,47,1,1,6
A065,47,0,0,6
A066,47,0,0,8
A067,48,0,0,6
A068,49,0,0,8
A069,46,1,1,5
A070,52,1,1,5
A071,50,0,0,7
A072,50,0,0,7
A073,51,0,0,6
A074,53,0,0,6
A075,53,0,0,6
A076,54,0,0,1
A077,52,0,0,6
A078,50,0,0,7
A079,50,0,0,5
A080,56,0,0,8
A081,55,1,1,5
A082,58,1,1,9
A083,58,0,0,9
A084,59,0,0,5
A085,58,0,0,2
A086,58,0,0,5
A087,59,0,0,6
A088,56,0,0,4
A089,56,0,0,3
A090,61,1,1,4
A091,63,0,0,8
A092,60,1,1,6
A093,64,1,1,6
A094,60,0,0,5
A095,61,1,1,6
A096,60,0,0,8
A097,64,0,0,6
A098,60,0,0,7
A099,63,0,0,5
A100,66,0,0,8
A101,69,1,1,2
A102,68,0,0,5
A103,68,0,0,6
A104,66,0,0,6
A105,68,1,1,8
A106,66,0,0,8
A107,70,0,0,5
A108,69,0,0,4
A109,68,0,0,8
