uid,theta,theta_sd
A010,0.97076143875,1.2178984296238864
A011,0.07180207999999996,0.764952922572073
A012,0.3549183125,0.9983605714005557
A013,-0.16506315,0.4345528303108993
A014,0.6169010075,0.98792466278523
A015,1.559498015,0.5480041329732562
A016,0.11325782150000002,1.0265151516766369
A017,0.3353329775,0.6129599195559645
A018,-0.10452744725000002,0.4242237143743604
A019,-1.13018943,0.503570908935167
A020,-0.91300866125,0.9828607022638935
A021,0.79059709,0.41744335660689785
A022,0.1149351101,0.2489053694335469
A023,0.13347564975,0.564240461362164
A024,-0.04513158249999999,0.49333426923187323
A025,0.346842675,1.2458003549545418
A026,0.406870533,0.6143249900012492
A027,-0.05787567499999999,0.8662173327134107
A028,0.12858346,1.0054895873339327
A029,1.023111325,0.5941334526424535
A030,0.435349075,0.5569033989950327
A031,0.4143596645,1.2561515409603767
A032,0.7238456824999999,0.6867796468996276
A033,0.375180925,0.5729644131202563
A034,0.609261065,1.0208255490221751
A035,-0.20200146749999998,0.734378303376299
A036,-0.05789503249999997,0.9920611569188503
A037,0.6399919475,0.6918915526946126
A038,0.496686178,0.6906192527379235
A039,1.19202671,0.7274492552679152
A040,-0.9150132424999999,0.8866800903570685
A041,0.109736675,0.9763167416717192
A042,-0.8263051475000001,0.4648172711684802
A043,0.4509235725,0.588105770973124
A044,-0.891856265,0.7971964162945739
A045,-1.07199485,0.14819084735256086
A046,-1.212762325,0.3549871320140245
A047,-1.026090325,0.4886633162101242
A048,0.31380509999999995,0.5157827563053784
A049,0.4953288965,1.1343849195677154
A050,-0.79420681,0.3154524589702732
A051,-0.03917359749999999,1.0570207619051486
A052,0.063437571,0.626603999660066
A053,0.45830460749999996,0.8686184215254225
A054,1.0196071075,0.33268966396276606
A055,0.10256029849999998,0.6287554044992868
A056,-0.07194886249999999,0.7394070491946135
A057,-0.51205133,0.6933268695973811
A058,-0.252483834,0.9402063203364154
A059,0.98987943,0.4282131064462039
A060,0.235626169,0.7731054931440146
A061,0.86492765,1.2195356477719086
A062,0.09019198499999995,1.0359713954362437
A063,0.293277165,0.654542373506315
A064,0.30928356749999997,0.5058395006263984
A065,-1.9536738750000002,0.6527132189657894
A066,-0.5499262325000001,0.7577335717953881
A067,-0.82512955,0.9994149377760587
A068,0.37390792500000003,0.7061050442208835
A069,-1.1793972825,0.5037974021544791
A070,-0.21069506424999995,0.6989356838238728
A071,0.1962569325,0.8126183234462754
A072,0.07787222499999996,0.7845438808724591
A073,0.33634695950000004,0.7078510124958749
A074,-0.2549865725,1.0161118217166167
A075,-0.291115765,0.9810754401960247
A076,-1.220826245,0.9250092340059104
A077,0.48626458250000004,0.5980727845702362
A078,-0.49878498,0.6501291584750545
A079,-0.4405461125,0.6726918698333909
A080,0.05354647499999998,0.5715171909901507
A081,0.3615143925,0.5058913132895789
A082,0.4909304,0.5177449853573974
A083,0.7502973374999999,0.8706247328088966
A084,-0.0109190895,0.31997119376283567
A085,0.33935422249999997,0.9733044810057053
A086,-0.43033625999999997,0.9627965687472232
A087,0.5806797050000001,0.6776859523704132
A088,1.55795242,0.9468008784092372
A089,0.865113,0.5543225584179425
A090,-0.752913545,0.7681966504862792
A091,-0.373098455,0.7602832079570379
A092,-0.7275689125,0.4843272319547214
A093,0.48446266,0.20673327186594018
A094,-0.93752057,0.6456086360663761
A095,-0.013461817500000028,1.0549894782131308
A096,-1.325941315,0.6870101270289636
A097,0.142418974,0.5508717355584658
A098,0.35445072499999997,0.7761580403869106
A099,0.7514367825,0.6650194733658555
A100,0.2622341625,0.3786570100463675
A101,-1.1029622374999999,0.3354200614951928
A102,0.01133648850000002,0.7365588836204754
A103,-0.4859907875,1.537403041795766
A104,0.05959064250000001,1.443571253315444
A105,0.28618012000000004,0.3723173723662527
A106,0.6701173435000001,0.5148335065869295
A107,-1.15600219,0.3774837508996722
A108,-0.7731268499999999,0.4059526567474135
A109,-0.720264555,0.5573543998020593
