Variable,B,SE,t,p
Intercept,0.06221892870956038,0.07294488275124757,0.8529581015536866,0.3961977430341945
age_z,0.07906399413496405,0.08518597289905491,0.9281339573201167,0.3560956129648587
sex_binary,-0.1702708472471977,0.14965562598072746,-1.1377510610200854,0.2585787234020824
education_z,0.011924971505796095,0.06045944838536179,0.1972391714490621,0.844134479427611
RAVLT_T_z,0.1411058408262717,0.10895505162322192,1.295083052360258,0.19897079159210201
RAVLT_DR_T_z,-0.09138103067740562,0.14901860738588926,-0.6132189280280349,0.5414496966176183
RAVLT_Pct_Ret_z,0.15658653757280788,0.11564154179865418,1.3540682278816711,0.17948040213102312
BVMT_T_z,0.0602941098631647,0.08208082299218519,0.7345699965618671,0.46472271360621753
BVMT_Pct_Ret_z,0.11863539531780506,0.06225200490849716,1.9057281045355021,0.060233173819710134
NART_T_z,0.008713488653760336,0.07089407100382664,0.12290856668803812,0.9024839550334296
RPM_T_z,0.19946535654479983,0.07217002481968429,2.7638255223433963,0.007069919625616407
DASS_Dep_z,-0.11471362952393785,0.07902115988895198,-1.4516824314543637,0.1504522559796676
DASS_Anx_z,0.16434912495317977,0.08745502993283583,1.879241537958394,0.0638079770620097
DASS_Str_z,0.029012936821924608,0.10368799309370451,0.2798099949307067,0.7803365835809468
VR_Exp_z,0.049753103113226664,0.07595135463641489,0.6550653816696053,0.5142817046857511
Sleep_z,-0.04690403913500873,0.06186735469559745,-0.7581387529140061,0.4505681303433242
