Model,N_predictors,R2,Adj_R2,Delta_R2,F_statistic,p_value,CV_test_R2_mean,CV_test_R2_sd
Demographics,3,0.04210548322807017,0.01120566010639501,0.04210548322807017,1.3626447977475522,0.25910108605181414,-0.21699776866952422,0.17082629429582688
+ Cognitive,10,0.2833551382675703,0.20002434039170636,0.24124965503950013,4.135834206886502,0.0005803134083981476,-0.16407087460603031,0.310856339206201
+ Self-report,15,0.34924346716927224,0.2287329981265449,0.06588832890170193,1.6402308303606639,0.15876041546801312,-0.33985889951306836,0.6469967304862237
