model,cohens_f2,f2_ci_lower,f2_ci_upper,effect_interpretation
RAVLT_reverse,0.08417312596838619,0.010857354606778665,0.24864279515059975,small
BVMT_reverse,0.1522860120063697,0.037776090644063,0.3735835201057072,medium
RAVLT_PctRet_reverse,0.12071906370080082,0.01755786247755989,0.31473525553035464,small
BVMT_PctRet_reverse,0.039730305870259955,0.00025321874418148774,0.18233308986126717,small
