model,outcome,predictor,R2,adj_R2,beta,se,ci_lower,ci_upper,p_uncorrected,p_bonferroni
RAVLT_reverse,RAVLT_T,REMEMVR_T,0.07763808560851626,0.06822622933921552,0.27863611684151174,0.0970147219204428,0.09672725591354082,0.4854743459863481,0.004998194392044937,0.01999277756817975
BVMT_reverse,BVMT_T,REMEMVR_T,0.1321599068457041,0.12330439569106855,0.36353804043827953,0.0941037255088005,0.18908992842509414,0.5344562027503642,0.00020103021466954946,0.0008041208586781978
RAVLT_PctRet_reverse,RAVLT_PctRet_T,REMEMVR_T,0.10771572253100292,0.09861078092417652,0.3282007351164876,0.09541981768388835,0.12303684344796197,0.5209446800378128,0.0008573345189050286,0.0034293380756201144
BVMT_PctRet_reverse,BVMT_PctRet_T,REMEMVR_T,0.03821212640041838,0.028397964424912492,0.1954792224263703,0.09906645232118656,-0.010137678969042312,0.47413166750553337,0.05128793091996027,0.20515172367984108
