comparison,beta,se,z,p_uncorrected,alpha_corrected,p_corrected,sig_uncorrected,sig_corrected
Cued_Recall-Free_Recall,0.02335203799523032,0.06655459793370305,0.3508703939356971,0.7256855833731868,0.016666666666666666,1.0,False,False
Recognition-Free_Recall,0.20987652517503275,0.06655459793370305,3.15344892300449,0.0016135346205583046,0.016666666666666666,0.004840603861674914,True,True
Recognition-Cued_Recall,0.1865244871798024,0.06655459793370301,2.8025785290687946,0.005069587267229503,0.016666666666666666,0.015208761801688508,True,True
