paradigm,TEST,TSVR_hours,measurement_type,observed_mean,model_prediction,CI_lower,CI_upper
ICR,T1,1.0,IRT,0.63514823516,0.6950286917364573,0.465604202874502,0.8046922674454979
ICR,T2,28.769699999999997,IRT,0.20460645732299995,0.06363782262292178,0.04714335981785592,0.36206955482814396
ICR,T3,78.6681,IRT,-0.136695244473,-0.17711110200547786,-0.2936396449698072,0.020249156023807197
ICR,T4,151.37520000000004,IRT,-0.4525519853300001,-0.3310479496739023,-0.6167818640540929,-0.2883221066059073
IFR,T1,1.0,IRT,0.55445181963,0.6008795084844237,0.38086157023941536,0.7280420690205847
IFR,T2,28.769699999999997,IRT,0.15067705521,0.04348421498590861,-0.003326283421804299,0.3046803938418043
IFR,T3,78.6681,IRT,-0.144967107346,-0.16946139418669762,-0.30270399921175495,0.012769784519754995
IFR,T4,151.37520000000004,IRT,-0.39049867257000004,-0.3052392343596354,-0.5555792434202037,-0.22541810171979634
IRE,T1,1.0,IRT,0.6252861815200002,0.6916502745486237,0.44409082527616467,0.8064815377638357
IRE,T2,28.769699999999997,IRT,0.18025555501800003,0.03210706667882654,0.016899977793965876,0.3436111322420342
IRE,T3,78.6681,IRT,-0.18301208719,-0.21921990060621824,-0.3468489932104091,-0.019175181169590938
IRE,T4,151.37520000000004,IRT,-0.49805772859,-0.3800655198632328,-0.6731852898446951,-0.322930167335305
ICR,T1,1.0,CTT,0.7085526315789474,0.7209333646659621,0.6828012841631415,0.7343039789947534
ICR,T2,28.769699999999997,CTT,0.6492105263157893,0.6226659699577582,0.6250339115755204,0.6733871410560583
ICR,T3,78.6681,CTT,0.5926315789473684,0.5850011193921838,0.5678194727849253,0.6174436851098115
ICR,T4,151.37520000000004,CTT,0.5392105263157895,0.5610048091419906,0.5123167825516708,0.5661042700799082
IFR,T1,1.0,CTT,0.6160416666666667,0.6204446301376747,0.5762475252765944,0.655835808056739
IFR,T2,28.769699999999997,CTT,0.5577083333333333,0.5446571179199071,0.5242024984247136,0.5912141682419529
IFR,T3,78.6681,CTT,0.5116666666666666,0.5154389245915513,0.4767360991726429,0.5465972341606903
IFR,T4,151.37520000000004,CTT,0.49208333333333343,0.49695932735086695,0.45693905243589605,0.5272276142307708
IRE,T1,1.0,CTT,0.697857142857143,0.7054859498049219,0.6704300751975473,0.7252842105167386
IRE,T2,28.769699999999997,CTT,0.6267857142857143,0.6082118543955369,0.6005728617823404,0.6529985667890882
IRE,T3,78.6681,CTT,0.5760714285714286,0.570920229033193,0.5503873160431819,0.6017555410996752
IRE,T4,151.37520000000004,CTT,0.5310714285714286,0.5471676810520624,0.500503952292537,0.5616389048503203
