composite_ID,UID,TEST,paradigm,CTT_mean,n_items
A020_3,A020,T3,IFR,0.25,12
A020_3,A020,T3,ICR,0.5657894736842105,19
A020_3,A020,T3,IRE,0.6071428571428571,14
A020_4,A020,T4,IFR,0.20833333333333334,12
A020_4,A020,T4,ICR,0.34210526315789475,19
A020_4,A020,T4,IRE,0.30357142857142855,14
A021_1,A021,T1,IFR,0.7916666666666666,12
A021_1,A021,T1,ICR,0.7894736842105263,19
A021_1,A021,T1,IRE,0.75,14
A021_2,A021,T2,IFR,0.6666666666666666,12
A021_2,A021,T2,ICR,0.7763157894736842,19
A021_2,A021,T2,IRE,0.6071428571428571,14
A021_3,A021,T3,IFR,0.7291666666666666,12
A021_3,A021,T3,ICR,0.6052631578947368,19
A021_3,A021,T3,IRE,0.5535714285714286,14
A021_4,A021,T4,IFR,0.8333333333333334,12
A021_4,A021,T4,ICR,0.6578947368421053,19
A021_4,A021,T4,IRE,0.6071428571428571,14
A022_1,A022,T1,IFR,0.6666666666666666,12
A022_1,A022,T1,ICR,0.6842105263157895,19
A022_1,A022,T1,IRE,0.6428571428571429,14
A022_2,A022,T2,IFR,0.6458333333333334,12
A022_2,A022,T2,ICR,0.6842105263157895,19
A022_2,A022,T2,IRE,0.75,14
A022_3,A022,T3,IFR,0.75,12
A022_3,A022,T3,ICR,0.6578947368421053,19
A022_3,A022,T3,IRE,0.5892857142857143,14
A022_4,A022,T4,IFR,0.625,12
A022_4,A022,T4,ICR,0.6973684210526315,19
A022_4,A022,T4,IRE,0.7321428571428571,14
A023_1,A023,T1,IFR,0.5208333333333334,12
A023_1,A023,T1,ICR,0.7631578947368421,19
A023_1,A023,T1,IRE,0.75,14
A023_2,A023,T2,IFR,0.3333333333333333,12
A023_2,A023,T2,ICR,0.6842105263157895,19
A023_2,A023,T2,IRE,0.7142857142857143,14
A023_3,A023,T3,IFR,0.4791666666666667,12
A023_3,A023,T3,ICR,0.7105263157894737,19
A023_3,A023,T3,IRE,0.6607142857142857,14
A023_4,A023,T4,IFR,0.5208333333333334,12
A023_4,A023,T4,ICR,0.6447368421052632,19
A023_4,A023,T4,IRE,0.6785714285714286,14
A024_1,A024,T1,IFR,0.7083333333333334,12
A024_1,A024,T1,ICR,0.631578947368421,19
A024_1,A024,T1,IRE,0.625,14
A024_2,A024,T2,IFR,0.5208333333333334,12
A024_2,A024,T2,ICR,0.7105263157894737,19
A024_2,A024,T2,IRE,0.6071428571428571,14
A024_3,A024,T3,IFR,0.625,12
A024_3,A024,T3,ICR,0.5263157894736842,19
A024_3,A024,T3,IRE,0.6071428571428571,14
A024_4,A024,T4,IFR,0.3958333333333333,12
A024_4,A024,T4,ICR,0.34210526315789475,19
A024_4,A024,T4,IRE,0.3392857142857143,14
A025_1,A025,T1,IFR,0.7708333333333334,12
A025_1,A025,T1,ICR,0.7763157894736842,19
A025_1,A025,T1,IRE,0.8035714285714286,14
A025_2,A025,T2,IFR,0.9583333333333334,12
A025_2,A025,T2,ICR,0.868421052631579,19
A025_2,A025,T2,IRE,0.75,14
A025_3,A025,T3,IFR,0.4583333333333333,12
A025_3,A025,T3,ICR,0.5526315789473685,19
A025_3,A025,T3,IRE,0.7142857142857143,14
A025_4,A025,T4,IFR,0.1875,12
A025_4,A025,T4,ICR,0.47368421052631576,19
A025_4,A025,T4,IRE,0.7142857142857143,14
A026_1,A026,T1,IFR,0.5416666666666666,12
A026_1,A026,T1,ICR,0.7894736842105263,19
A026_1,A026,T1,IRE,0.8392857142857143,14
A026_2,A026,T2,IFR,0.7083333333333334,12
A026_2,A026,T2,ICR,0.6052631578947368,19
A026_2,A026,T2,IRE,0.44642857142857145,14
A026_3,A026,T3,IFR,0.7291666666666666,12
A026_3,A026,T3,ICR,0.7894736842105263,19
A026_3,A026,T3,IRE,0.8214285714285714,14
A026_4,A026,T4,IFR,0.625,12
A026_4,A026,T4,ICR,0.5921052631578947,19
A026_4,A026,T4,IRE,0.5178571428571429,14
A027_1,A027,T1,IFR,0.3333333333333333,12
A027_1,A027,T1,ICR,0.7894736842105263,19
A027_1,A027,T1,IRE,0.7857142857142857,14
A027_2,A027,T2,IFR,0.6041666666666666,12
A027_2,A027,T2,ICR,0.6578947368421053,19
A027_2,A027,T2,IRE,0.6785714285714286,14
A027_3,A027,T3,IFR,0.3333333333333333,12
A027_3,A027,T3,ICR,0.5,19
A027_3,A027,T3,IRE,0.5892857142857143,14
A027_4,A027,T4,IFR,0.3333333333333333,12
A027_4,A027,T4,ICR,0.6842105263157895,19
A027_4,A027,T4,IRE,0.6428571428571429,14
A028_1,A028,T1,IFR,0.9166666666666666,12
A028_1,A028,T1,ICR,0.8947368421052632,19
A028_1,A028,T1,IRE,0.7321428571428571,14
A028_2,A028,T2,IFR,0.6875,12
A028_2,A028,T2,ICR,0.631578947368421,19
A028_2,A028,T2,IRE,0.6428571428571429,14
A028_3,A028,T3,IFR,0.4791666666666667,12
A028_3,A028,T3,ICR,0.7105263157894737,19
A028_3,A028,T3,IRE,0.5357142857142857,14
A028_4,A028,T4,IFR,0.4375,12
A028_4,A028,T4,ICR,0.5394736842105263,19
A028_4,A028,T4,IRE,0.4107142857142857,14
A029_1,A029,T1,IFR,1.0,12
A029_1,A029,T1,ICR,0.8421052631578947,19
A029_1,A029,T1,IRE,0.8571428571428571,14
A029_2,A029,T2,IFR,0.5833333333333334,12
A029_2,A029,T2,ICR,0.7105263157894737,19
A029_2,A029,T2,IRE,0.6964285714285714,14
A029_3,A029,T3,IFR,0.7916666666666666,12
A029_3,A029,T3,ICR,0.7894736842105263,19
A029_3,A029,T3,IRE,0.8214285714285714,14
A029_4,A029,T4,IFR,0.75,12
A029_4,A029,T4,ICR,0.6973684210526315,19
A029_4,A029,T4,IRE,0.75,14
A030_1,A030,T1,IFR,0.4375,12
A030_1,A030,T1,ICR,0.618421052631579,19
A030_1,A030,T1,IRE,0.6785714285714286,14
A030_2,A030,T2,IFR,0.7083333333333334,12
A030_2,A030,T2,ICR,0.8157894736842105,19
A030_2,A030,T2,IRE,0.75,14
A030_3,A030,T3,IFR,0.5,12
A030_3,A030,T3,ICR,0.6447368421052632,19
A030_3,A030,T3,IRE,0.7321428571428571,14
A030_4,A030,T4,IFR,0.7083333333333334,12
A030_4,A030,T4,ICR,0.6710526315789473,19
A030_4,A030,T4,IRE,0.7857142857142857,14
A031_1,A031,T1,IFR,0.875,12
A031_1,A031,T1,ICR,0.868421052631579,19
A031_1,A031,T1,IRE,0.9285714285714286,14
A031_2,A031,T2,IFR,0.3958333333333333,12
A031_2,A031,T2,ICR,0.6578947368421053,19
A031_2,A031,T2,IRE,0.6071428571428571,14
A031_3,A031,T3,IFR,0.3958333333333333,12
A031_3,A031,T3,ICR,0.631578947368421,19
A031_3,A031,T3,IRE,0.5714285714285714,14
A031_4,A031,T4,IFR,0.3125,12
A031_4,A031,T4,ICR,0.4605263157894737,19
A031_4,A031,T4,IRE,0.5178571428571429,14
A032_1,A032,T1,IFR,0.5833333333333334,12
A032_1,A032,T1,ICR,0.7105263157894737,19
A032_1,A032,T1,IRE,0.7142857142857143,14
A032_2,A032,T2,IFR,0.5,12
A032_2,A032,T2,ICR,0.5263157894736842,19
A032_2,A032,T2,IRE,0.44642857142857145,14
A032_3,A032,T3,IFR,0.6041666666666666,12
A032_3,A032,T3,ICR,0.6842105263157895,19
A032_3,A032,T3,IRE,0.6785714285714286,14
A032_4,A032,T4,IFR,0.9166666666666666,12
A032_4,A032,T4,ICR,0.7763157894736842,19
A032_4,A032,T4,IRE,0.6964285714285714,14
A033_1,A033,T1,IFR,0.625,12
A033_1,A033,T1,ICR,0.631578947368421,19
A033_1,A033,T1,IRE,0.5714285714285714,14
A033_2,A033,T2,IFR,0.4166666666666667,12
A033_2,A033,T2,ICR,0.7236842105263158,19
A033_2,A033,T2,IRE,0.5892857142857143,14
A033_3,A033,T3,IFR,0.7083333333333334,12
A033_3,A033,T3,ICR,0.631578947368421,19
A033_3,A033,T3,IRE,0.6785714285714286,14
A033_4,A033,T4,IFR,0.6458333333333334,12
A033_4,A033,T4,ICR,0.631578947368421,19
A033_4,A033,T4,IRE,0.6071428571428571,14
A034_1,A034,T1,IFR,0.7708333333333334,12
A034_1,A034,T1,ICR,0.8552631578947368,19
A034_1,A034,T1,IRE,0.9285714285714286,14
A034_2,A034,T2,IFR,0.75,12
A034_2,A034,T2,ICR,0.75,19
A034_2,A034,T2,IRE,0.7321428571428571,14
A034_3,A034,T3,IFR,0.5416666666666666,12
A034_3,A034,T3,ICR,0.6447368421052632,19
A034_3,A034,T3,IRE,0.5892857142857143,14
A034_4,A034,T4,IFR,0.4166666666666667,12
A034_4,A034,T4,ICR,0.6052631578947368,19
A034_4,A034,T4,IRE,0.6071428571428571,14
A035_1,A035,T1,IFR,0.25,12
A035_1,A035,T1,ICR,0.5131578947368421,19
A035_1,A035,T1,IRE,0.375,14
A035_2,A035,T2,IFR,0.625,12
A035_2,A035,T2,ICR,0.6578947368421053,19
A035_2,A035,T2,IRE,0.7142857142857143,14
A035_3,A035,T3,IFR,0.4583333333333333,12
A035_3,A035,T3,ICR,0.5789473684210527,19
A035_3,A035,T3,IRE,0.6428571428571429,14
A035_4,A035,T4,IFR,0.4166666666666667,12
A035_4,A035,T4,ICR,0.5,19
A035_4,A035,T4,IRE,0.26785714285714285,14
A036_1,A036,T1,IFR,0.6458333333333334,12
A036_1,A036,T1,ICR,0.7894736842105263,19
A036_1,A036,T1,IRE,0.8571428571428571,14
A036_2,A036,T2,IFR,0.5,12
A036_2,A036,T2,ICR,0.6052631578947368,19
A036_2,A036,T2,IRE,0.5892857142857143,14
A036_3,A036,T3,IFR,0.2708333333333333,12
A036_3,A036,T3,ICR,0.631578947368421,19
A036_3,A036,T3,IRE,0.6071428571428571,14
A036_4,A036,T4,IFR,0.1875,12
A036_4,A036,T4,ICR,0.4342105263157895,19
A036_4,A036,T4,IRE,0.5178571428571429,14
A037_1,A037,T1,IFR,0.8333333333333334,12
A037_1,A037,T1,ICR,0.7105263157894737,19
A037_1,A037,T1,IRE,0.7678571428571429,14
A037_2,A037,T2,IFR,0.6875,12
A037_2,A037,T2,ICR,0.8421052631578947,19
A037_2,A037,T2,IRE,0.6964285714285714,14
A037_3,A037,T3,IFR,0.75,12
A037_3,A037,T3,ICR,0.6973684210526315,19
A037_3,A037,T3,IRE,0.625,14
A037_4,A037,T4,IFR,0.4791666666666667,12
A037_4,A037,T4,ICR,0.6710526315789473,19
A037_4,A037,T4,IRE,0.5535714285714286,14
A038_1,A038,T1,IFR,0.6666666666666666,12
A038_1,A038,T1,ICR,0.8289473684210527,19
A038_1,A038,T1,IRE,0.7857142857142857,14
A038_2,A038,T2,IFR,0.6666666666666666,12
A038_2,A038,T2,ICR,0.5921052631578947,19
A038_2,A038,T2,IRE,0.6428571428571429,14
A038_3,A038,T3,IFR,0.7083333333333334,12
A038_3,A038,T3,ICR,0.6842105263157895,19
A038_3,A038,T3,IRE,0.75,14
A038_4,A038,T4,IFR,0.5208333333333334,12
A038_4,A038,T4,ICR,0.5657894736842105,19
A038_4,A038,T4,IRE,0.625,14
A039_1,A039,T1,IFR,0.9166666666666666,12
A039_1,A039,T1,ICR,0.8947368421052632,19
A039_1,A039,T1,IRE,0.875,14
A039_2,A039,T2,IFR,0.7083333333333334,12
A039_2,A039,T2,ICR,0.8552631578947368,19
A039_2,A039,T2,IRE,0.8392857142857143,14
A039_3,A039,T3,IFR,0.625,12
A039_3,A039,T3,ICR,0.6710526315789473,19
A039_3,A039,T3,IRE,0.6785714285714286,14
A039_4,A039,T4,IFR,0.6041666666666666,12
A039_4,A039,T4,ICR,0.7631578947368421,19
A039_4,A039,T4,IRE,0.8035714285714286,14
A040_1,A040,T1,IFR,0.4791666666666667,12
A040_1,A040,T1,ICR,0.5921052631578947,19
A040_1,A040,T1,IRE,0.3392857142857143,14
A040_2,A040,T2,IFR,0.4583333333333333,12
A040_2,A040,T2,ICR,0.7368421052631579,19
A040_2,A040,T2,IRE,0.625,14
A040_3,A040,T3,IFR,0.1875,12
A040_3,A040,T3,ICR,0.3157894736842105,19
A040_3,A040,T3,IRE,0.5,14
A040_4,A040,T4,IFR,0.5416666666666666,12
A040_4,A040,T4,ICR,0.15789473684210525,19
