composite_ID,UID,TEST,TSVR_hours,Days,paradigm,theta,log_TSVR,TSVR_sq
A010_1,A010,T1,1.0,0,IFR,2.2559497,0.6931471805599453,1.0
A010_2,A010,T2,21.9,1,IFR,0.063646406,3.131136910560194,479.60999999999996
A010_3,A010,T3,80.88,3,IFR,-0.63363457,4.405254760793088,6541.5743999999995
A010_4,A010,T4,145.31,6,IFR,0.530237,4.985727658390071,21114.9961
A011_1,A011,T1,1.0,0,IFR,1.0253187,0.6931471805599453,1.0
A011_2,A011,T2,24.57,1,IFR,0.29738232,3.2414197893030954,603.6849
A011_3,A011,T3,72.55,3,IFR,0.05539917,4.297965447047447,5263.5025
A011_4,A011,T4,148.85,6,IFR,-0.5692055,5.009634793762673,22156.3225
A012_1,A012,T1,1.0,0,IFR,1.1145911,0.6931471805599453,1.0
A012_2,A012,T2,25.6,1,IFR,-0.40524608,3.2809112157876537,655.3600000000001
A012_3,A012,T3,166.33,6,IFR,0.7902062,5.119967910506483,27665.668900000004
A012_4,A012,T4,166.87,6,IFR,-0.7995365,5.123189870334323,27845.5969
A013_1,A013,T1,1.0,0,IFR,-0.5856965,0.6931471805599453,1.0
A013_2,A013,T2,24.77,1,IFR,-0.4070654,3.2492110246642736,613.5529
A013_3,A013,T3,79.66,3,IFR,0.7922385,4.390242789445222,6345.7155999999995
A013_4,A013,T4,147.13,6,IFR,-1.0692434,4.998090266593961,21647.2369
A014_1,A014,T1,1.0,0,IFR,0.18263546,0.6931471805599453,1.0
A014_2,A014,T2,25.66,1,IFR,1.2276359,3.2831643147505627,658.4356
A014_3,A014,T3,70.56,3,IFR,0.35754204,4.270536258640519,4978.7136
A014_4,A014,T4,148.87,6,IFR,-0.58439595,5.009768251656904,22162.2769
A015_1,A015,T1,1.0,0,IFR,1.5247837,0.6931471805599453,1.0
A015_2,A015,T2,23.69,1,IFR,1.7857077,3.206398303357088,561.2161000000001
A015_3,A015,T3,70.59,3,IFR,1.7846233,4.270955399408094,4982.9481000000005
A015_4,A015,T4,146.54,6,IFR,-0.09274579,4.9940993254561565,21473.971599999997
