paradigm,n,r,p_uncorrected,p_bonferroni,threshold_0.70,threshold_0.90,interpretation
IFR,400,0.8757637224990726,5.982675159339445e-128,1.196535031867889e-127,True,False,Strong
ICR,400,0.8826942850713488,1.3530200268854568e-132,4.0590600806563705e-132,True,False,Strong
IRE,400,0.8382242795203417,7.361451555634026e-107,7.361451555634026e-107,True,False,Strong
Overall,1200,0.840109515463928,1.4763e-320,5.905e-320,True,False,Strong
