term,coef,se,z,p_uncorrected,p_bonferroni,sig
Intercept,0.8591700539891668,0.10299426806873026,8.341921061236382,7.309324286849906e-17,4.3855945721099437e-16,True
C(paradigm)[T.IFR],-0.1133578510406963,0.0803603907692972,-1.4106184645882314,0.15835714414684776,0.9501428648810866,False
C(paradigm)[T.IRE],0.003929707901379697,0.0803603907692972,0.04890105515615656,0.9609981479769637,1.0,False
log_TSVR,-0.2368059293267411,0.023342322253153205,-10.14491732050148,3.4907388463446724e-24,2.0944433078068036e-23,True
C(paradigm)[T.IFR]:log_TSVR,0.027712249760786907,0.021446892757445334,1.292133553993109,0.1963108976091562,1.0,False
C(paradigm)[T.IRE]:log_TSVR,-0.010543395824404314,0.021446892757445338,-0.491604818639481,0.6229987363303591,1.0,False
