UID,TEST,composite_ID,paradigm,IRT_theta,CTT_mean,IRT_fitted,CTT_fitted
A010,T1,A010_1,IFR,2.2559497,0.7708333333333334,1.8066605021255986,0.7499996370503864
A010,T1,A010_1,ICR,2.3076186,0.9736842105263158,1.9008096853776324,0.8504883715786737
A010,T1,A010_1,IRE,2.4384494,0.9642857142857144,1.897431268189799,0.8350409567176335
A010,T2,A010_2,IFR,0.063646406,0.375,0.7086994792436909,0.6144863836750238
A010,T2,A010_2,ICR,0.50561595,0.7631578947368421,0.7352864821837244,0.6944497035202322
A010,T2,A010_2,IRE,0.3100767,0.75,0.7062033742566656,0.6799092275642926
A010,T3,A010_3,IFR,-0.63363457,0.2916666666666667,0.13489405221522544,0.543665800247601
A010,T3,A010_3,ICR,-0.34386626,0.5921052631578947,0.12617238306492806,0.6129023328100998
A010,T3,A010_3,IRE,-0.5900594,0.4642857142857143,0.08365574631592468,0.5988358322092817
A010,T4,A010_4,IFR,0.530237,0.6875,-0.12652485720763873,0.5114007870354318
A010,T4,A010_4,ICR,0.39210933,0.6842105263157895,-0.15133273627551136,0.5757503232382432
A010,T4,A010_4,IRE,0.7578454,0.6071428571428571,-0.19996952854921862,0.561899760156648
A011,T1,A011_1,IFR,1.0253187,0.9375,0.7062869551521844,0.6883318465137449
A011,T1,A011_1,ICR,0.5639205,0.618421052631579,0.8004361384042182,0.7888205810420323
A011,T1,A011_1,IRE,0.64898896,0.7142857142857143,0.7970577212163846,0.7733731661809919
A011,T2,A011_2,IFR,0.29738232,0.6041666666666666,0.11014843631443547,0.5928366584289138
A011,T2,A011_2,ICR,-0.21693763,0.7368421052631579,0.1336792525744071,0.6718715076613105
A011,T2,A011_2,IRE,0.4779798,0.6607142857142857,0.10343338860410703,0.6573720572404943
A011,T3,A011_3,IFR,0.05539917,0.7291666666666666,-0.13701804082429733,0.5532431604804068
A011,T3,A011_3,ICR,-0.11885676,0.6710526315789473,-0.14276648171541204,0.6233829608576111
A011,T3,A011_3,IRE,-0.18876392,0.5178571428571429,-0.1841519247618664,0.6092765483361069
A011,T4,A011_4,IFR,-0.5692055,0.3958333333333333,-0.3035047458955778,0.5265737225695629
A011,T4,A011_4,ICR,-0.40435803,0.4736842105263157,-0.32897514546996093,0.5907219848041664
A011,T4,A011_4,IRE,-0.36833763,0.6607142857142857,-0.37786400013492916,0.5768803152428811
A012,T1,A012_1,IFR,1.1145911,0.7916666666666666,0.7689643557291029,0.6397060128269468
A012,T1,A012_1,ICR,0.84081537,0.7368421052631579,0.8631135389811367,0.7401947473552342
A012,T1,A012_1,IRE,1.185163,0.7857142857142857,0.8597351217933031,0.7247473324941939
A012,T2,A012_2,IFR,-0.40524608,0.3958333333333333,0.1587612482499462,0.5509451526419376
A012,T2,A012_2,ICR,-0.011747679,0.6842105263157895,0.181197668235768,0.6296475238925578
A012,T2,A012_2,IRE,-0.4810561,0.2857142857142857,0.15053543052437085,0.6151627643913365
A012,T3,A012_3,IFR,0.7902062,0.8333333333333334,-0.27489425305198356,0.4878651144583634
A012,T3,A012_3,ICR,0.46904305,0.5921052631578947,-0.30342223151445724,0.5510844831268553
A012,T3,A012_3,IRE,0.9331896,0.6428571428571429,-0.35347437190179565,0.5372838577893683
A012,T4,A012_4,IFR,-0.7995365,0.5416666666666666,-0.2756540015732386,0.48775460054677505
A012,T4,A012_4,ICR,-1.1657566,0.3421052631578947,-0.3042712677911805,0.550946843563036
A012,T4,A012_4,IRE,-1.2891253,0.4285714285714285,-0.3543573785763142,0.5371474168034932
A013,T1,A013_1,IFR,-0.5856965,0.2916666666666667,-0.16318034915903445,0.5410372457382631
A013,T1,A013_1,ICR,-0.06196794,0.6842105263157895,-0.06903116590700065,0.6415259802665505
A013,T1,A013_1,IRE,-0.26959375,0.6785714285714286,-0.07240958309483425,0.6260785654055101
A013,T2,A013_2,IFR,-0.4070654,0.5416666666666666,-0.26284249966652873,0.523327958747227
A013,T2,A013_2,ICR,-0.72638094,0.5131578947368421,-0.23952759606683116,0.6022972136357618
A013,T2,A013_2,IRE,-0.26315907,0.6071428571428571,-0.26985560611550524,0.5878006615759932
A013,T3,A013_3,IFR,0.7922385,0.625,-0.307331873332889,0.5154224993296141
A013,T3,A013_3,ICR,1.0730467,0.6973684210526315,-0.31563752698379255,0.5847854175504829
A013,T3,A013_3,IRE,0.5015512,0.7142857142857143,-0.3579958865767707,0.5707133324549107
A013,T4,A013_4,IFR,-1.0692434,0.3125,-0.33103213688183253,0.5112111235283278
A013,T4,A013_4,ICR,-1.4795078,0.4736842105263157,-0.3561826116359461,0.5754565790384163
A013,T4,A013_4,IRE,-0.85894424,0.6607142857142857,-0.40494974778136905,0.561610614881177
A014,T1,A014_1,IFR,0.18263546,0.4166666666666667,0.8589987724584287,0.6258590385225532
A014,T1,A014_1,ICR,0.5662233,0.8421052631578947,0.9531479557104625,0.7263477730508405
A014,T1,A014_1,IRE,0.8939411,0.625,0.949769538522629,0.7109003581898002
A014,T2,A014_2,IFR,1.2276359,0.75,0.2693886761712786,0.5798885542074227
A014,T2,A014_2,ICR,1.1082016,0.7368421052631579,0.2917626577159045,0.6585719566371466
A014,T2,A014_2,IRE,1.3020949,0.75,0.2610766646903098,0.6440880352949551
A014,T3,A014_3,IFR,0.35754204,0.6666666666666666,0.044616237710127515,0.5623635865689451
A014,T3,A014_3,ICR,0.03844115,0.6447368421052632,0.03962792133888127,0.6327343130487268
A014,T3,A014_3,IRE,0.1523909,0.5357142857142857,-0.0014683249170567014,0.6186176967934679
A014,T4,A014_4,IFR,-0.58439595,0.5625,-0.12366784073367762,0.5492428808054205
A014,T4,A014_4,ICR,-0.97037005,0.5,-0.1491419387265582,0.613390019459154
A014,T4,A014_4,IRE,-0.9391108,0.5357142857142857,-0.1980322004909312,0.5995483995445735
A015,T1,A015_1,IFR,1.5247837,0.7291666666666666,1.8260751322325324,0.7595904933174772
A015,T1,A015_1,ICR,1.659924,0.8157894736842105,1.9202243154845662,0.8600792278457645
A015,T1,A015_1,IRE,1.7311847,0.8571428571428571,1.9168458982967325,0.8446318129847242
A015,T2,A015_2,IFR,1.7857077,0.8125,1.2361024537949097,0.6931718898837709
A015,T2,A015_2,ICR,1.7755525,0.9210526315789472,1.260603794220411,0.7725015847067842
A015,T2,A015_2,IRE,1.9454731,0.75,1.2307271756387985,0.7579891061965843
A015,T3,A015_3,IFR,1.7846233,0.9166666666666666,0.9862031915962377,0.6650384515043792
A015,T3,A015_3,ICR,1.6194718,0.7894736842105263,0.9812032598913555,0.735405649241624
A015,T3,A015_3,IRE,1.5540669,0.6428571428571429,0.9401025944683988,0.7212891889078868
A015,T4,A015_4,IFR,-0.09274579,0.5,0.816448901992401,0.6459276634044523
A015,T4,A015_4,ICR,-0.014565401,0.7105263157894737,0.7914090251958789,0.7102067186138428
A015,T4,A015_4,IRE,0.14790718,0.625,0.7426839671225838,0.6963592698154907
A016,T1,A016_1,IFR,1.8982425,0.9166666666666666,1.7454779302773806,0.7371243534914842
A016,T1,A016_1,ICR,1.3016679,0.75,1.8396271135294144,0.8376130880197715
A016,T1,A016_1,IRE,1.9085045,0.7857142857142857,1.8362486963415807,0.8221656731587312
A016,T2,A016_2,IFR,1.1705568,0.6666666666666666,0.40659571837489494,0.5874187590591122
A016,T2,A016_2,ICR,1.4167509,0.7631578947368421,0.42235271622311854,0.6640919194615269
A016,T2,A016_2,IRE,1.2414935,0.7857142857142857,0.3891492271848574,0.6496968229607032
A016,T3,A016_3,IFR,-0.06720384,0.5208333333333334,-0.010092977910527212,0.5408271855688503
A016,T3,A016_3,ICR,-0.14719886,0.5657894736842105,-0.01873329988961181,0.6100884314312266
