composite_ID,UID,TEST,TSVR_hours,Days,paradigm,CTT_mean,log_TSVR,TSVR_sq
A010_1,A010,T1,1.0,0,IFR,0.7708333333333334,0.6931471805599453,1.0
A010_2,A010,T2,21.9,1,IFR,0.375,3.131136910560194,479.60999999999996
A010_3,A010,T3,80.88,3,IFR,0.2916666666666667,4.405254760793088,6541.5743999999995
A010_4,A010,T4,145.31,6,IFR,0.6875,4.985727658390071,21114.9961
A011_1,A011,T1,1.0,0,IFR,0.9375,0.6931471805599453,1.0
A011_2,A011,T2,24.57,1,IFR,0.6041666666666666,3.2414197893030954,603.6849
A011_3,A011,T3,72.55,3,IFR,0.7291666666666666,4.297965447047447,5263.5025
A011_4,A011,T4,148.85,6,IFR,0.3958333333333333,5.009634793762673,22156.3225
A012_1,A012,T1,1.0,0,IFR,0.7916666666666666,0.6931471805599453,1.0
A012_2,A012,T2,25.6,1,IFR,0.3958333333333333,3.2809112157876537,655.3600000000001
A012_3,A012,T3,166.33,6,IFR,0.8333333333333334,5.119967910506483,27665.668900000004
A012_4,A012,T4,166.87,6,IFR,0.5416666666666666,5.123189870334323,27845.5969
A013_1,A013,T1,1.0,0,IFR,0.2916666666666667,0.6931471805599453,1.0
A013_2,A013,T2,24.77,1,IFR,0.5416666666666666,3.2492110246642736,613.5529
A013_3,A013,T3,79.66,3,IFR,0.625,4.390242789445222,6345.7155999999995
A013_4,A013,T4,147.13,6,IFR,0.3125,4.998090266593961,21647.2369
A014_1,A014,T1,1.0,0,IFR,0.4166666666666667,0.6931471805599453,1.0
A014_2,A014,T2,25.66,1,IFR,0.75,3.2831643147505627,658.4356
A014_3,A014,T3,70.56,3,IFR,0.6666666666666666,4.270536258640519,4978.7136
A014_4,A014,T4,148.87,6,IFR,0.5625,5.009768251656904,22162.2769
A015_1,A015,T1,1.0,0,IFR,0.7291666666666666,0.6931471805599453,1.0
A015_2,A015,T2,23.69,1,IFR,0.8125,3.206398303357088,561.2161000000001
A015_3,A015,T3,70.59,3,IFR,0.9166666666666666,4.270955399408094,4982.9481000000005
A015_4,A015,T4,146.54,6,IFR,0.5,4.9940993254561565,21473.971599999997
A016_1,A016,T1,1.0,0,IFR,0.9166666666666666,0.6931471805599453,1.0
A016_2,A016,T2,32.85,1,IFR,0.6666666666666666,3.521938999358284,1079.1225000000002
A016_3,A016,T3,80.64,3,IFR,0.5208333333333334,4.402319337941644,6502.8096000000005
A016_4,A016,T4,150.8,6,IFR,0.5208333333333334,5.02256386496153,22740.640000000003
A017_1,A017,T1,1.0,0,IFR,0.7291666666666666,0.6931471805599453,1.0
A017_2,A017,T2,20.61,1,IFR,0.75,3.0731561705187946,424.77209999999997
A017_3,A017,T3,61.28,3,IFR,0.5416666666666666,4.131640346965797,3755.2384
A017_4,A017,T4,140.49,6,IFR,0.7083333333333334,4.952229043207861,19737.440100000003
A018_1,A018,T1,1.0,0,IFR,0.6041666666666666,0.6931471805599453,1.0
A018_2,A018,T2,34.03,1,IFR,0.625,3.5562048372093953,1158.0409
A018_3,A018,T3,83.64,3,IFR,0.2083333333333333,4.438406968109989,6995.6496
A018_4,A018,T4,150.87,6,IFR,0.5,5.023024891742178,22761.7569
A019_1,A019,T1,1.0,0,IFR,0.5833333333333334,0.6931471805599453,1.0
A019_2,A019,T2,28.69,1,IFR,0.4375,3.3908102887756684,823.1161000000001
A019_3,A019,T3,83.68,3,IFR,0.375,4.4388794462666645,7002.342400000001
A019_4,A019,T4,154.76,6,IFR,0.375,5.048316361063944,23950.6576
A020_1,A020,T1,1.0,0,IFR,0.5833333333333334,0.6931471805599453,1.0
A020_2,A020,T2,26.85,1,IFR,0.3541666666666667,3.326832966373293,720.9225000000001
