metric,IRT,CTT,delta,interpretation
AIC,2229.531269409128,-1488.834424587758,-3718.365693996886,Strong evidence for CTT
BIC,2280.432037766889,-1437.933656229997,-3718.365693996886,Strong evidence for CTT
