composite_ID,UID,TEST,theta_IFR,theta_ICR,theta_IRE,CTT_IFR,CTT_ICR,CTT_IRE,se_IFR,se_ICR,se_IRE
A049_2,A049,T2,-0.40477413,-0.50056607,-0.9171489,0.5416666666666666,0.5789473684210527,0.4821428571428571,,,
A049_3,A049,T3,0.5799155,0.64186585,0.6688247,0.625,0.7105263157894737,0.6785714285714286,,,
A049_4,A049,T4,0.29279515,-0.14295964,0.3420703,0.7083333333333334,0.6447368421052632,0.6785714285714286,,,
A050_1,A050,T1,0.10375316,-0.081971474,-0.004933702,0.6458333333333334,0.5526315789473685,0.6071428571428571,,,
A050_2,A050,T2,-0.20866837,-0.26677322,-0.6379478,0.625,0.5526315789473685,0.5714285714285714,,,
A050_3,A050,T3,-0.78698945,-0.98047173,-1.342118,0.375,0.3815789473684211,0.4464285714285714,,,
A050_4,A050,T4,-0.7662721,-0.5670056,-0.67183626,0.2916666666666667,0.5131578947368421,0.5357142857142857,,,
A051_1,A051,T1,1.1308651,1.7813605,1.2244735,0.625,0.8289473684210527,0.8571428571428571,,,
A051_2,A051,T2,-0.1484353,0.20063995,-0.15659332,0.5416666666666666,0.6578947368421053,0.6071428571428571,,,
A051_3,A051,T3,-0.51630783,-0.3531045,-0.39899728,0.4583333333333333,0.6447368421052632,0.5714285714285714,,,
A051_4,A051,T4,-0.24947512,-0.077873945,-0.19292271,0.3958333333333333,0.6710526315789473,0.6785714285714286,,,
A052_1,A052,T1,0.8560208,0.66354376,0.9162573,0.7916666666666666,0.7894736842105263,0.6071428571428571,,,
A052_2,A052,T2,0.514484,-0.25498182,0.7441957,0.75,0.6447368421052632,0.6071428571428571,,,
A052_3,A052,T3,0.336497,0.36897573,0.32922077,0.5833333333333334,0.5526315789473685,0.6428571428571429,,,
A052_4,A052,T4,-0.45561698,-0.78321314,-0.8879928,0.6666666666666666,0.3947368421052631,0.5,,,
A053_1,A053,T1,1.4144037,1.2605083,1.3877759,0.8541666666666666,0.7763157894736842,0.6964285714285714,,,
A053_2,A053,T2,0.28295353,1.0534477,0.41908395,0.4166666666666667,0.8026315789473685,0.6964285714285714,,,
A053_3,A053,T3,-0.83496577,-0.6444452,-0.7869955,0.3541666666666667,0.6052631578947368,0.4464285714285714,,,
A053_4,A053,T4,-0.19286156,-0.034559526,-0.4435216,0.5416666666666666,0.5263157894736842,0.5714285714285714,,,
A054_1,A054,T1,0.06454673,0.31915054,0.48956367,0.4791666666666667,0.7368421052631579,0.7321428571428571,,,
A054_2,A054,T2,0.59928095,0.45086184,0.6934224,0.6875,0.7105263157894737,0.5892857142857143,,,
A054_3,A054,T3,0.76526284,0.7501586,0.8463199,0.7083333333333334,0.6842105263157895,0.6428571428571429,,,
A054_4,A054,T4,1.2983474,1.2492504,1.2287457,0.7916666666666666,0.7368421052631579,0.75,,,
A055_1,A055,T1,-0.3203487,0.041222192,-0.13158245,0.3125,0.7763157894736842,0.6071428571428571,,,
A055_2,A055,T2,0.5494155,1.2471511,0.76897997,0.5625,0.75,0.8214285714285714,,,
A055_3,A055,T3,-0.9620779,-0.31288907,-0.907813,0.2916666666666667,0.6973684210526315,0.5,,,
A055_4,A055,T4,-0.9730982,-1.554973,-1.0814104,0.4166666666666667,0.4736842105263157,0.3035714285714285,,,
A056_1,A056,T1,0.8824607,0.9120589,0.72850454,0.7083333333333334,0.7236842105263158,0.7142857142857143,,,
A056_2,A056,T2,0.3381003,-0.018810825,0.22693743,0.5416666666666666,0.618421052631579,0.5892857142857143,,,
A056_3,A056,T3,-0.26972502,0.29311848,-0.091664016,0.2916666666666667,0.6973684210526315,0.6964285714285714,,,
A056_4,A056,T4,-1.5637758,-1.1334265,-1.3377627,0.2083333333333333,0.5131578947368421,0.4821428571428571,,,
A057_1,A057,T1,0.009936852,-0.05232748,0.27071217,0.5833333333333334,0.6710526315789473,0.6428571428571429,,,
A057_2,A057,T2,-0.7343016,-0.85586286,-0.8539148,0.4583333333333333,0.4868421052631579,0.4821428571428571,,,
A057_3,A057,T3,-0.6061695,-0.5226535,-0.71713674,0.4791666666666667,0.4605263157894737,0.5,,,
A057_4,A057,T4,-1.3534855,-1.2877662,-1.8448895,0.375,0.3421052631578947,0.2678571428571428,,,
A058_1,A058,T1,1.2909634,1.6296768,1.2466015,0.6875,0.7368421052631579,0.875,,,
A058_2,A058,T2,-1.1071848,-0.682836,-1.077494,0.2708333333333333,0.6052631578947368,0.4107142857142857,,,
A058_3,A058,T3,-0.0076611126,-0.061592907,-0.117913626,0.5833333333333334,0.6447368421052632,0.5357142857142857,,,
A058_4,A058,T4,-0.8837645,-0.7328553,-0.69132006,0.3333333333333333,0.5131578947368421,0.4642857142857143,,,
A059_1,A059,T1,0.98924613,0.8768439,1.7848992,0.5208333333333334,0.8947368421052632,0.8392857142857143,,,
A059_2,A059,T2,1.1210508,1.4401908,0.89374894,0.6041666666666666,0.8289473684210527,0.8214285714285714,,,
A059_3,A059,T3,1.5913445,2.004653,1.4927459,0.8541666666666666,0.8289473684210527,0.8571428571428571,,,
A059_4,A059,T4,0.5147332,0.0840155,0.68180627,0.625,0.5657894736842105,0.6785714285714286,,,
A060_1,A060,T1,0.089007095,-0.034585696,-0.38018447,0.625,0.631578947368421,0.5535714285714286,,,
A060_2,A060,T2,0.9243096,0.75584376,1.1239609,0.75,0.7631578947368421,0.7142857142857143,,,
A060_3,A060,T3,-0.42468035,-0.2604367,-0.09334896,0.4166666666666667,0.6842105263157895,0.75,,,
A060_4,A060,T4,0.6639469,0.36166513,0.46231183,0.7708333333333334,0.6578947368421053,0.5892857142857143,,,
A061_1,A061,T1,2.6159682,2.3680613,2.7986915,0.9583333333333334,0.9210526315789472,0.9642857142857144,,,
A061_2,A061,T2,0.83355284,0.9821358,1.2234498,0.6666666666666666,0.8552631578947368,0.8571428571428571,,,
A061_3,A061,T3,0.720659,0.64583325,0.5204708,0.7916666666666666,0.6052631578947368,0.6785714285714286,,,
A061_4,A061,T4,-0.44061255,-0.63718915,-0.6823952,0.5416666666666666,0.5394736842105263,0.6785714285714286,,,
A062_1,A062,T1,1.5698215,1.4751632,1.4583671,0.8333333333333334,0.8421052631578947,0.75,,,
A062_2,A062,T2,0.29121718,0.39018252,0.24000895,0.5833333333333334,0.6052631578947368,0.75,,,
A062_3,A062,T3,-0.99807596,-0.94510424,-0.984396,0.3333333333333333,0.4210526315789473,0.4285714285714285,,,
A062_4,A062,T4,-1.3407863,-0.8798419,-1.181499,0.1458333333333333,0.5,0.5,,,
A063_1,A063,T1,1.0055077,1.2077117,0.9245191,0.7916666666666666,0.7894736842105263,0.75,,,
A063_2,A063,T2,0.5848471,1.3568763,1.0350604,0.4166666666666667,0.8421052631578947,0.7857142857142857,,,
A063_3,A063,T3,-0.0073365774,0.070884176,0.028180914,0.3541666666666667,0.6052631578947368,0.5535714285714286,,,
A063_4,A063,T4,-1.0480841,-1.0678395,-0.9576166,0.3541666666666667,0.4736842105263157,0.5,,,
A064_1,A064,T1,0.9337908,1.2809386,1.2904102,0.625,0.8421052631578947,0.8928571428571429,,,
A064_2,A064,T2,1.0231495,0.7598011,1.1106834,0.7083333333333334,0.7368421052631579,0.6785714285714286,,,
A064_3,A064,T3,0.12078351,0.16164199,0.2845312,0.4791666666666667,0.6710526315789473,0.6071428571428571,,,
A064_4,A064,T4,-0.82732314,-0.7334007,-0.7148069,0.3958333333333333,0.5657894736842105,0.4642857142857143,,,
A065_1,A065,T1,-1.6313238,-1.8375293,-1.9897554,0.1875,0.2894736842105263,0.4285714285714285,,,
A065_2,A065,T2,0.011327019,-0.0030232137,-0.46454605,0.625,0.5131578947368421,0.5714285714285714,,,
A065_3,A065,T3,-1.3355386,-1.2474006,-2.072122,0.3541666666666667,0.3552631578947368,0.3392857142857143,,,
A065_4,A065,T4,-2.3671904,-2.2587807,-2.4058857,0.2083333333333333,0.1578947368421052,0.2678571428571428,,,
A066_1,A066,T1,0.2606496,-0.14587693,0.04724063,0.7291666666666666,0.5394736842105263,0.4642857142857143,,,
A066_2,A066,T2,-0.04822852,-0.5350211,0.049044065,0.5416666666666666,0.5263157894736842,0.5357142857142857,,,
A066_3,A066,T3,-0.73158157,-1.1306067,-0.8186272,0.375,0.4736842105263157,0.4821428571428571,,,
A066_4,A066,T4,-1.053569,-1.4549768,-1.2446865,0.4791666666666667,0.3815789473684211,0.3392857142857143,,,
A067_1,A067,T1,0.53448457,0.20703617,0.4298758,0.6666666666666666,0.5526315789473685,0.7142857142857143,,,
A067_2,A067,T2,-1.4098325,-1.5590602,-1.1691964,0.3541666666666667,0.4342105263157895,0.4464285714285714,,,
A067_3,A067,T3,-1.5651689,-1.4660316,-1.4345893,0.2708333333333333,0.4605263157894737,0.3571428571428571,,,
A067_4,A067,T4,-1.2525647,-1.5478401,-1.3285642,0.4375,0.4078947368421052,0.2857142857142857,,,
A068_1,A068,T1,1.1313976,1.4069263,1.041759,0.7083333333333334,0.8421052631578947,0.75,,,
A068_2,A068,T2,-0.6020199,-0.21608391,-0.0033514237,0.3333333333333333,0.631578947368421,0.6428571428571429,,,
A068_3,A068,T3,0.8178577,0.7251277,0.8072276,0.6458333333333334,0.6447368421052632,0.6071428571428571,,,
A068_4,A068,T4,-0.18029927,-0.44046012,-0.29118964,0.5416666666666666,0.6578947368421053,0.5714285714285714,,,
