composite_ID,theta_IFR,theta_ICR,theta_IRE,se_IFR,se_ICR,se_IRE
A039_2,0.7976839,0.99968016,0.9120198,,,
A039_3,0.839274,0.8152755,0.82550347,,,
A039_4,0.6956401,0.87478536,0.63423765,,,
A040_1,-0.5817445,-0.49256238,-0.74248385,,,
A040_2,-0.26374146,-0.38509324,0.09302302,,,
A040_3,-1.6241969,-1.3090754,-1.6655847,,,
A040_4,-0.8882852,-1.4733402,-1.5992237,,,
A041_1,1.2497655,1.4855708,0.81122,,,
A041_2,-1.167476,-0.81649363,-1.162225,,,
A041_3,0.075356334,0.18753728,0.15353484,,,
A041_4,0.66515946,0.48835725,0.5963426,,,
A042_1,-1.02681,-0.6895237,-0.7229102,,,
A042_2,-1.0026407,-0.9664004,-1.140325,,,
A042_3,-0.5476192,-0.6056565,-0.48732755,,,
A042_4,-0.8089415,-1.1014373,-1.4546955,,,
A043_1,0.9052307,0.899163,1.0126323,,,
A043_2,0.115137,0.034321833,0.3983507,,,
A043_3,0.2997891,0.037855305,0.5010917,,,
A043_4,0.048738178,-0.11178535,-0.5570522,,,
A044_1,-0.8060287,-0.4346427,-0.4703743,,,
A044_2,-0.19541748,-0.3329901,-0.654232,,,
A044_3,-1.4959046,-1.7054782,-1.5527358,,,
A044_4,-1.0974785,-0.9379744,-1.2528853,,,
A045_1,-0.76336116,-0.45263797,-0.6049191,,,
A045_2,-0.47526395,-0.82860243,-0.8930858,,,
A045_3,-0.4236594,-0.43453157,-0.5937915,,,
A045_4,-1.2165346,-0.81670034,-1.290313,,,
A046_1,-0.77469015,-0.7534626,-0.5982873,,,
A046_2,-1.245836,-1.6854773,-1.413458,,,
A046_3,-1.6056858,-2.0226305,-2.0996013,,,
A046_4,-1.0504586,-1.145097,-1.4497496,,,
A047_1,-0.5218471,-0.2947177,-0.30463582,,,
A047_2,-0.38599724,-0.074646346,-0.47663674,,,
A047_3,-1.1630286,-1.0434045,-1.5128936,,,
A047_4,-0.8443499,-1.3391343,-1.0254031,,,
A048_1,1.4464241,1.3396158,1.2373691,,,
A048_2,-0.24025916,-0.045005087,-0.08034208,,,
A048_3,0.37180644,-0.04359406,-0.14090295,,,
A048_4,0.32747135,0.53243536,0.27244678,,,
A049_1,1.9369724,2.1185856,1.8781378,,,
A049_2,-0.40477413,-0.50056607,-0.9171489,,,
A049_3,0.5799155,0.64186585,0.6688247,,,
A049_4,0.29279515,-0.14295964,0.3420703,,,
A050_1,0.10375316,-0.081971474,-0.004933702,,,
A050_2,-0.20866837,-0.26677322,-0.6379478,,,
A050_3,-0.78698945,-0.98047173,-1.342118,,,
A050_4,-0.7662721,-0.5670056,-0.67183626,,,
A051_1,1.1308651,1.7813605,1.2244735,,,
A051_2,-0.1484353,0.20063995,-0.15659332,,,
A051_3,-0.51630783,-0.3531045,-0.39899728,,,
A051_4,-0.24947512,-0.077873945,-0.19292271,,,
A052_1,0.8560208,0.66354376,0.9162573,,,
A052_2,0.514484,-0.25498182,0.7441957,,,
A052_3,0.336497,0.36897573,0.32922077,,,
A052_4,-0.45561698,-0.78321314,-0.8879928,,,
A053_1,1.4144037,1.2605083,1.3877759,,,
A053_2,0.28295353,1.0534477,0.41908395,,,
A053_3,-0.83496577,-0.6444452,-0.7869955,,,
A053_4,-0.19286156,-0.034559526,-0.4435216,,,
A054_1,0.06454673,0.31915054,0.48956367,,,
