item,domain,Discrimination,Difficulty_1
TQ_ICR-D-i1,cued_recall,0.50049263,0.9337944984436035
TQ_ICR-D-i2,cued_recall,0.54657066,1.687665581703186
TQ_ICR-D-i3,cued_recall,0.6268717,0.8630015254020691
TQ_ICR-D-i4,cued_recall,0.63212675,1.574444055557251
TQ_ICR-D-i5,cued_recall,0.47348922,2.712050199508667
TQ_ICR-D-i6,cued_recall,0.9605445,1.1247310638427734
TQ_ICR-N-i1,cued_recall,1.4059834,-1.8618955612182617
TQ_ICR-N-i2,cued_recall,0.5410859,-2.897346258163452
TQ_ICR-N-i3,cued_recall,0.87291384,-3.313368558883667
TQ_ICR-N-i4,cued_recall,1.1828233,-2.3123536109924316
TQ_ICR-N-i5,cued_recall,1.2537585,-1.9026110172271729
TQ_ICR-N-i6,cued_recall,1.1154917,-2.10690975189209
TQ_ICR-O-i1,cued_recall,0.44203556,2.9873883724212646
TQ_ICR-O-i2,cued_recall,0.68061274,2.9162161350250244
TQ_ICR-O-i3,cued_recall,0.21288075,2.7148845195770264
TQ_ICR-O-i4,cued_recall,0.3469676,2.8318095207214355
TQ_ICR-O-i5,cued_recall,0.1961588,4.704037189483643
TQ_ICR-O-i6,cued_recall,0.23151772,4.897871971130371
TQ_ICR-U-i1,cued_recall,1.5342194,-0.24122625589370728
TQ_ICR-U-i2,cued_recall,1.0462279,-0.8641539216041565
TQ_ICR-U-i3,cued_recall,1.1612186,-0.6484538316726685
TQ_ICR-U-i4,cued_recall,0.72900677,-0.7375827431678772
TQ_ICR-U-i5,cued_recall,1.7688149,-0.07669560611248016
TQ_ICR-U-i6,cued_recall,1.0137558,-0.4963288903236389
TQ_IFR-D-i1,free_recall,0.38518983,1.6924782991409302
TQ_IFR-D-i2,free_recall,0.45493752,2.034416437149048
TQ_IFR-D-i3,free_recall,0.49893805,1.2016359567642212
TQ_IFR-D-i4,free_recall,0.25990802,2.888253688812256
TQ_IFR-D-i5,free_recall,0.16177657,4.225317001342773
TQ_IFR-D-i6,free_recall,0.06991826,15.384771347045898
TQ_IFR-N-i1,free_recall,1.1786299,-0.3291204571723938
TQ_IFR-N-i2,free_recall,0.68481636,-0.1360418200492859
TQ_IFR-N-i3,free_recall,0.6702268,-0.5209147334098816
TQ_IFR-N-i4,free_recall,0.3806002,-0.9883505702018738
TQ_IFR-N-i5,free_recall,1.1658373,0.5325047373771667
TQ_IFR-N-i6,free_recall,0.8395172,0.5391785502433777
TQ_IFR-O-i1,free_recall,0.07536007,12.190159797668457
TQ_IFR-O-i2,free_recall,0.18065016,5.8664140701293945
TQ_IFR-O-i3,free_recall,0.31183776,1.3938885927200317
TQ_IFR-O-i4,free_recall,0.057801735,11.841203689575195
TQ_IFR-O-i5,free_recall,0.17796645,3.044142723083496
TQ_IFR-O-i6,free_recall,0.20962586,4.225553512573242
TQ_IFR-U-i1,free_recall,1.2017775,-0.012169511057436466
TQ_IFR-U-i2,free_recall,0.75187427,-0.20012953877449036
TQ_IFR-U-i3,free_recall,0.79103374,-0.09076977521181107
TQ_IFR-U-i4,free_recall,0.35740787,-0.17300395667552948
TQ_IFR-U-i5,free_recall,0.8949079,0.35432127118110657
TQ_IFR-U-i6,free_recall,0.5245028,0.3732569217681885
TQ_IRE-D-i1,recognition,0.5747981,0.9280388951301575
TQ_IRE-D-i2,recognition,0.44213426,1.6547245979309082
TQ_IRE-D-i3,recognition,0.7561665,0.49534499645233154
TQ_IRE-D-i4,recognition,0.60866314,1.66845703125
TQ_IRE-D-i5,recognition,0.40494168,1.7915712594985962
TQ_IRE-D-i6,recognition,0.9386246,1.0094441175460815
TQ_IRE-N-i1,recognition,1.2923805,-2.778487205505371
TQ_IRE-N-i2,recognition,0.57568824,-4.6691060066223145
TQ_IRE-N-i3,recognition,0.515429,-4.1566925048828125
TQ_IRE-N-i4,recognition,0.6520385,-3.1743597984313965
TQ_IRE-N-i5,recognition,0.533126,-4.2301459312438965
TQ_IRE-N-i6,recognition,0.6616374,-4.294562339782715
TQ_IRE-O-i1,recognition,0.40547538,2.8787972927093506
TQ_IRE-O-i2,recognition,0.3995433,4.8394856452941895
TQ_IRE-O-i3,recognition,0.15340288,3.5938587188720703
TQ_IRE-O-i4,recognition,0.075793974,13.513383865356445
TQ_IRE-O-i5,recognition,0.26711357,3.7245965003967285
TQ_IRE-O-i6,recognition,0.42421427,3.748889446258545
TQ_IRE-U-i1,recognition,1.2789356,-0.4361938536167145
TQ_IRE-U-i2,recognition,0.8896687,-1.3998842239379883
TQ_IRE-U-i3,recognition,1.4027871,-0.6096211075782776
TQ_IRE-U-i4,recognition,0.75101376,-0.7196061611175537
TQ_IRE-U-i5,recognition,1.4821072,-0.23576205968856812
TQ_IRE-U-i6,recognition,0.83238447,-0.8254165053367615
