metric,variable,group,n,shapiro_W,shapiro_p,skewness,kurtosis,normality_assumption,levene_F,levene_p,homoscedasticity_assumption
RAVLT_Total,Age,VR-favored,14,0.8728602479340124,0.04603519197182103,0.29879645705845725,-1.5164864770355726,violated,0.3885588838182828,0.6790838469932432,met
RAVLT_Total,Age,RAVLT-favored,19,0.9403888917264361,0.26797944697791026,-0.3487683590832322,-0.9234526730745287,met,0.3885588838182828,0.6790838469932432,met
RAVLT_Total,Age,Concordant,67,0.9545083386953153,0.015520850998438413,0.0868331303069287,-1.1544649563797706,violated,0.3885588838182828,0.6790838469932432,met
RAVLT_Total,Education,VR-favored,14,0.9325042667704926,0.330715017287222,-0.0012446118827414187,-0.9139657617355961,met,0.7678180150872137,0.46682368972444654,met
RAVLT_Total,Education,RAVLT-favored,19,0.8274884482936402,0.0029492333142399595,-0.8581829376809919,2.1072583542939283,violated,0.7678180150872137,0.46682368972444654,met
RAVLT_Total,Education,Concordant,67,0.853226052379969,1.3171296979416536e-06,-1.1166286972921942,1.9468591832455928,violated,0.7678180150872137,0.46682368972444654,met
RAVLT_Total,VR_Experience,VR-favored,14,0.8995511365521897,0.11110527904086759,0.5034494347333532,-0.7733333333333348,met,0.9491505997085533,0.39063466096203026,met
RAVLT_Total,VR_Experience,RAVLT-favored,19,0.8206737129438977,0.0023187317917096927,1.1828026494586072,1.8176009243373814,violated,0.9491505997085533,0.39063466096203026,met
RAVLT_Total,VR_Experience,Concordant,67,0.8511539406915105,1.1344773880306474e-06,0.8452951596551223,0.35952042498767023,violated,0.9491505997085533,0.39063466096203026,met
RAVLT_Total,NART,VR-favored,13,0.8483319203951952,0.027120843651270977,-1.309358343854131,2.429807031764641,violated,0.5805126545383166,0.5616048157258344,met
RAVLT_Total,NART,RAVLT-favored,18,0.7738235102051527,0.0006634820595357139,-1.3329479614661461,0.39261234654970867,violated,0.5805126545383166,0.5616048157258344,met
RAVLT_Total,NART,Concordant,66,0.9786667293651633,0.3130902844458924,0.15406874996613235,-0.5018286493731554,met,0.5805126545383166,0.5616048157258344,met
RAVLT_Total,BVMT,VR-favored,14,0.8948184519631601,0.09487666749097075,-0.9065859009622504,-0.19810057350397958,met,0.4618434982226611,0.6314993313410114,met
RAVLT_Total,BVMT,RAVLT-favored,19,0.9510346546336216,0.4114660987434677,-0.4642234917434499,-0.6598481927873823,met,0.4618434982226611,0.6314993313410114,met
RAVLT_Total,BVMT,Concordant,67,0.9350890174152937,0.0017076212290839607,-0.9385796710276065,0.671186902089072,violated,0.4618434982226611,0.6314993313410114,met
RAVLT_Pct_Ret,Age,VR-favored,13,0.8587911975204603,0.037136908955132546,0.08088721282093299,-1.7136837688460251,violated,3.2531734512911843,0.04290723496653381,violated
RAVLT_Pct_Ret,Age,Concordant,69,0.9435238775229347,0.0036605373946951955,0.037157719597227024,-1.2330163175718352,violated,3.2531734512911843,0.04290723496653381,violated
RAVLT_Pct_Ret,Age,RAVLT-favored,18,0.948688288239245,0.4048126088509387,-0.36128352528171687,-0.09777832639451178,met,3.2531734512911843,0.04290723496653381,violated
RAVLT_Pct_Ret,Education,VR-favored,13,0.855327364135372,0.033446180106442173,-0.5117974469487769,-0.6750975335581564,violated,0.8099340880205714,0.44787297179068264,met
RAVLT_Pct_Ret,Education,Concordant,69,0.8789193397182387,7.157699678238906e-06,-0.8257039262623797,1.6554922957533575,violated,0.8099340880205714,0.44787297179068264,met
RAVLT_Pct_Ret,Education,RAVLT-favored,18,0.9066328792529204,0.07505957084813883,-0.7119542476311911,0.5818971857092365,met,0.8099340880205714,0.44787297179068264,met
RAVLT_Pct_Ret,VR_Experience,VR-favored,13,0.8582777887730267,0.03656387970873448,0.952549185730906,0.23739584210083153,violated,0.0017531792057836834,0.9982483883458844,met
RAVLT_Pct_Ret,VR_Experience,Concordant,69,0.8497807625998884,7.64087562975268e-07,0.7327520057059813,0.1090494965102029,violated,0.0017531792057836834,0.9982483883458844,met
RAVLT_Pct_Ret,VR_Experience,RAVLT-favored,18,0.8292170526895043,0.004051012451706146,0.9768657618907111,0.15867768595041287,violated,0.0017531792057836834,0.9982483883458844,met
RAVLT_Pct_Ret,NART,VR-favored,13,0.9691422376338324,0.8838382784606555,0.11399316803101806,0.10171940434458149,met,0.3677837816060569,0.6932585534861093,met
RAVLT_Pct_Ret,NART,Concordant,66,0.9760175091716762,0.22940475106976327,-0.4022778396677758,0.6964843939185483,met,0.3677837816060569,0.6932585534861093,met
RAVLT_Pct_Ret,NART,RAVLT-favored,18,0.961378424304144,0.6284543114123342,-0.1538927537683689,-0.7250932116367492,met,0.3677837816060569,0.6932585534861093,met
RAVLT_Pct_Ret,BVMT,VR-favored,13,0.9420130561929029,0.4834934352287424,-0.27209501512399464,-0.6288200720554751,met,2.875537109061386,0.06120545370842535,met
RAVLT_Pct_Ret,BVMT,Concordant,69,0.9241958453776903,0.00044780615383374796,-0.8930956486107327,0.2214513009026855,violated,2.875537109061386,0.06120545370842535,met
RAVLT_Pct_Ret,BVMT,RAVLT-favored,18,0.9416320501105504,0.3089558574206501,-0.18189912022089758,-1.18575877451393,met,2.875537109061386,0.06120545370842535,met
