measure,mean,sd,mean_ci_lower,mean_ci_upper,sd_ci_lower,sd_ci_upper
REMEMVR,0.006179757148499989,0.6769235234730847,-0.128982488447025,0.13133416352951247,0.5857779107253446,0.7686484995585428
RAVLT,51.65,8.484537331957103,50.0695,53.28025,7.28689651557493,9.563082776196893
RAVLT_Pct_Ret,83.28242590742589,14.790363456473024,80.55513340825841,85.98953837828837,12.826989137497673,16.505991265059105
