Group,n,mean,std,min,max,metric
Concordant,67,0.08531117933432977,0.6575720776988255,-1.2026603893438477,1.1968423444931,RAVLT_Total
RAVLT-favored,19,-1.6957295829763432,0.5583738597728473,-3.425102323972968,-1.208481261412487,RAVLT_Total
VR-favored,14,1.8930723615107432,0.6094145146129543,1.22627996076086,3.003742442410589,RAVLT_Total
Concordant,69,0.17036631393884855,0.6000655498047748,-1.1335807311976631,1.1138213589916328,RAVLT_Pct_Ret
RAVLT-favored,18,-1.8705817760078878,0.5443762430458906,-3.113814800334046,-1.2324477667777558,RAVLT_Pct_Ret
VR-favored,13,1.6857843312585625,0.4921264772928692,1.1688395190476233,2.7671211610132422,RAVLT_Pct_Ret
