metric,Group,variable,mean,sd,n
RAVLT_Total,VR-favored,Age,40.07142857142857,16.33525816571808,14
RAVLT_Total,RAVLT-favored,Age,44.21052631578947,14.30842388776789,19
RAVLT_Total,Concordant,Age,45.61194029850746,14.317773679867157,67
RAVLT_Total,VR-favored,Education,5.785714285714286,1.577659972557772,14
RAVLT_Total,RAVLT-favored,Education,5.421052631578948,1.2163602113447687,19
RAVLT_Total,Concordant,Education,6.358208955223881,1.7118260012940762,67
RAVLT_Total,VR-favored,VR_Experience,1.4285714285714286,1.2838814775327387,14
RAVLT_Total,RAVLT-favored,VR_Experience,1.105263157894737,0.9941348467724344,19
RAVLT_Total,Concordant,VR_Experience,1.1492537313432836,1.0624975057836477,67
RAVLT_Total,VR-favored,NART,28.384615384615383,8.261743778186919,13
RAVLT_Total,RAVLT-favored,NART,32.166666666666664,8.860022573334676,18
RAVLT_Total,Concordant,NART,32.515151515151516,8.512872468738017,66
RAVLT_Total,VR-favored,BVMT,28.785714285714285,5.4374565806021895,14
RAVLT_Total,RAVLT-favored,BVMT,28.63157894736842,3.9470175282637214,19
RAVLT_Total,Concordant,BVMT,27.98507462686567,5.304350808001527,67
RAVLT_Pct_Ret,VR-favored,Age,42.92307692307692,15.955466871167484,13
RAVLT_Pct_Ret,Concordant,Age,44.927536231884055,15.27523836396257,69
RAVLT_Pct_Ret,RAVLT-favored,Age,44.388888888888886,11.051424656038902,18
RAVLT_Pct_Ret,VR-favored,Education,6.3076923076923075,1.6525039276108335,13
RAVLT_Pct_Ret,Concordant,Education,6.072463768115942,1.5747907478148455,69
RAVLT_Pct_Ret,RAVLT-favored,Education,6.055555555555555,1.95454890906022,18
RAVLT_Pct_Ret,VR-favored,VR_Experience,1.3076923076923077,1.1821319289469756,13
RAVLT_Pct_Ret,Concordant,VR_Experience,1.0869565217391304,1.0252565021206472,69
RAVLT_Pct_Ret,RAVLT-favored,VR_Experience,1.4444444444444444,1.1991282236408356,18
RAVLT_Pct_Ret,VR-favored,NART,29.692307692307693,7.8674923512791475,13
RAVLT_Pct_Ret,Concordant,NART,32.92424242424242,8.487657293996168,66
RAVLT_Pct_Ret,RAVLT-favored,NART,29.72222222222222,9.099486446760126,18
RAVLT_Pct_Ret,VR-favored,BVMT,29.846153846153847,3.484397457384223,13
RAVLT_Pct_Ret,Concordant,BVMT,27.971014492753625,5.596666587965172,69
RAVLT_Pct_Ret,RAVLT-favored,BVMT,28.0,3.58099558946457,18
