UID,Group,Group_RAVLT_Total,Group_RAVLT_Pct_Ret,Discrepancy,Discrepancy_PctRet,Age,Education,VR_Experience,NART,BVMT
A070,RAVLT-favored,RAVLT-favored,Concordant,-1.3110982428920306,0.3540657038121402,52,5,1,36.0,31
A071,Concordant,Concordant,Concordant,-0.5884356968801878,1.0877057926674236,50,7,1,35.0,30
A072,Concordant,Concordant,Concordant,-0.171926979965767,-0.1235238142155706,50,7,0,35.0,33
A073,Concordant,Concordant,Concordant,0.4487445291357131,-0.6457921688219455,51,6,0,22.0,25
A074,RAVLT-favored,RAVLT-favored,RAVLT-favored,-1.3768584641615245,-1.5237533276269462,53,6,1,16.0,30
A075,Concordant,Concordant,Concordant,0.7016941464383295,0.513442244022597,53,6,0,27.0,27
A076,Concordant,Concordant,Concordant,-0.2048390786102485,0.8173735342573285,54,1,0,27.0,19
A077,RAVLT-favored,RAVLT-favored,Concordant,-1.5793200378269918,0.9358367287616064,52,6,0,36.0,32
A078,Concordant,Concordant,Concordant,-0.7911875323501686,-0.4296055435644048,50,7,0,22.0,21
A079,RAVLT-favored,RAVLT-favored,RAVLT-favored,-1.6523613063810705,-1.3462414673040937,50,5,1,32.0,34
A080,Concordant,Concordant,Concordant,-0.6818646781875342,-1.065670000276015,56,8,2,40.0,27
A081,Concordant,Concordant,VR-favored,1.1968423444931,1.2448162356124373,55,5,3,28.0,30
A082,Concordant,Concordant,Concordant,-0.7432060281995626,0.0367347281235326,58,9,3,49.0,32
A083,Concordant,Concordant,Concordant,0.4710662937221395,1.01422428665074,58,9,2,50.0,24
A084,VR-favored,VR-favored,Concordant,1.2361612955935808,0.6918590401552698,59,5,3,28.0,20
A085,Concordant,Concordant,Concordant,1.1639408304072798,0.5941673998778921,58,2,0,28.0,26
A086,RAVLT-favored,RAVLT-favored,Concordant,-1.4002921370692891,0.1573941231667929,58,5,0,40.0,28
A087,Concordant,Concordant,VR-favored,0.6930535416010009,1.1730907596982942,59,6,1,45.0,32
A088,VR-favored,VR-favored,VR-favored,2.854755374748269,1.734210908410961,56,4,1,25.0,24
A089,VR-favored,VR-favored,VR-favored,1.5891765468689507,2.230111249633925,56,3,0,26.0,28
A090,RAVLT-favored,RAVLT-favored,RAVLT-favored,-1.286950993546055,-1.7403231900278784,61,4,1,38.0,23
A091,Concordant,Concordant,VR-favored,-0.6045789922223044,1.213121683306882,63,8,1,36.0,24
A092,Concordant,Concordant,Concordant,0.2905965175660396,0.2455863544649243,60,6,1,37.0,27
A093,Concordant,Concordant,VR-favored,0.9055644381976394,1.2729224161509145,64,6,0,23.0,29
A094,Concordant,Concordant,Concordant,-0.7318530182530637,0.1809671231744882,60,5,0,42.0,22
A095,Concordant,Concordant,RAVLT-favored,0.403199466616828,-1.7829054702356728,61,6,3,47.0,28
A096,RAVLT-favored,RAVLT-favored,RAVLT-favored,-1.3085467265072095,-3.113814800334046,60,8,0,35.0,25
A097,VR-favored,VR-favored,Concordant,3.003742442410589,0.4253243486034141,64,6,0,35.0,17
A098,Concordant,Concordant,Concordant,-0.2351079330967626,0.3518325359770384,60,7,2,48.0,25
A099,VR-favored,VR-favored,Concordant,2.0126760246871886,0.4558703878184338,63,5,2,30.0,25
A100,Concordant,Concordant,Concordant,1.1678948288893845,1.097413490697192,66,8,0,33.0,12
A101,Concordant,Concordant,Concordant,1.154707553581529,-0.8412630655282771,69,2,1,31.0,26
A102,Concordant,Concordant,Concordant,-0.6260792057141529,0.327778929629259,68,5,1,46.0,33
A103,RAVLT-favored,RAVLT-favored,Concordant,-2.549020255620421,0.3983449988068558,68,6,2,38.0,26
A104,Concordant,Concordant,Concordant,0.8670271628164173,0.7965458246242249,66,6,0,44.0,27
A105,Concordant,Concordant,Concordant,0.6111715800750616,-0.1540071983276578,68,8,0,40.0,15
A106,Concordant,Concordant,Concordant,0.8258428533666705,0.7557907898053373,66,8,1,47.0,31
A107,Concordant,Concordant,Concordant,-1.0562357327323668,-0.5964302938472119,70,5,0,33.0,17
A108,Concordant,Concordant,Concordant,0.6967769283369301,0.7956931696384206,69,4,0,27.0,26
A109,Concordant,Concordant,Concordant,-0.8831108938911231,0.3989883103496863,68,8,1,38.0,14
