metric,variable,group,n,shapiro_W,shapiro_p,levene_F,levene_p
RAVLT_Total,Age,VR-favored,14,0.8728602479340124,0.04603519197182103,0.3885588838182828,0.6790838469932432
RAVLT_Total,Age,RAVLT-favored,19,0.9403888917264361,0.26797944697791026,0.3885588838182828,0.6790838469932432
RAVLT_Total,Age,Concordant,67,0.9545083386953153,0.015520850998438413,0.3885588838182828,0.6790838469932432
RAVLT_Total,Education,VR-favored,14,0.9325042667704926,0.330715017287222,0.7678180150872137,0.46682368972444654
RAVLT_Total,Education,RAVLT-favored,19,0.8274884482936402,0.0029492333142399595,0.7678180150872137,0.46682368972444654
RAVLT_Total,Education,Concordant,67,0.853226052379969,1.3171296979416536e-06,0.7678180150872137,0.46682368972444654
RAVLT_Total,VR_Experience,VR-favored,14,0.8995511365521897,0.11110527904086759,0.9491505997085533,0.39063466096203026
RAVLT_Total,VR_Experience,RAVLT-favored,19,0.8206737129438977,0.0023187317917096927,0.9491505997085533,0.39063466096203026
RAVLT_Total,VR_Experience,Concordant,67,0.8511539406915105,1.1344773880306474e-06,0.9491505997085533,0.39063466096203026
RAVLT_Total,NART,VR-favored,13,0.8483319203951952,0.027120843651270977,0.5805126545383166,0.5616048157258344
RAVLT_Total,NART,RAVLT-favored,18,0.7738235102051527,0.0006634820595357139,0.5805126545383166,0.5616048157258344
RAVLT_Total,NART,Concordant,66,0.9786667293651633,0.3130902844458924,0.5805126545383166,0.5616048157258344
RAVLT_Total,BVMT,VR-favored,14,0.8948184519631601,0.09487666749097075,0.4618434982226611,0.6314993313410114
RAVLT_Total,BVMT,RAVLT-favored,19,0.9510346546336216,0.4114660987434677,0.4618434982226611,0.6314993313410114
RAVLT_Total,BVMT,Concordant,67,0.9350890174152937,0.0017076212290839607,0.4618434982226611,0.6314993313410114
RAVLT_Pct_Ret,Age,VR-favored,13,0.8587911975204603,0.037136908955132546,3.2531734512911843,0.04290723496653381
RAVLT_Pct_Ret,Age,Concordant,69,0.9435238775229347,0.0036605373946951955,3.2531734512911843,0.04290723496653381
RAVLT_Pct_Ret,Age,RAVLT-favored,18,0.948688288239245,0.4048126088509387,3.2531734512911843,0.04290723496653381
RAVLT_Pct_Ret,Education,VR-favored,13,0.855327364135372,0.033446180106442173,0.8099340880205714,0.44787297179068264
RAVLT_Pct_Ret,Education,Concordant,69,0.8789193397182387,7.157699678238906e-06,0.8099340880205714,0.44787297179068264
RAVLT_Pct_Ret,Education,RAVLT-favored,18,0.9066328792529204,0.07505957084813883,0.8099340880205714,0.44787297179068264
RAVLT_Pct_Ret,VR_Experience,VR-favored,13,0.8582777887730267,0.03656387970873448,0.0017531792057836834,0.9982483883458844
RAVLT_Pct_Ret,VR_Experience,Concordant,69,0.8497807625998884,7.64087562975268e-07,0.0017531792057836834,0.9982483883458844
RAVLT_Pct_Ret,VR_Experience,RAVLT-favored,18,0.8292170526895043,0.004051012451706146,0.0017531792057836834,0.9982483883458844
RAVLT_Pct_Ret,NART,VR-favored,13,0.9691422376338324,0.8838382784606555,0.3677837816060569,0.6932585534861093
RAVLT_Pct_Ret,NART,Concordant,66,0.9760175091716762,0.22940475106976327,0.3677837816060569,0.6932585534861093
RAVLT_Pct_Ret,NART,RAVLT-favored,18,0.961378424304144,0.6284543114123342,0.3677837816060569,0.6932585534861093
RAVLT_Pct_Ret,BVMT,VR-favored,13,0.9420130561929029,0.4834934352287424,2.875537109061386,0.06120545370842535
RAVLT_Pct_Ret,BVMT,Concordant,69,0.9241958453776903,0.00044780615383374796,2.875537109061386,0.06120545370842535
RAVLT_Pct_Ret,BVMT,RAVLT-favored,18,0.9416320501105504,0.3089558574206501,2.875537109061386,0.06120545370842535
