metric,variable,comparison,cohens_d,hedges_g,CI_lower,CI_upper,clinical_significance
RAVLT_Total,Age,VR-favored vs RAVLT-favored,0.27246419366865177,0.265818725530392,-1.1718954634416185,0.37852921675320433,small
RAVLT_Total,Age,VR-favored vs Concordant,0.37770592149132204,0.37410872223902375,-1.0531873520386192,0.2585481214202822,small
RAVLT_Total,Age,RAVLT-favored vs Concordant,0.09789301710059606,0.09701636321611311,-0.6479895224825194,0.41569334909286293,negligible
RAVLT_Total,Education,VR-favored vs RAVLT-favored,-0.2643543441987062,-0.2579066772670304,-0.5560235141585606,1.0763059833600352,small
RAVLT_Total,Education,VR-favored vs Concordant,0.3386580253108419,0.335432710784072,-0.9621353167284385,0.2020206800033765,small
RAVLT_Total,Education,RAVLT-favored vs Concordant,0.5790368850785782,0.573851480137576,-1.0877489262517748,-0.18051796981098545,medium
RAVLT_Total,VR_Experience,VR-favored vs RAVLT-favored,-0.2874449549905957,-0.28043410242984945,-0.3924382603737496,1.0553280225479966,small
RAVLT_Total,VR_Experience,VR-favored vs Concordant,-0.25346682102354723,-0.25105285129951344,-0.41129855976525775,0.9307328129012853,small
RAVLT_Total,VR_Experience,RAVLT-favored vs Concordant,0.04196677761667785,0.04159095572757327,-0.5201060616788288,0.43353337020886545,negligible
RAVLT_Total,NART,VR-favored vs RAVLT-favored,0.43888043207537053,0.4274313773255783,-1.4582887545495105,0.2488567096112405,small
RAVLT_Total,NART,VR-favored vs Concordant,0.48742346307036866,0.4826603673400393,-1.0423750333145074,0.025305334087995734,small
RAVLT_Total,NART,RAVLT-favored vs Concordant,0.04058758567186945,0.0402152225005679,-0.5721606472727587,0.4941603707738681,negligible
RAVLT_Total,BVMT,VR-favored vs RAVLT-favored,-0.033284702829334045,-0.03247288080910638,-0.6632457312997496,0.9027910123009243,negligible
RAVLT_Total,BVMT,VR-favored vs Concordant,-0.1503130054803762,-0.14888145304722977,-0.48810320328099255,0.7449270262803993,negligible
RAVLT_Total,BVMT,RAVLT-favored vs Concordant,-0.12816444156636408,-0.1270167002986056,-0.3677465691340923,0.5513255117632379,negligible
RAVLT_Pct_Ret,Age,VR-favored vs Concordant,0.13033581127028934,0.1291100826376534,-0.7280587045788507,0.5308753004862379,negligible
RAVLT_Pct_Ret,Age,VR-favored vs RAVLT-favored,0.110196488126395,0.10732179713179339,-0.9198614556059082,0.6347123793703432,negligible
RAVLT_Pct_Ret,Age,Concordant vs RAVLT-favored,-0.037073832148860085,-0.03674574513869318,-0.42516495172571844,0.45596555910665865,negligible
RAVLT_Pct_Ret,Education,VR-favored vs Concordant,-0.14825106448433845,-0.1468568538465547,-0.4901182023704366,0.8103365489786848,negligible
RAVLT_Pct_Ret,Education,VR-favored vs RAVLT-favored,-0.13735911342193674,-0.13377583220223405,-0.6450962537937194,0.8874159522877174,negligible
RAVLT_Pct_Ret,Education,Concordant vs RAVLT-favored,-0.010199699070852938,-0.010109436247217071,-0.5585259848180117,0.577801012426752,negligible
RAVLT_Pct_Ret,VR_Experience,VR-favored vs Concordant,-0.21016798277468743,-0.20819148136928284,-0.42807461091941296,0.8941059103080561,small
RAVLT_Pct_Ret,VR_Experience,VR-favored vs RAVLT-favored,0.11471294982307556,0.11172043808856055,-0.896125976018771,0.6524720141774719,negligible
RAVLT_Pct_Ret,VR_Experience,Concordant vs RAVLT-favored,0.3365194169439251,0.33354136900636827,-0.954192852092645,0.23784222262069415,small
RAVLT_Pct_Ret,NART,VR-favored vs Concordant,0.38502811692974515,0.38126562718776064,-0.995161560626782,0.1534566773463196,small
RAVLT_Pct_Ret,NART,VR-favored vs RAVLT-favored,0.003473949820224436,0.003383325042305538,-0.7913725742381047,0.714701449303221,negligible
RAVLT_Pct_Ret,NART,Concordant vs RAVLT-favored,-0.3715472607979661,-0.3681385703319297,-0.1956852619512096,0.9517926532697615,small
RAVLT_Pct_Ret,BVMT,VR-favored vs Concordant,-0.3515825428141025,-0.3482761239161642,-0.08373443156370944,0.7466370986241264,small
RAVLT_Pct_Ret,BVMT,VR-favored vs RAVLT-favored,-0.5213145310623514,-0.507715021556377,-0.2087240730162885,1.3886793397872261,medium
RAVLT_Pct_Ret,BVMT,Concordant vs RAVLT-favored,0.0055150148073947435,0.005466209366621339,-0.3944921833934156,0.3952860207019226,negligible
