UID,REMEMVR_z,RAVLT_z,RAVLT_Pct_Ret_z,Discrepancy,Discrepancy_PctRet
A010,1.4321279026350378,-0.9061825042332012,-1.3349932583782045,2.338310406868239,2.7671211610132422
A011,0.0974303798049774,1.3444668526858612,-0.6760627819528984,-1.2470364728808838,0.7734931617578757
A012,0.5177770067272031,-0.7877272749216717,0.0034592718606996,1.3055042816488749,0.5143177348665035
A013,-0.2542467373509848,-0.076995899052494,-0.8054955541078688,-0.1772508382984908,0.551248816756884
A014,0.9067463751834756,1.462922081997391,1.135996028216694,-0.5561757068139154,-0.22924965303321854
A015,2.3062333249457385,-0.4323615869870829,1.7022644063946912,2.7385949119328212,0.6039689185510473
A016,0.1589802985511049,0.3968250181936243,-0.954841060440528,-0.2378447196425194,1.1138213589916328
A017,0.4886983861490213,-1.2615481921677902,0.456473974403097,1.7502465783168115,0.032224411745924275
A018,-0.1643685334958632,1.2260116233743317,0.2299666231318983,-1.3903801568701948,-0.39433515662776153
A019,-1.687183212839,0.0414593302590355,0.1652502370544121,-1.7286425430980357,-1.8524334498934123
A020,-1.3647318903898766,0.2783697888820947,-0.4321317882762214,-1.6431016792719713,-0.9326001021136552
A021,1.1646353762617858,1.3444668526858612,1.135996028216694,-0.17983147642407538,0.028639348045091717
A022,0.1614705923755154,-0.076995899052494,-1.477550332604833,0.2384664914280094,1.6390209249803482
A023,0.1889979906966105,0.8706459354397428,1.6213689237978346,-0.6816479447431323,-1.432370933101224
A024,-0.0761826630484976,0.0414593302590355,0.6829813256742957,-0.11764199330753311,-0.7591639887227933
A025,0.5057869948744859,0.6337354768166836,0.1652502370544121,-0.12794848194219777,0.34053675782007375
A026,0.5949111945321877,-0.9061825042332012,-1.477550332604833,1.501093698765389,2.072461527137021
A027,-0.0951039952810457,1.107556394062802,0.2299666231318983,-1.2026603893438477,-0.325070618412944
A028,0.1817344882067772,0.1599145595705651,0.0034592718606996,0.0218199286362121,0.1782752163460776
A029,1.509852510336398,1.2260116233743317,-0.2230480794105,0.28384088696206633,1.732900589746898
A030,0.637193683825213,-0.7877272749216717,0.0034592718606996,1.4249209587468847,0.6337344119645134
A031,0.6060304127303248,-0.1954511283640236,-0.5628091063172985,0.8014815410943483,1.1688395190476233
A032,1.0655286287003016,0.3968250181936243,1.6213689237978346,0.6687036105066773,-0.555840295097533
A033,0.5478611906745404,0.1599145595705651,0.6132867560523886,0.3879466311039753,-0.06542556537784816
A034,0.8954032457860654,1.462922081997391,0.2299666231318983,-0.5675188362113255,0.6654366226541671
A035,-0.3090895735536288,0.1599145595705651,-1.1290774844952969,-0.4690041331241939,0.8199879109416681
A036,-0.0951327356318154,-0.3139063576755533,0.1652502370544121,0.2187736220437379,-0.2603829726862275
A037,0.9410298164957412,0.9891011647512724,1.6213689237978346,-0.048071348255531166,-0.6803391073020933
A038,0.7282617378310219,1.9367429992435088,0.2299666231318983,-1.208481261412487,0.4982951146991236
A039,1.7606435430265464,0.6337354768166836,-0.3201226585267283,1.1269080662098627,2.0807662015532746
A040,-1.3677081201856338,-1.8538243387254385,0.2865934609496978,0.4861162185398047,-1.6543015811353317
A041,0.1537524031347797,-1.616913880102379,-0.5628091063172985,1.7706662832371587,0.7165615094520782
A042,-1.2360019718497333,0.2783697888820947,-0.6760627819528984,-1.5143717607318279,-0.5599391898968349
A043,0.6603173579159723,-0.4323615869870829,1.135996028216694,1.0926789449030552,-0.47567867030072175
