model,R2,R2_adj,F_stat,p_value,AIC,delta_R2,F_change
Demographics,0.017074310391227754,-0.013642117409046417,0.5558690125768913,0.6454484413880546,-378.270978601613,0.017074310391227754,0.5558690125768913
Full_Model,0.17876734278946171,0.10657106523249138,2.4761296404568176,0.01778594502313972,-386.24368557668436,0.16169303239823396,2.1657971596282857
