UID,cluster_label,intercept_z,slope_z
A010,0,0.11623758470977685,-0.11539894514627995
A011,1,0.899455506106919,-0.896832051383042
A012,0,0.5221770752079925,-0.5221933962221912
A013,0,-0.39328229840668016,0.3921256477336213
A014,1,1.361740835301691,-1.3623753824111215
A015,1,0.7649264016654186,-0.7643341206927151
A016,0,0.10325527638310601,-0.10371781501663573
A017,1,2.0490959717008503,-2.053257264481607
A018,2,-0.861973981565555,0.8633703643067223
A019,0,-0.39804119138939187,0.39574183352100895
A020,0,-0.431189638031027,0.43140702762759914
A021,1,1.0434020093115115,-1.044201599943581
A022,2,-1.9916017444740182,1.9905514946403269
A023,1,0.8944956223308645,-0.8965913227806918
A024,0,0.32172553862146785,-0.3234555497617933
A025,0,-0.4534195372619828,0.45509950081442396
A026,0,0.5304795450403795,-0.5327609426159217
A027,0,0.06698279302009268,-0.06567212354225857
A028,0,0.3436363863606961,-0.34242158526242905
A029,1,1.255591862070888,-1.2557636013143159
A030,0,0.20762794305529844,-0.21025138693675313
A031,0,0.3702390892949044,-0.36563668286401907
A032,0,-0.06494045123367527,0.06344638832577831
A033,0,0.27327401287211456,-0.27386517111590614
A034,1,1.755757229237173,-1.7557873784236893
A035,0,0.3661533251592092,-0.36680824768358233
A036,2,-1.704364017146386,1.7030623972203638
A037,0,-0.09370778866367657,0.095148753149863
A038,1,1.1932029203497343,-1.1947129314398006
A039,1,1.6185505720300586,-1.6173463503968617
A040,2,-1.1444536243704384,1.145523780772574
A041,0,0.4216855508505267,-0.4211139825160254
A042,2,-0.8618764188886514,0.8604942523870945
A043,1,1.977893399083894,-1.9774153196500588
A044,2,-1.3523361331026944,1.3515380487757138
A045,0,-0.49273009092194503,0.4906381149582888
A046,0,0.05201471979191616,-0.05232159043473809
A047,0,-0.2135073310681991,0.2128472593148126
A048,0,0.15866697919185493,-0.15909066020741677
A049,0,0.2661768527719228,-0.2634490158521676
A050,2,-1.2483491343627378,1.2494347038684817
A051,1,1.064402826599943,-1.06328341989727
A052,0,0.33566989777184736,-0.3354707333058858
A053,0,-0.136764823979444,0.13753570812898158
A054,1,1.2310038911929115,-1.2308484563685482
A055,0,-0.25289374928313263,0.2544458687970417
A056,0,-0.12087751814137594,0.11977012084146792
A057,0,-0.6332311424333774,0.6352388293440726
A058,2,-1.169933697959795,1.1731675804443107
A059,0,-0.35894527550782734,0.3585978805556727
A060,1,1.2721536682414694,-1.2741112722644001
A061,1,2.1400016495545495,-2.1369548201687527
A062,0,-0.49488515862102717,0.4968272719506937
A063,2,-1.2057127062080855,1.2055840834214075
A064,0,0.31571118796754616,-0.3156119403294193
A065,2,-1.4305347879809376,1.4314555812192693
A066,0,-0.4947781713649248,0.495317198358163
A067,2,-1.5734386974811885,1.57638669170027
A068,1,1.3247468506110018,-1.322373507531308
A069,2,-1.2901217548169863,1.2922387565003448
A070,2,-1.2646345548239963,1.266740204233332
A071,0,0.05626009777522821,-0.0535285324376226
A072,1,0.6790063304260125,-0.6792921224503752
A073,0,-0.29535290378912954,0.29332775407460426
A074,0,-0.6092930776081236,0.6099230427817013
A075,2,-0.844352827785825,0.8449401616828808
A076,2,-1.229277881802092,1.2290742330883928
A077,0,0.2639763890798258,-0.26324633828022864
A078,2,-1.6976590661762216,1.6960811405566831
A079,0,-0.24321766522283225,0.24261287901168116
A080,0,0.45424276533637686,-0.4539215241090485
A081,1,1.0571774196947377,-1.0581125547521235
A082,0,-0.3877678529073603,0.3867418600440848
A083,1,0.8425210568637205,-0.8428011918207453
A084,2,-1.2578091288459516,1.256987480779959
A085,1,0.6312116011455661,-0.6325054841837561
A086,0,0.5279253852786283,-0.5271779681144587
A087,1,0.7539162966992067,-0.7529769762858863
A088,0,0.4143310492581295,-0.41752095954144
A089,1,0.712306185391143,-0.7119215581772887
A090,2,-1.4509004903818241,1.4497318626246822
A091,0,0.27186689228135325,-0.27155313918249
A092,0,-0.19748826254161508,0.19609092990532417
A093,0,0.5143648006714201,-0.5121819900618961
A094,2,-0.9909209910414708,0.9903970313635253
A095,0,0.09362327036139594,-0.09244581991590237
A096,1,1.020554436981656,-1.0214826448104435
A097,2,-0.9824532417212648,0.9808469156878445
A098,1,0.6865343971662025,-0.6884470494202096
A099,1,1.5403898767260285,-1.5415579953467997
A100,1,0.7693723947951759,-0.7707886538464219
A101,2,-1.5761856772391782,1.5767861493805804
A102,0,0.10953305996159123,-0.1096529327131117
A103,2,-3.2670162392045206,3.2666311924850504
A104,0,-0.01183578583242677,0.015697725690411227
A105,1,1.269105677698149,-1.2676474629328884
A106,0,0.4021396298904855,-0.4025993002802448
A107,2,-1.7298375595686932,1.7254052368524564
A108,2,-1.0900165652527118,1.089091347371655
A109,0,0.3054166494688312,-0.3073115196686495
