comparison,dv,cohens_d,d_ci_lower,d_ci_upper,classification,n1,n2
Underconfident_vs_Well-calibrated,education,-0.027988571334343477,-0.5193884746839215,0.4634113320152345,negligible,26,41
Underconfident_vs_Overconfident,education,-0.009240681155518463,-0.5232141700857801,0.5047328077747432,negligible,26,33
Well-calibrated_vs_Overconfident,education,0.017178104842826773,-0.4412074770602643,0.47556368674591787,negligible,41,33
Underconfident_vs_Well-calibrated,rpm,-0.6076093780768184,-1.109640815653805,-0.10557794049983182,medium,26,41
Underconfident_vs_Overconfident,rpm,-0.48574008355142057,-1.0071298855583175,0.03564971845547643,small,26,33
Well-calibrated_vs_Overconfident,rpm,0.14944639093223552,-0.3095627660584389,0.6084555479229099,negligible,41,33
Underconfident_vs_Well-calibrated,age,0.010780749796789587,-0.4805996925609071,0.5021611921544863,negligible,26,41
Underconfident_vs_Overconfident,age,0.06123964325426363,-0.45284990310912127,0.5753291896176486,negligible,26,33
Well-calibrated_vs_Overconfident,age,0.04793100102533792,-0.41051126877956695,0.5063732708302427,negligible,41,33
