variable_pair,r,p_uncorrected,ci_lower,ci_upper,n_boot,p_bonferroni,effect_size
residual_vs_education,-0.005645284295851929,0.9555461238486844,-0.17251541978771198,0.17220084902678706,1000,1.0,negligible
residual_vs_rpm,0.10843321270204155,0.2828812199082522,-0.06471908198874349,0.2852087683015294,1000,1.0,small
residual_vs_age,-0.017778243000785655,0.8606387468910914,-0.21514976394965984,0.18461653297949626,1000,1.0,negligible
