domain,model_type,R2
What,Univariate,0.2307332578008089
What,Multivariate,-0.005181699216682359
Where,Univariate,0.2283906058576429
Where,Multivariate,-0.022122178496613274
When,Univariate,0.1005934418388955
When,Multivariate,0.024668106835419118
