variable,mean,std,min,max,n,missing,dtype,shapiro_p,normality
theta_all,-0.4998326506259999,0.8242084236830738,-2.5163941,1.5530372,100,0,float64,0.495486699946351,normal
rehearsal_frequency,0.02,0.19999999999999998,0.0,2.0,100,0,int64,3.37114230535811e-22,non-normal
mnemonic_use,0.02,0.14070529413628968,0.0,1.0,100,0,int64,1.0429079461983685e-21,non-normal
age,44.57,14.579115407342314,20.0,70.0,100,0,int64,0.0019267067978955517,non-normal
education_numeric,11.0,0.0,11.0,11.0,100,0,int64,1.0,normal
vr_exposure,1.18,1.0766577539738054,0.0,4.0,100,0,int64,1.3692252892667794e-08,non-normal
sleep_hours,7.065,0.9889669132764531,4.0,10.0,100,0,float64,8.48636328813378e-05,non-normal
