analysis,n_cases,r_squared,rehearsal_coefficient,mnemonic_coefficient,rehearsal_p_value,mnemonic_p_value
full_sample,100,0.04021864394709285,0.7195269686094843,,0.2236839785078481,
outliers_excluded,97,0.00398042911729779,0.0,,,
