UID,standardized_residual,cooks_distance,leverage,outlier_flag
A010,1.4767714660676419,0.019434960494473838,0.03482821094285533,normal
A011,-0.05309487475674983,2.7401965578380246e-05,0.03705142048470542,normal
A012,-0.16478780533981127,0.0002638854347660565,0.037051420484705416,normal
A013,-0.06657127748544966,4.039872937960823e-05,0.03482821094285516,normal
A014,-0.19614013335072686,0.0003505672004258142,0.03482821094285516,normal
A015,1.4958996583972424,0.018671884026567158,0.03270146810892682,normal
A016,-0.8255910157291731,0.006578312378204078,0.03705142048470542,normal
A017,0.6096823701946136,0.0029597734408651796,0.030671191982920405,normal
A018,0.5756988053514216,0.0028208014384179117,0.03270146810892682,normal
A019,-1.519704969373878,0.023345136462781226,0.03937109673447762,normal
A020,-2.3043635327488436,0.03512077350182703,0.02690003985467339,normal
A021,1.538866091606612,0.01405629722022347,0.023514754558114106,normal
A022,0.5823637033381076,0.0020559064083823723,0.023514754558114106,normal
A023,0.5734851389169058,0.0022888984894331907,0.02690003985467339,normal
A024,-0.366661792952813,0.0007617601115089707,0.021966811971717348,normal
A025,-0.836895998587116,0.004855522414054534,0.02690003985467339,normal
A026,0.2500337040632415,0.00035449693383478027,0.021966811971717348,normal
A027,-0.45616238874323495,0.0012631389543132732,0.023514754558114106,normal
A028,-0.3728504932910642,0.0009694323148378927,0.02690003985467339,normal
A029,1.5271310735534134,0.017014460440415827,0.028737382564835927,normal
A030,0.9979195388253982,0.004863565354880545,0.019160326922689628,normal
A031,-0.11319290582970142,5.8994141722058125e-05,0.017901784460058676,normal
A032,2.579935622081375,0.02675315888807137,0.016739708705349653,normal
A033,0.08965344979064892,3.7010615380146315e-05,0.017901784460058676,normal
A034,0.4044147273217997,0.000702221176729841,0.016739708705349653,normal
A035,-0.6133438774244059,0.0015073809713506672,0.015674099658562545,normal
A036,-0.6575029595899177,0.0022771530683664753,0.020515336093242527,normal
A037,0.38301308368871473,0.0007228523985869854,0.019160326922689628,normal
A038,0.5696044171858102,0.0014890011603343912,0.017901784460058676,normal
A039,3.709448172017755e-08,1.0328259454544915,0.9999999999999997,high_cooks_d|high_leverage
A040,-1.3669022181063357,0.0058010194953632185,0.012376330550633459,normal
A041,0.7620234007984473,0.002176081787998023,0.014704957319697377,normal
A042,-0.9290131826412225,0.0027077221194147824,0.012376330550633459,normal
A043,0.16606850976395515,8.728438681121414e-05,0.012376330550633459,normal
A044,-1.6008940717675118,0.007900458822120092,0.012376330550633459,normal
A045,-0.9175434262285463,0.0027888761580501915,0.013056072765732835,normal
A046,-0.7979293511717876,0.0020022393429844905,0.012376330550633459,normal
A047,-1.361987696916069,0.006447310124208417,0.013832281688754139,normal
A048,0.7335950392937075,0.0016941331610242098,0.012376330550633459,normal
A049,0.6451692899526718,0.0015625494550460754,0.014704957319697377,normal
A050,-0.764078835261146,0.0016178181740769454,0.010915904152866914,normal
A051,-0.2517857399760779,0.00017663903021333945,0.010915904152866914,normal
A052,-0.37903539988144425,0.0003817703995403996,0.010424620093965536,normal
A053,0.47462097936473163,0.0005922351631618056,0.010323678126397744,normal
A054,2.1964469486445353,0.012218767891991682,0.010424620093965536,normal
A055,-0.11688227942553857,3.5996792789292926e-05,0.010323678126397744,normal
A056,-0.5334459014144002,0.0007695107486607035,0.010622028769455259,normal
A057,-0.7066036637594791,0.001434893023481519,0.011306246244200497,normal
A058,-0.6721231878482216,0.001219467814816588,0.010622028769455259,normal
A059,1.110870143788635,0.0032420559227651262,0.010424620093965536,normal
A060,0.8955984609666486,0.002211197329026093,0.010884577335345879,normal
A061,0.2951450684731166,0.00023554843377412526,0.010599652471225952,normal
A062,-0.21787528767727557,0.00013190195272799014,0.010884577335345879,normal
A063,-0.0666553095086706,1.170274741023895e-05,0.01031920286675188,normal
A064,0.24593726899498344,0.00016359855949970686,0.010599652471225952,normal
A065,-2.3069829420166132,0.013640260276225067,0.010599652471225952,normal
A066,-0.9166662345826455,0.0022542662973369853,0.010599652471225952,normal
A067,-0.7800739832894947,0.0016809347300747793,0.010884577335345879,normal
