Days_within,Congruence,theta_predicted,theta_observed,CI_lower_observed,CI_upper_observed,n_obs,Data_Type
0.0,Common,0.07407990542334514,-0.02729959343749999,-0.4145348456465967,0.3599356587715967,16.0,Late
0.1016949152542373,Common,0.06460459114781843,,,,,Late
0.2033898305084746,Common,0.05512927687229172,,,,,Late
0.3050847457627119,Common,0.04565396259676501,,,,,Late
0.4067796610169492,Common,0.0361786483212383,,,,,Late
0.5084745762711864,Common,0.0267033340457116,,,,,Late
0.6101694915254238,Common,0.017228019770184885,,,,,Late
0.7118644067796611,Common,0.007752705494658173,,,,,Late
0.8135593220338984,Common,-0.0017226087808685307,,,,,Late
0.9152542372881356,Common,-0.011197923056395234,,,,,Late
1.0169491525423728,Common,-0.02067323733192194,,,,,Late
1.1186440677966103,Common,-0.03014855160744866,,,,,Late
1.2203389830508475,Common,-0.03962386588297537,,,,,Late
1.3220338983050848,Common,-0.04909918015850207,,,,,Late
1.4237288135593222,Common,-0.05857449443402879,,,,,Late
1.5254237288135595,Common,-0.0680498087095555,,,,,Late
1.6271186440677967,Common,-0.0775251229850822,,,,,Late
1.728813559322034,Common,-0.08700043726060891,,,,,Late
1.8305084745762712,Common,-0.0964757515361356,,,,,Late
1.9322033898305087,Common,-0.10595106581166233,,,,,Late
2.0338983050847457,Common,-0.11542638008718901,,,,,Late
2.135593220338983,Common,-0.12490169436271574,,,,,Late
2.2372881355932206,Common,-0.1343770086382425,,,,,Late
2.3389830508474576,Common,-0.1438523229137691,,,,,Late
2.440677966101695,Common,-0.15332763718929593,,,,,Late
2.5423728813559325,Common,-0.16280295146482265,,,,,Late
2.6440677966101696,Common,-0.17227826574034932,,,,,Late
2.745762711864407,Common,-0.18175358001587605,,,,,Late
2.8474576271186445,Common,-0.19122889429140277,,,,,Late
2.9491525423728815,Common,-0.20070420856692947,,,,,Late
3.050847457627119,Common,-0.2101795228424562,,,,,Late
3.152542372881356,Common,-0.21965483711798287,,,,,Late
3.2542372881355934,Common,-0.2291301513935096,,,,,Late
3.355932203389831,Common,-0.23860546566903632,,,,,Late
3.457627118644068,Common,-0.248080779944563,,,,,Late
3.5593220338983054,Common,-0.25755609422008974,,,,,Late
3.6610169491525424,Common,-0.2670314084956164,,,,,Late
3.76271186440678,Common,-0.27650672277114313,,,,,Late
3.8644067796610173,Common,-0.28598203704666986,,,,,Late
3.9661016949152543,Common,-0.2954573513221965,,,,,Late
4.067796610169491,Common,-0.30493266559772314,,,,,Late
4.169491525423729,Common,-0.31440797987324987,,,,,Late
4.271186440677966,Common,-0.32388329414877653,,,,,Late
4.372881355932203,Common,-0.33335860842430326,,,,,Late
4.474576271186441,Common,-0.34283392269983,,,,,Late
4.576271186440678,Common,-0.3523092369753567,,,,,Late
4.677966101694915,Common,-0.3617845512508834,,,,,Late
4.779661016949153,Common,-0.37125986552641016,,,,,Late
4.88135593220339,Common,-0.38073517980193683,,,,,Late
4.983050847457627,Common,-0.3902104940774635,,,,,Late
5.084745762711865,Common,-0.3996858083529903,,,,,Late
5.186440677966102,Common,-0.40916112262851695,,,,,Late
5.288135593220339,Common,-0.4186364369040436,,,,,Late
