Days_within,Congruence,theta_predicted,theta_observed,CI_lower_observed,CI_upper_observed,n_obs,Data_Type
0.0,Common,0.4612905453676675,0.4503074536284,0.2808539631975189,0.6197609440592812,100.0,Early
0.05263157894736842,Common,0.44742880414620734,,,,,Early
0.10526315789473684,Common,0.4335670629247471,,,,,Early
0.15789473684210525,Common,0.41970532170328695,,,,,Early
0.21052631578947367,Common,0.4058435804818268,,,,,Early
0.2631578947368421,Common,0.39198183926036656,,,,,Early
0.3157894736842105,Common,0.3781200980389064,,,,,Early
0.3684210526315789,Common,0.3642583568174462,,,,,Early
0.42105263157894735,Common,0.350396615595986,,,,,Early
0.47368421052631576,Common,0.33653487437452584,,,,,Early
0.5263157894736842,Common,0.3226731331530656,,,,,Early
0.5789473684210527,Common,0.30881139193160545,,,,,Early
0.631578947368421,Common,0.2949496507101453,,,,,Early
0.6842105263157894,Common,0.2810879094886851,,,,,Early
0.7368421052631579,Common,0.2672261682672249,,,,,Early
0.7894736842105263,Common,0.2533644270457647,,,,,Early
0.8421052631578947,Common,0.23950268582430453,,,,,Early
0.894736842105263,Common,0.22564094460284434,,,,,Early
0.9473684210526315,Common,0.21177920338138415,,,,,Early
1.0,Common,0.19791746215992395,0.03741025838461541,-0.4401325543795349,0.5149530711487658,13.0,Early
0.0,Congruent,0.431381916474711,0.42235946163,0.24231377262007037,0.6024051506399296,100.0,Early
0.05263157894736842,Congruent,0.41804455990661865,,,,,Early
0.10526315789473684,Congruent,0.4047072033385262,,,,,Early
0.15789473684210525,Congruent,0.39136984677043385,,,,,Early
0.21052631578947367,Congruent,0.3780324902023415,,,,,Early
0.2631578947368421,Congruent,0.36469513363424905,,,,,Early
0.3157894736842105,Congruent,0.3513577770661567,,,,,Early
0.3684210526315789,Congruent,0.3380204204980643,,,,,Early
0.42105263157894735,Congruent,0.32468306392997187,,,,,Early
0.47368421052631576,Congruent,0.3113457073618795,,,,,Early
0.5263157894736842,Congruent,0.29800835079378707,,,,,Early
0.5789473684210527,Congruent,0.2846709942256947,,,,,Early
0.631578947368421,Congruent,0.2713336376576023,,,,,Early
0.6842105263157894,Congruent,0.25799628108950995,,,,,Early
0.7368421052631579,Congruent,0.24465892452141755,,,,,Early
0.7894736842105263,Congruent,0.23132156795332515,,,,,Early
0.8421052631578947,Congruent,0.21798421138523277,,,,,Early
0.894736842105263,Congruent,0.20464685481714037,,,,,Early
0.9473684210526315,Congruent,0.19130949824904797,,,,,Early
1.0,Congruent,0.17797214168095557,0.15867206507692308,-0.2736469394781863,0.5909910696320324,13.0,Early
0.0,Incongruent,0.5174813889268481,0.504491134042,0.35946925300796795,0.649513015076032,100.0,Early
0.05263157894736842,Incongruent,0.5006509605742393,,,,,Early
0.10526315789473684,Incongruent,0.4838205322216304,,,,,Early
0.15789473684210525,Incongruent,0.4669901038690216,,,,,Early
0.21052631578947367,Incongruent,0.4501596755164128,,,,,Early
0.2631578947368421,Incongruent,0.4333292471638039,,,,,Early
0.3157894736842105,Incongruent,0.41649881881119505,,,,,Early
0.3684210526315789,Incongruent,0.3996683904585862,,,,,Early
0.42105263157894735,Incongruent,0.3828379621059773,,,,,Early
0.47368421052631576,Incongruent,0.36600753375336853,,,,,Early
0.5263157894736842,Incongruent,0.34917710540075964,,,,,Early
0.5789473684210527,Incongruent,0.3323466770481508,,,,,Early
0.631578947368421,Incongruent,0.31551624869554196,,,,,Early
0.6842105263157894,Incongruent,0.2986858203429331,,,,,Early
0.7368421052631579,Incongruent,0.2818553919903243,,,,,Early
0.7894736842105263,Incongruent,0.2650249636377154,,,,,Early
0.8421052631578947,Incongruent,0.24819453528510654,,,,,Early
0.894736842105263,Incongruent,0.2313641069324977,,,,,Early
0.9473684210526315,Incongruent,0.2145336785798889,,,,,Early
1.0,Incongruent,0.19770325022728,0.16098578307692304,-0.2801929635732442,0.6021645297270902,13.0,Early
