UID,composite_ID,test,domain,theta,TSVR_hours,log_TSVR,age,Age_c,mean_age
A025,A025_3,3,What,-0.524388,72.94,4.303253953508486,26.0,-18.57,44.57
A025,A025_4,4,What,-1.4041344,137.74,4.932601677957155,26.0,-18.57,44.57
A026,A026_1,1,What,0.85312533,1.0,0.6931471805599453,29.0,-15.57,44.57
A026,A026_2,2,What,0.00019577265,26.48,3.3134584673541485,29.0,-15.57,44.57
A026,A026_3,3,What,0.3868858,75.46,4.336767728268267,29.0,-15.57,44.57
A026,A026_4,4,What,-0.0556293,147.65,5.001594549444107,29.0,-15.57,44.57
A027,A027_1,1,What,0.8339228,1.0,0.6931471805599453,28.0,-16.57,44.57
A027,A027_2,2,What,0.33739686,28.26,3.3762213955919784,28.0,-16.57,44.57
A027,A027_3,3,What,-0.7617411,74.58,4.325191697921343,28.0,-16.57,44.57
A027,A027_4,4,What,-0.9249458,145.92,4.989888220951467,28.0,-16.57,44.57
A028,A028_1,1,What,1.3888893,1.0,0.6931471805599453,26.0,-18.57,44.57
A028,A028_2,2,What,0.3311532,22.82,3.170525563927154,26.0,-18.57,44.57
A028,A028_3,3,What,-0.43044564,72.26,4.294014757350668,26.0,-18.57,44.57
A028,A028_4,4,What,-0.40401626,138.91,4.940999358745194,26.0,-18.57,44.57
A029,A029_1,1,What,1.4967275,1.0,0.6931471805599453,25.0,-19.57,44.57
A029,A029_2,2,What,-0.0183022,28.43,3.382014562245381,25.0,-19.57,44.57
A029,A029_3,3,What,1.1595125,93.26,4.546056921495585,25.0,-19.57,44.57
A029,A029_4,4,What,1.0474995,143.14,4.970785049496295,25.0,-19.57,44.57
A030,A030_1,1,What,0.2812619,1.0,0.6931471805599453,31.0,-13.57,44.57
A030,A030_2,2,What,0.8832621,32.95,3.5248888540047054,31.0,-13.57,44.57
A030,A030_3,3,What,-0.18143387,71.93,4.289500076996142,31.0,-13.57,44.57
A030,A030_4,4,What,-0.0007534161,150.46,5.020321563685677,31.0,-13.57,44.57
A031,A031_1,1,What,2.098076,1.0,0.6931471805599453,32.0,-12.57,44.57
A031,A031_2,2,What,-0.3397794,32.41,3.508855256368665,32.0,-12.57,44.57
A031,A031_3,3,What,0.16093041,71.56,4.2844138058068815,32.0,-12.57,44.57
A031,A031_4,4,What,-0.412024,143.85,4.975698724215359,32.0,-12.57,44.57
A032,A032_1,1,What,0.9237079,1.0,0.6931471805599453,33.0,-11.57,44.57
A032,A032_2,2,What,-0.077504,57.18,4.063541653067055,33.0,-11.57,44.57
A032,A032_3,3,What,0.7994235,80.16,4.396422514957614,33.0,-11.57,44.57
A032,A032_4,4,What,1.3869435,144.51,4.980244812772187,33.0,-11.57,44.57
A033,A033_1,1,What,0.35103184,1.0,0.6931471805599453,32.0,-12.57,44.57
A033,A033_2,2,What,0.24968037,29.16,3.4065165431397553,32.0,-12.57,44.57
A033,A033_3,3,What,0.9273771,72.6,4.298645025734831,32.0,-12.57,44.57
A033,A033_4,4,What,-0.04748927,168.33,5.131849473677249,32.0,-12.57,44.57
A034,A034_1,1,What,1.638878,1.0,0.6931471805599453,33.0,-11.57,44.57
A034,A034_2,2,What,0.35502133,26.08,3.298795448044074,33.0,-11.57,44.57
A034,A034_3,3,What,0.20019667,74.28,4.3212144952771245,33.0,-11.57,44.57
A034,A034_4,4,What,-0.25343332,145.38,4.986205980173081,33.0,-11.57,44.57
A035,A035_1,1,What,-0.060081527,1.0,0.6931471805599453,34.0,-10.57,44.57
A035,A035_2,2,What,0.87888414,44.76,3.8234103470715426,34.0,-10.57,44.57
A035,A035_3,3,What,-0.35612592,79.98,4.394202210604015,34.0,-10.57,44.57
A035,A035_4,4,What,-0.88171935,152.47,5.033505108187003,34.0,-10.57,44.57
A036,A036_1,1,What,0.97793245,1.0,0.6931471805599453,30.0,-14.57,44.57
A036,A036_2,2,What,0.026050432,21.63,3.119276459645446,30.0,-14.57,44.57
A036,A036_3,3,What,-0.35021576,71.47,4.28317268312119,30.0,-14.57,44.57
A036,A036_4,4,What,-0.5848764,143.85,4.975698724215359,30.0,-14.57,44.57
A037,A037_1,1,What,1.2614937,1.0,0.6931471805599453,31.0,-13.57,44.57
A037,A037_2,2,What,1.157818,23.7,3.2068032436339315,31.0,-13.57,44.57
A037,A037_3,3,What,0.059776444,72.08,4.291554731509806,31.0,-13.57,44.57
A037,A037_4,4,What,-0.13570116,143.66,4.974386161421135,31.0,-13.57,44.57
A038,A038_1,1,What,1.2025418,1.0,0.6931471805599453,32.0,-12.57,44.57
A038,A038_2,2,What,0.007853324,71.85,4.288402532641213,32.0,-12.57,44.57
