domain,age_slope,se,z,p,CI_lower,CI_upper
What,-1.36986301369863e-05,4.07604448771693e-05,-0.3360765609469381,0.7368131331282672,-9.358910209623812e-05,6.619184182226553e-05
Where,1.36986301369863e-05,4.076044487716927e-05,0.33607656094693833,0.736813133128267,-6.619184182226548e-05,9.358910209623807e-05
