composite_ID,domain,test,theta
A061_4,What,4,-0.31471238
A062_1,What,1,1.241772
A062_2,What,2,0.4567172
A062_3,What,3,-0.8347038
A062_4,What,4,-0.5505843
A063_1,What,1,0.7833641
A063_2,What,2,0.50485903
A063_3,What,3,0.36549178
A063_4,What,4,-0.6113484
A064_1,What,1,1.0437275
A064_2,What,2,0.62713385
A064_3,What,3,0.41516995
A064_4,What,4,-0.070843264
A065_1,What,1,-2.1746836
A065_2,What,2,-1.1918952
A065_3,What,3,-1.9587346
A065_4,What,4,-2.4718368
A066_1,What,1,0.5877305
A066_2,What,2,-0.24346694
A066_3,What,3,-0.82052904
A066_4,What,4,-1.2888547
A067_1,What,1,0.88467497
A067_2,What,2,-1.1704557
A067_3,What,3,-1.4594061
A067_4,What,4,-1.1524973
A068_1,What,1,1.5781611
A068_2,What,2,0.14502825
A068_3,What,3,0.23438412
A068_4,What,4,-0.37933305
A069_1,What,1,-0.41606086
A069_2,What,2,-1.4017547
A069_3,What,3,-0.28530526
A069_4,What,4,-1.4135531
A070_1,What,1,0.5219151
A070_2,What,2,0.19770284
A070_3,What,3,-0.34628716
A070_4,What,4,-0.6466961
A071_1,What,1,0.8269955
A071_2,What,2,0.52419287
A071_3,What,3,-1.1711217
A071_4,What,4,0.10002842
A072_1,What,1,0.81125784
A072_2,What,2,0.4618086
A072_3,What,3,-1.1341089
A072_4,What,4,-0.5302154
A073_1,What,1,0.6544795
A073_2,What,2,-0.7580057
A073_3,What,3,-0.30615124
A073_4,What,4,0.90156066
A074_1,What,1,0.9347626
A074_2,What,2,-0.76089525
A074_3,What,3,-1.1451392
A074_4,What,4,-1.2613695
A075_1,What,1,0.25188833
A075_2,What,2,0.108092144
A075_3,What,3,-1.198156
A075_4,What,4,-0.75654626
A076_1,What,1,-0.48276085
A076_2,What,2,-0.47757313
A076_3,What,3,-1.4173888
A076_4,What,4,-2.3509033
A077_1,What,1,1.3145027
A077_2,What,2,-0.046640176
A077_3,What,3,0.09669988
A077_4,What,4,0.63073874
A078_1,What,1,0.023597341
A078_2,What,2,0.099462025
A078_3,What,3,-0.7596743
A078_4,What,4,-0.65401506
A079_1,What,1,0.13202901
A079_2,What,2,-0.5799095
A079_3,What,3,-1.0114949
A079_4,What,4,-0.5881184
A080_1,What,1,0.43105462
A080_2,What,2,0.4199076
A080_3,What,3,0.3975454
A080_4,What,4,-0.8417055
A081_1,What,1,0.41316152
A081_2,What,2,-0.49664956
A081_3,What,3,0.96994483
A081_4,What,4,0.04104539
A082_1,What,1,0.70349485
A082_2,What,2,1.0411574
A082_3,What,3,0.26939318
A082_4,What,4,0.099159405
A083_1,What,1,1.716006
A083_2,What,2,0.627722
A083_3,What,3,-0.03808578
A083_4,What,4,-0.45677182
A084_1,What,1,0.27613997
A084_2,What,2,-1.0235722
A084_3,What,3,-0.04605442
A084_4,What,4,-0.27272734
A085_1,What,1,0.11177244
A085_2,What,2,1.5030562
A085_3,What,3,-0.12060891
A085_4,What,4,-0.5840122
A086_1,What,1,0.67570555
A086_2,What,2,-0.8055431
A086_3,What,3,-1.0776986
A086_4,What,4,-0.74143744
A087_1,What,1,1.2110579
A087_2,What,2,0.91695786
A087_3,What,3,-0.11189697
A087_4,What,4,0.37117374
A088_1,What,1,1.4964592
A088_2,What,2,2.3701851
A088_3,What,3,0.24273601
A088_4,What,4,1.3775116
A089_1,What,1,1.3879722
A089_2,What,2,0.98157203
A089_3,What,3,0.18005185
A089_4,What,4,0.12621939
A090_1,What,1,0.5685513
A090_2,What,2,-1.004835
A090_3,What,3,-1.9035667
A090_4,What,4,-1.0069829
A091_1,What,1,0.6446007
A091_2,What,2,-0.23618999
A091_3,What,3,-1.0844674
A091_4,What,4,-0.22201028
A092_1,What,1,-0.45725018
A092_2,What,2,-0.707106
A092_3,What,3,-0.27878723
A092_4,What,4,-1.5835248
A093_1,What,1,0.40196308
A093_2,What,2,0.31625798
A093_3,What,3,0.895297
A093_4,What,4,0.58903307
A094_1,What,1,-0.4338472
A094_2,What,2,-0.10413395
A094_3,What,3,-1.5876961
A094_4,What,4,-0.9550737
A095_1,What,1,1.5629785
A095_2,What,2,-0.31464836
A095_3,What,3,-0.52469057
A095_4,What,4,-0.44003212
A096_1,What,1,-0.5876299
A096_2,What,2,-1.6634033
A096_3,What,3,-2.0487726
A096_4,What,4,-1.6537123
A097_1,What,1,0.30110675
A097_2,What,2,-0.46951467
A097_3,What,3,0.49897698
A097_4,What,4,0.21680588
A098_1,What,1,0.63542306
A098_2,What,2,0.2751316
A098_3,What,3,1.2736149
A098_4,What,4,-0.28662166
A099_1,What,1,0.8915915
A099_2,What,2,0.962919
A099_3,What,3,-0.6954294
A099_4,What,4,0.024082785
A100_1,What,1,0.07399175
A100_2,What,2,0.9113723
A100_3,What,3,0.36577296
A100_4,What,4,0.07635781
A101_1,What,1,-1.1400971
A101_2,What,2,-0.97317004
A101_3,What,3,-1.268504
A101_4,What,4,-1.4687408
A102_1,What,1,-0.1090957
A102_2,What,2,0.7893604
A102_3,What,3,-0.54814076
A102_4,What,4,-0.016238477
A103_1,What,1,1.5837513
A103_2,What,2,-0.8997795
A103_3,What,3,-1.8014679
A103_4,What,4,-0.7135607
A104_1,What,1,1.9797188
