term,estimate,se,z,p,CI_lower,CI_upper
Intercept,1.1501135437789691,0.20688715843348118,5.559134518002267,2.711156863378956e-08,0.7446221643855139,1.5556049231724245
domain[T.Where],0.32390573132671446,0.2771967566333927,1.1685047662916808,0.2426032178016856,-0.2193899283060496,0.8672013909594785
recip_TSVR,-0.6513840200906543,0.37142326186470936,-1.7537512777751665,0.07947313489747303,-1.3793602363658741,0.07659219618456536
recip_TSVR:domain[T.Where],-0.47186204444396307,0.4938928622887716,-0.9553935285828702,0.339378725396583,-1.4398742667513562,0.49615017786342996
log_TSVR,-0.3173595110034243,0.04425770433346844,-7.170717862187704,7.460551647721135e-13,-0.40410301753544475,-0.23061600447140387
log_TSVR:domain[T.Where],-0.06385620148231756,0.06230683015465078,-1.0248667974894745,0.3054260429510056,-0.18597534457628728,0.05826294161165217
Age_c,-0.022427880908902742,0.014050397661908989,-1.596245277078907,0.11043404246095741,-0.049966154294710144,0.00511039247690466
Age_c:domain[T.Where],0.013997709665200779,0.018808450497328003,0.7442244998964346,0.4567406684293044,-0.02286617591456657,0.05086159524496813
recip_TSVR:Age_c,0.021019329289317056,0.025261458593978506,0.8320710861219774,0.405368821127576,-0.02849221975183065,0.07053087833046476
recip_TSVR:Age_c:domain[T.Where],-0.026346360145054412,0.03355499017966593,-0.7851696574484504,0.43235410308545796,-0.09211293239879483,0.039420212108686
log_TSVR:Age_c,0.0029688372001944515,0.0030100639951145137,0.9863036815871771,0.3239841136987488,-0.002930779821390744,0.008868454221779648
log_TSVR:Age_c:domain[T.Where],-0.0025636580679197765,0.004240672856426835,-0.6045404007136498,0.5454844173886495,-0.010875224136732968,0.005747908000893416
Group Var,1.8833448620157054,0.3153274956486422,5.972662986910114,2.334117599150077e-09,1.265314327209156,2.5013753968222545
Group x recip_TSVR Cov,-0.9750223610768786,0.4786556708784368,-2.037001586730397,0.04164988299817303,-1.9131702369944723,-0.03687448515928482
recip_TSVR Var,7.0007292008561475,1.5082452689934063,4.641638428959497,3.4565732989307757e-06,4.044622793776146,9.95683560793615
