term,estimate,se,z,p_uncorrected,p_bonferroni,CI_lower,CI_upper
TSVR_hours:Age_c:domain[T.Where],-6.181251672686914e-05,9.056342040689676e-05,-0.6825329305049291,0.4949020273602835,0.989804054720567,-0.0002393135590411,0.0001156885255874
log_TSVR:Age_c:domain[T.Where],0.0024606579210731,0.0031709311163266,0.7760048486716008,0.4377461229992635,0.875492245998527,-0.0037542528643845,0.0086755687065308
