Effect,IRT_LMM_p,GLMM_p,GLMM_beta,GLMM_SE,Significant
Age main (baseline),0.156,0.011010857993467406,-0.0011440897131932085,0.00045001195604323866,True
Age × Where (baseline),0.713,0.4014932173152189,0.0002257700830732208,0.0002691079237150766,False
