term,estimate,se,z,p,CI_lower,CI_upper
Intercept,0.7467939096657881,0.09237632541127057,8.084256505559962,6.254457147137923e-16,0.5657396388355456,0.9278481804960306
domain[T.Where],0.03197741891855228,0.09871682309632457,0.3239307943221571,0.7459904294195203,-0.16150399901845564,0.22545883685556023
TSVR_hours,-0.0013880069992408034,0.0009205262724878754,-1.507840721905181,0.13159529709486997,-0.003192205340139943,0.0004161913416583364
TSVR_hours:domain[T.Where],-0.0009903032013092962,0.0012942771790383305,-0.7651399695118691,0.4441882014070978,-0.0035270398582365236,0.0015464334556179312
log_TSVR,-0.19743617836916827,0.03232275724631152,-6.108271545791426,1.0071589215557981e-09,-0.2607876184529699,-0.13408473828536666
log_TSVR:domain[T.Where],0.022669402547012135,0.045554667600541755,0.4976307311864249,0.6187443392260599,-0.06661610527774339,0.11195491037176766
Age_c,-0.009044221640979837,0.0063802197833114065,-1.4175407663285515,0.1563248842988045,-0.021549222629720144,0.0034607793477604686
Age_c:domain[T.Where],-0.0025139035135208323,0.006827801612541983,-0.3681863733274038,0.712734270295305,-0.015896148767687624,0.010868341740645958
TSVR_hours:Age_c,5.520094437846413e-05,6.443232869283105e-05,0.8567274456526971,0.3915955315633072,-7.108409929953146e-05,0.00018148598805645973
TSVR_hours:Age_c:domain[T.Where],-6.181251672686914e-05,9.056342040689675e-05,-0.6825329305049291,0.49490202736028355,-0.00023931355904114655,0.00011568852558740827
log_TSVR:Age_c,-0.001211894915495214,0.0022503252352936557,-0.5385421167074402,0.5902028367430011,-0.005622451330172402,0.0031986614991819737
log_TSVR:Age_c:domain[T.Where],0.0024606579210731555,0.0031709311163266797,0.7760048486716008,0.4377461229992635,-0.003754252864384526,0.008675568706530837
Group Var,1.2583379567013582,0.20915245362558121,6.016367175658379,1.783747283012311e-09,0.8484066803170351,1.6682692330856812
