composite_ID,test,TSVR_hours,UID
A010_1,1,1.0,A010
A010_2,2,21.9,A010
A010_3,3,80.88,A010
A010_4,4,145.31,A010
A011_1,1,1.0,A011
A011_2,2,24.57,A011
A011_3,3,72.55,A011
A011_4,4,148.85,A011
A012_1,1,1.0,A012
A012_2,2,25.6,A012
A012_3,3,166.33,A012
A012_4,4,166.87,A012
A013_1,1,1.0,A013
A013_2,2,24.77,A013
A013_3,3,79.66,A013
A013_4,4,147.13,A013
A014_1,1,1.0,A014
A014_2,2,25.66,A014
A014_3,3,70.56,A014
A014_4,4,148.87,A014
A015_1,1,1.0,A015
A015_2,2,23.69,A015
A015_3,3,70.59,A015
A015_4,4,146.54,A015
A016_1,1,1.0,A016
A016_2,2,32.85,A016
A016_3,3,80.64,A016
A016_4,4,150.8,A016
A017_1,1,1.0,A017
A017_2,2,20.61,A017
A017_3,3,61.28,A017
A017_4,4,140.49,A017
A018_1,1,1.0,A018
A018_2,2,34.03,A018
A018_3,3,83.64,A018
A018_4,4,150.87,A018
A019_1,1,1.0,A019
A019_2,2,28.69,A019
A019_3,3,83.68,A019
A019_4,4,154.76,A019
A020_1,1,1.0,A020
A020_2,2,26.85,A020
A020_3,3,78.25,A020
A020_4,4,145.78,A020
A021_1,1,1.0,A021
A021_2,2,30.21,A021
A021_3,3,74.19,A021
A021_4,4,140.39,A021
A022_1,1,1.0,A022
A022_2,2,24.15,A022
A022_3,3,74.46,A022
A022_4,4,141.71,A022
A023_1,1,1.0,A023
A023_2,2,25.63,A023
A023_3,3,72.2,A023
A023_4,4,145.07,A023
A024_1,1,1.0,A024
A024_2,2,29.57,A024
A024_3,3,91.47,A024
A024_4,4,145.65,A024
A025_1,1,1.0,A025
A025_2,2,23.33,A025
A025_3,3,72.94,A025
A025_4,4,137.74,A025
A026_1,1,1.0,A026
A026_2,2,26.48,A026
A026_3,3,75.46,A026
A026_4,4,147.65,A026
A027_1,1,1.0,A027
A027_2,2,28.26,A027
A027_3,3,74.58,A027
A027_4,4,145.92,A027
A028_1,1,1.0,A028
A028_2,2,22.82,A028
A028_3,3,72.26,A028
A028_4,4,138.91,A028
A029_1,1,1.0,A029
A029_2,2,28.43,A029
A029_3,3,93.26,A029
A029_4,4,143.14,A029
A030_1,1,1.0,A030
A030_2,2,32.95,A030
A030_3,3,71.93,A030
A030_4,4,150.46,A030
A031_1,1,1.0,A031
A031_2,2,32.41,A031
A031_3,3,71.56,A031
A031_4,4,143.85,A031
A032_1,1,1.0,A032
A032_2,2,57.18,A032
A032_3,3,80.16,A032
A032_4,4,144.51,A032
A033_1,1,1.0,A033
A033_2,2,29.16,A033
A033_3,3,72.6,A033
A033_4,4,168.33,A033
A034_1,1,1.0,A034
A034_2,2,26.08,A034
A034_3,3,74.28,A034
A034_4,4,145.38,A034
A035_1,1,1.0,A035
