TSVR_hours,theta_observed,theta_predicted,CI_lower,CI_upper,paradigm,data_type
1.0,0.63514823516,,0.46560420287450205,0.8046922674454979,cued_recall,observed
28.769699999999997,0.204606457323,,0.047143359817855945,0.36206955482814407,cued_recall,observed
78.6681,-0.136695244473,,-0.2936396449698072,0.020249156023807197,cued_recall,observed
151.3752,-0.45255198532999996,,-0.6167818640540929,-0.28832210660590707,cued_recall,observed
1.0,0.55445181963,,0.38086157023941536,0.7280420690205847,free_recall,observed
28.769699999999997,0.15067705521,,-0.003326283421804299,0.3046803938418043,free_recall,observed
78.6681,-0.14496710734600002,,-0.30270399921175495,0.012769784519754884,free_recall,observed
151.3752,-0.39049867257000004,,-0.5555792434202037,-0.22541810171979634,free_recall,observed
1.0,0.62528618152,,0.4440908252761645,0.8064815377638356,recognition,observed
28.769699999999997,0.180255555018,,0.016899977793965876,0.3436111322420341,recognition,observed
78.6681,-0.18301208718999998,,-0.3468489932104091,-0.019175181169590882,recognition,observed
151.3752,-0.49805772859,,-0.6731852898446951,-0.322930167335305,recognition,observed
0.0,,0.529,0.3852666666666667,0.6727333333333334,free_recall,predicted
4.081632653061225,,-0.23504732122641792,-0.37878065455975124,-0.09131398789308459,free_recall,predicted
8.16326530612245,,-0.5121452171268649,-0.6558785504601983,-0.36841188379353157,free_recall,predicted
12.244897959183675,,-0.6852978367389276,-0.829031170072261,-0.5415645034055943,free_recall,predicted
16.3265306122449,,-0.8115522774543388,-0.9552856107876722,-0.6678189441210054,free_recall,predicted
20.408163265306122,,-0.9109729858342651,-1.0547063191675985,-0.7672396525009317,free_recall,predicted
24.48979591836735,,-0.992990759647027,-1.1367240929803604,-0.8492574263136936,free_recall,predicted
28.571428571428573,,-1.062800062778726,-1.2065333961120592,-0.9190667294453927,free_recall,predicted
32.6530612244898,,-1.1235688914910171,-1.2673022248243504,-0.9798355581576839,free_recall,predicted
36.734693877551024,,-1.1773725686399539,-1.3211059019732871,-1.0336392353066206,free_recall,predicted
40.816326530612244,,-1.2256448195602885,-1.3693781528936217,-1.0819114862269552,free_recall,predicted
