coefficient,mean,std,ci_lower,ci_upper
const,-0.00019422085029251006,0.00047794136408461235,-0.0010810904209460658,0.0007321738961560149
age_std,-0.00012022919654364401,0.0004125350294179231,-0.0008991582363469891,0.0007185458464618322
sex,0.000639248635271482,0.000799493351500768,-0.0009894895907144913,0.002220063304426532
education_std,0.0002458767783454072,0.0004010802667966295,-0.0005027184137092581,0.0010505035266932642
RAVLT_T_std,-0.0007180616139011112,0.0004747903860155958,-0.001617970664148831,0.0002380399684808739
BVMT_T_std,-0.0005959491369284649,0.0005490832165523222,-0.0017118091808572826,0.0004992394805218802
RPM_T_std,-0.0015555536869135262,0.0005397553630003896,-0.0026663516977213433,-0.0006061859487134823
RAVLT_Pct_Ret_T_std,-0.0007634888373008954,0.0004162277181977649,-0.0015460497083656728,9.260073446919664e-06
BVMT_Pct_Ret_T_std,-0.00043965357942585124,0.0005113139781670401,-0.0012703290268279712,0.0007972244681758461
