observation,fitted,residual,standardized_residual,cooks_d,leverage
A010,0.0004823683015905216,-0.0071857368242284215,-1.9663681026106619,0.05251360519537553,0.10622661470460694
A011,-0.0029322210657044324,0.0020362394851850324,0.5572144472984004,0.00732701000788722,0.16218606020788331
A012,-0.0018811419121203858,0.00040828138395928573,0.11172570189327535,0.000140980986313527,0.0913106700822871
A013,0.00044432524370615516,0.0017793922210644448,0.4869285072808615,0.001780460373906346,0.06436517811711905
A014,-0.0015386598070567172,-0.003735583675135783,-1.0222379086655249,0.013077130321592653,0.0993854328286945
A015,-0.0031379782887531985,-0.0068913318447438015,-1.885804539670759,0.038763613767583104,0.08864297219926319
A016,-0.002116295769616711,-0.0005256539456044893,-0.14384455998485512,0.00016398003080621786,0.06747750623901819
A017,0.00015115129869106006,-0.00101767944442356,-0.27848673659320977,0.0008034612876006407,0.0849365561468048
A018,-0.0009399158691148772,0.0025954702852064773,0.7102472724711603,0.014547060396081878,0.18674408827903757
A019,0.0007922348468083004,0.0065790291681094995,1.8003432937727695,0.027932476752497423,0.0725758178481153
A020,-0.0021310403603885418,0.006391148185389642,1.748929892399398,0.016643569569489064,0.04825872002400545
A021,-0.003660568266466277,-0.000597857615298123,-0.16360300598002178,0.0001986291151947939,0.06369835728506205
A022,0.0019613693528624703,-0.0014017536601347701,-0.3835881764710645,0.0014138543504665505,0.07968609227380138
A023,0.0006112037159664675,-0.0003636690544490675,-0.09951759242894509,0.0001911463057946064,0.1398228869915921
A024,-0.001105393721495361,0.0015034173096176609,0.4114083099421526,0.0017133123191092692,0.08328964388433237
A025,-0.0006685503895914291,-0.003584808732065471,-0.9809785297070929,0.0049631318572544905,0.04596253563227187
A026,0.0013708983020880602,-0.0037287386423693605,-1.0203647738120698,0.010308202932451185,0.08174080799158936
A027,-0.002541322716115819,0.0018772023438776188,0.5136941278869165,0.0016201781349413928,0.05381930017074993
A028,0.0002880178568785011,-0.001968683190060901,-0.5387277496761412,0.0020003165499824825,0.05967010887038936
A029,-0.0018274859356213456,-0.0037103303758123547,-1.0153273741594688,0.006460493394626265,0.054817717924361006
A030,-0.0008215913848350845,-0.0009887678403282156,-0.2705751114559369,0.0005005942143938317,0.05925079302722832
A031,-0.0008203907911034299,-0.0036689425795508697,-1.0040016542790067,0.0035953811131463607,0.03267793300492939
A032,-0.002983028888989165,0.0005833298997370649,0.15962751436630926,0.00014733069195561896,0.050986883586753955
A033,-0.0016755511502673933,-0.0004289224538189067,-0.11737410544165819,0.00012026841910694702,0.07339005853907914
A034,-0.0038763586355492355,-0.0012439703560091645,-0.34041096807247795,0.0006035074337515271,0.046373363104252566
A035,-0.0011116028146724054,0.0018855886824504053,0.5159890391911572,0.0026443221514955706,0.08195855582706082
A036,-0.001183308753185867,0.0005276936958965671,0.14440273516017035,0.00014832708165946174,0.06136233528769966
A037,-0.003945934208032151,-0.0006772274822494486,-0.18532247309928926,0.0002716072532589229,0.06735288502552308
