item_name,factor,a,b,exclusion_reason
TQ_ICR-N-i3,what,0.8991165161132812,-3.3218801021575928,|b| > 3.0 on what (b=-3.32)
TQ_ICR-O-i2,when,0.633188009262085,3.053948402404785,|b| > 3.0 on when (b=3.05)
TQ_ICR-O-i3,when,0.1255029439926147,4.512454509735107,a < 0.4 on when
TQ_ICR-O-i4,when,0.3368931412696838,2.8785533905029297,a < 0.4 on when
TQ_ICR-O-i5,when,0.2494764178991317,3.693709135055542,a < 0.4 on when
TQ_IFR-D-i1,where,0.3532680869102478,1.808657169342041,a < 0.4 on where
TQ_IFR-D-i4,where,0.2924869656562805,2.554463148117065,a < 0.4 on where
TQ_IFR-D-i5,where,0.2044358104467392,3.33762001991272,a < 0.4 on where
TQ_IFR-D-i6,where,0.2199289500713348,4.9340901374816895,a < 0.4 on where
TQ_IFR-O-i2,when,0.3106011152267456,3.444594621658325,a < 0.4 on when
TQ_IFR-O-i3,when,0.2011349648237228,2.091689348220825,a < 0.4 on when
TQ_IFR-O-i4,when,0.2826570570468902,2.4749128818511963,a < 0.4 on when
TQ_IFR-O-i5,when,0.120955690741539,4.507700443267822,a < 0.4 on when
TQ_IFR-O-i6,when,0.2234333604574203,4.003484725952148,a < 0.4 on when
TQ_IRE-D-i5,where,0.383199393749237,1.8554482460021973,a < 0.4 on where
TQ_IRE-N-i2,what,0.4618631601333618,-5.787524223327637,|b| > 3.0 on what (b=-5.79)
TQ_IRE-N-i3,what,0.5104535222053528,-4.231076240539551,|b| > 3.0 on what (b=-4.23)
TQ_IRE-N-i4,what,0.6540504097938538,-3.2017180919647217,|b| > 3.0 on what (b=-3.20)
TQ_IRE-N-i5,what,0.4068294763565063,-5.485259056091309,|b| > 3.0 on what (b=-5.49)
TQ_IRE-N-i6,what,0.7948158979415894,-3.728065490722656,|b| > 3.0 on what (b=-3.73)
TQ_IRE-O-i2,when,0.2832824885845184,6.663483142852783,a < 0.4 on when
TQ_IRE-O-i3,when,0.0942199230194091,5.772364139556885,a < 0.4 on when
TQ_IRE-O-i4,when,0.2976318597793579,3.4991698265075684,a < 0.4 on when
TQ_IRE-O-i5,when,0.0143874371424317,67.38501739501953,a < 0.4 on when
TQ_RFR-N-OBJ1,what,1.107133150100708,-4.222408771514893,|b| > 3.0 on what (b=-4.22)
TQ_RFR-N-OBJ2,what,0.9858081936836244,-3.09167218208313,|b| > 3.0 on what (b=-3.09)
TQ_RFR-N-WEAT,what,0.3417730629444122,-0.9971694350242616,a < 0.4 on what
TQ_RFR-O-RORD,when,0.3236151933670044,-3.640209674835205,a < 0.4 on when
TQ_RFR-O-TMOD,when,0.2339666187763214,-0.9969332814216614,a < 0.4 on when
TQ_RRE-N-STRA,what,0.2769314348697662,-5.315565586090088,a < 0.4 on what
TQ_TCR-O-TSK1,when,0.0881396681070327,13.729161262512209,a < 0.4 on when
TQ_TCR-O-TSK2,when,0.3882897496223449,2.011157274246216,a < 0.4 on when
TQ_TCR-O-TSK3,when,0.1514005661010742,8.40564250946045,a < 0.4 on when
TQ_TCR-O-TSK4,when,0.2722978293895721,4.891441345214844,a < 0.4 on when
TQ_TCR-O-TSK5,when,0.3571813702583313,3.9902193546295166,a < 0.4 on when
TQ_TCR-O-TSK6,when,0.4257019162178039,-9.686277389526367,|b| > 3.0 on when (b=-9.69)
