location_type,correlation,CI_lower,CI_upper,p_uncorrected,p_bonferroni,N
Source,-0.10607441789778653,-0.29632208861040565,0.09226968300585497,0.293545838830779,0.587091677661558,100
Destination,-0.19447427417530172,-0.37651348603466733,0.0020247006896094532,0.052520048292683086,0.10504009658536617,100
