UID,TEST,location_type,theta,se,TSVR_hours
A010,T1,Source,0.8341061,0.5,1.0
A010,T2,Source,0.10672693,0.5,21.9
A010,T3,Source,-0.50411737,0.5,80.88
A010,T4,Source,0.24549805,0.5,145.31
A011,T1,Source,0.9956194,0.5,1.0
A011,T2,Source,0.6100838,0.5,24.57
A011,T3,Source,0.25311512,0.5,72.55
A011,T4,Source,-0.1358129,0.5,148.85
A012,T1,Source,1.2708665,0.5,1.0
A012,T2,Source,0.061837696,0.5,25.6
A012,T3,Source,0.95731443,0.5,166.33
A012,T4,Source,-0.29048738,0.5,166.87
A013,T1,Source,0.02823129,0.5,1.0
A013,T2,Source,-0.63382065,0.5,24.77
A013,T3,Source,0.071838245,0.5,79.66
A013,T4,Source,-1.0986202,0.5,147.13
A014,T1,Source,0.8832661,0.5,1.0
A014,T2,Source,1.1061568,0.5,25.66
A014,T3,Source,0.44146854,0.5,70.56
A014,T4,Source,0.31318724,0.5,148.87
A015,T1,Source,1.6133941,0.5,1.0
A015,T2,Source,1.1994971,0.5,23.69
A015,T3,Source,1.0238174,0.5,70.59
A015,T4,Source,0.45747325,0.5,146.54
A016,T1,Source,1.1935731,0.5,1.0
A016,T2,Source,0.45345017,0.5,32.85
A016,T3,Source,0.38719904,0.5,80.64
A016,T4,Source,-0.54321486,0.5,150.8
A017,T1,Source,0.9190474,0.5,1.0
A017,T2,Source,1.3861693,0.5,20.61
A017,T3,Source,2.6160455,0.5,61.28
A017,T4,Source,1.528282,0.5,140.49
A018,T1,Source,0.5263299,0.5,1.0
A018,T2,Source,0.32644776,0.5,34.03
A018,T3,Source,-0.7368152,0.5,83.64
A018,T4,Source,-1.443502,0.5,150.87
A019,T1,Source,-0.19832489,0.5,1.0
A019,T2,Source,-0.23782247,0.5,28.69
A019,T3,Source,-0.29222658,0.5,83.68
A019,T4,Source,-0.6414612,0.5,154.76
A020,T1,Source,0.29489344,0.5,1.0
A020,T2,Source,0.8611098,0.5,26.85
A020,T3,Source,-0.48277485,0.5,78.25
A020,T4,Source,-1.0704167,0.5,145.78
A021,T1,Source,0.9197226,0.5,1.0
A021,T2,Source,0.6847735,0.5,30.21
A021,T3,Source,0.79250264,0.5,74.19
A021,T4,Source,1.1536931,0.5,140.39
A022,T1,Source,-0.2812787,0.5,1.0
A022,T2,Source,-0.66199654,0.5,24.15
A022,T3,Source,-0.33129498,0.5,74.46
A022,T4,Source,-1.0014925,0.5,141.71
A023,T1,Source,0.66957635,0.5,1.0
A023,T2,Source,0.6646996,0.5,25.63
A023,T3,Source,0.37949002,0.5,72.2
A023,T4,Source,0.41859582,0.5,145.07
A024,T1,Source,0.3095075,0.5,1.0
A024,T2,Source,0.8890116,0.5,29.57
A024,T3,Source,0.17760481,0.5,91.47
A024,T4,Source,-0.7411242,0.5,145.65
A025,T1,Source,1.5201635,0.5,1.0
A025,T2,Source,0.80029917,0.5,23.33
A025,T3,Source,0.34703553,0.5,72.94
A025,T4,Source,-1.2910038,0.5,137.74
A026,T1,Source,0.30597228,0.5,1.0
A026,T2,Source,0.1270002,0.5,26.48
A026,T3,Source,0.4475891,0.5,75.46
A026,T4,Source,0.34728104,0.5,147.65
A027,T1,Source,0.9088447,0.5,1.0
A027,T2,Source,0.55407584,0.5,28.26
A027,T3,Source,-0.25326005,0.5,74.58
A027,T4,Source,-1.0227153,0.5,145.92
A028,T1,Source,0.93658507,0.5,1.0
