time,test,domain,Segment,mean_probability,CI_lower,CI_upper,predicted_probability,n_obs
1.0,1,what,Early,0.6396304089171018,0.6030196379354534,0.6746862801075758,0.6371141943937703,100
26.37,2,what,Early,0.5134133009079812,0.47458750449869896,0.5520778946814104,0.5262359163728603,100
74.53,3,what,Late,0.4423933715555425,0.4063766727684645,0.47902629835511074,0.44629564535735944,100
147.13,4,what,Late,0.3957067276794734,0.36024517644277526,0.4323002276969453,0.39664174651539563,100
1.0,1,where,Early,0.6491339901790166,0.6105996347638577,0.6858171763191165,0.6487818741142257,100
26.37,2,where,Early,0.5347890910555333,0.4950503280090718,0.5740910674252804,0.5446793033079673,100
74.53,3,where,Late,0.45609250497949655,0.41901462489424784,0.4936635116361915,0.45670865603860356,100
147.13,4,where,Late,0.39200662332697495,0.35565431500122763,0.4295972916174399,0.39721645118821564,100
